"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
2015	"LARGE AREA SUPER-RESOLUTION CHEMICAL IMAGING VIA RAPID DITHERING OF A NANOPROBE"	"LANGUIRAND ER;CULLUM BM"	"FIBER OPTICS; SURFACE ENHANCED RAMAN; IMAGING; ACOUSTO-OPTIC TUNABLE; FILTER; FIBER BUNDLE; SERS; SUPER RESOLUTION RECONSTRUCTION; DITHER; IMAGING"	NA	"CULLUM, BM (CORRESPONDING AUTHOR), UNIV MARYLAND BALTIMORE CTY, DEPT CHEM \& BIOCHEM, 1000 HILLTOP CIRCLE, BALTIMORE, MD 21250 USA; LANGUIRAND, ERIC R; CULLUM, BRIAN M, UNIV MARYLAND BALTIMORE CTY, DEPT CHEM \& BIOCHEM, BALTIMORE, MD 21250 USA"	"10.1117/12.2177107"	"SMART BIOMEDICAL AND PHYSIOLOGICAL SENSOR TECHNOLOGY XII"	"WebOfScience"	"PROCEEDINGS PAPER"
2015	"LETHAL WOOD PELLETS. CARBON MONOXIDE POISONING DUE TO INAPPROPRIATE STORAGE"	"CORTIS J;BENDER K;ROTHSCHILD MA;KAMPHAUSEN T"	"BIOFUELS; HEATING; CARBOXYHEMOGLOBIN; CAUSE OF DEATH; FORENSIC MEDICINE"	"OFF-GAS EMISSIONS; OXYGEN DEPLETION; TRANSPORTATION; HEADSPACE;; KINETICS; LIPIDS"	"CORTIS, J (CORRESPONDING AUTHOR), UNIV COLOGNE, FAK MED, INST RECHTSMED, MELATENGURTEL 60-62, D-50823 COLOGNE, GERMANY; CORTIS, J; BENDER, K; ROTHSCHILD, M A; KAMPHAUSEN, T, UNIV COLOGNE, FAK MED, INST RECHTSMED, D-50823 COLOGNE, GERMANY"	"10.1007/s00194-014-0980-3"	"RECHTSMEDIZIN"	"WebOfScience"	"REVIEW"
2015	"MAPPING EXPLOSIVE RESIDUES ON GALVANIZED PIPE BOMB FRAGMENTS USING TOTAL VAPORIZATION SOLID PHASE MICROEXTRACTION (TV-SPME)"	"BORS D;GOODPASTER J"	NA	"PERFORMANCE LIQUID-CHROMATOGRAPHY; GAS-CHROMATOGRAPHY;; MASS-SPECTROMETRY; FORENSIC ANALYSIS; HEADSPACE; OPTIMIZATION;; EXTRACTION; CHEMICALS; SAMPLES; IDENTIFICATION"	"GOODPASTER, J (CORRESPONDING AUTHOR), INDIANA UNIV PURDUE UNIV, DEPT CHEM \& CHEM BIOL, 402 N BLACKFORD ST, INDIANAPOLIS, IN 46202 USA; BORS, DANA; GOODPASTER, JOHN, INDIANA UNIV PURDUE UNIV, DEPT CHEM \& CHEM BIOL, INDIANAPOLIS, IN 46202 USA"	"10.1039/c5ay02358k"	"ANALYTICAL METHODS"	"WebOfScience"	"ARTICLE"
2015	"MODELING CLINICAL STATES AND METABOLIC RHYTHMS IN BIOARCHEOLOGY"	"QUALLS C;BIANUCCI R;SPILDE G;WU C;APPENZELLER O"	NA	"TIME-SERIES ANALYSIS; HAIR; LIFE; HEALTH"	"APPENZELLER, O (CORRESPONDING AUTHOR), NEW MEXICO HLTH ENHANCEMENT \& MARATHON CLIN RES F, ALBUQUERQUE, NM 87122 USA; QUALLS, CLIFFORD, UNIV NEW MEXICO, HLTH SCI CTR, ALBUQUERQUE, NM 87131 USA; BIANUCCI, RAFFAELLA, UNIV OSLO, CEES, DEPT BIOSCI, OSLO, NORWAY; BIANUCCI, RAFFAELLA, UNIV TURIN, DEPT PUBL HLTH \& PEDIAT SCI, TURIN, ITALY; SPILDE, MICHAEL N, UNIV NEW MEXICO, INST METEORIT, DEPT EARTH \& PLANETARY SCI, ALBUQUERQUE, NM 87131 USA; PHILLIPS, GENEVIEVE, UNIV NEW MEXICO, CTR FLUORESCENCE MICROSCOPY FACIL, CANC RES \& TREATMENT, ALBUQUERQUE, NM 87131 USA; WU, CECILIA, UNIV NEW MEXICO, DEPT PATHOL, ALBUQUERQUE, NM 87131 USA; APPENZELLER, OTTO, NEW MEXICO HLTH ENHANCEMENT \& MARATHON CLIN RES F, ALBUQUERQUE, NM 87122 USA"	"10.1155/2015/818724"	"BIOMED RESEARCH INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2015	"NEW INSIGHTS INTO DYE CHEMISTRY AND PHYSICS"	"BATCHELOR SN"	NA	"ALPHA-HYDROXYALKYL RADICALS; ONE-ELECTRON OXIDATION; TIME-RESOLVED EPR;; AZO DYES; SUPRAMOLECULAR STRUCTURE; ORANGE-II; AQUEOUS-SOLUTION;; RESONANCE RAMAN; SINGLET-OXYGEN; GREEN-TEA"	"BATCHELOR, SN (CORRESPONDING AUTHOR), UNILEVER RES PORT SUNLIGHT, WIRRAL CH63 3JW, CHESHIRE, ENGLAND; UNILEVER RES PORT SUNLIGHT, WIRRAL CH63 3JW, CHESHIRE, ENGLAND"	"10.1111/cote.12138"	"COLORATION TECHNOLOGY"	"WebOfScience"	"REVIEW"
2015	"NONDESTRUCTIVE IDENTIFICATION OF DYE MIXTURES IN POLYESTER AND COTTON FIBERS USING RAMAN SPECTROSCOPY AND ULTRAVIOLET-VISIBLE (UV-VIS) MICROSPECTROPHOTOMETRY"	"WAS-GUBALA J;STARCZAK R"	"SYNTHETIC DYES; REACTIVE DYES; DISPERSE DYES; MICROTRACES; TEXTILE; FORENSIC SCIENCES"	NA	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, CRIMINALIST DEPT, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; WAS-GUBALA, JOLANTA, INST FORENS RES, CRIMINALIST DEPT, PL-31033 KRAKOW, POLAND; STARCZAK, ROZA, JAGIELLONIAN UNIV, DEPT ANALYT CHEM, PL-30060 KRAKOW, POLAND"	"10.1366/14-07567"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2015	"ON THE RECOVERY OF FIBRES BY TAPE LIFTS, TAPE SCANNING, AND MANUAL ISOLATION"	"SCHOTMAN TG;VAN DER WEERD J"	"TRACE RECOVERY; FIBRES; TAPE SCANNING; ISOLATION; TAPING; TAPE LIFT"	NA	"VAN DER WEERD, J (CORRESPONDING AUTHOR), NETHERLANDS FORENS INST, DEPT MICROTRACES, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS; SCHOTMAN, TOM G; VAN DER WEERD, JAAP, NETHERLANDS FORENS INST, DEPT MICROTRACES, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS"	"10.1016/j.scijus.2015.05.007"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2015	"PERFORMANCE OF POLYPROPYLENE CONCRETE SUBJECTED TO HEATING AND DIFFERENT COOLING REGIMES"	"YARAGAL SC;RAMANJANEYULU S"	NA	"TEMPERATURES"	"YARAGAL, SC (CORRESPONDING AUTHOR), NITK, DEPT CIVIL ENGN, MANGALURU, KARNATAKA, INDIA; YARAGAL, SUBHASH C; RAMANJANEYULU, S, NITK, DEPT CIVIL ENGN, MANGALURU, KARNATAKA, INDIA"	NA	"RESPONSE OF STRUCTURES UNDER EXTREME LOADING"	"WebOfScience"	"PROCEEDINGS PAPER"
2015	"PRINCIPAL COMPONENT ANALYSIS FOR THE FORENSIC DISCRIMINATION OF BLACK INKJET INKS BASED ON THE VIS-NIR FIBRE OPTICS REFLECTION SPECTRA"	"GAL L;ORAVEC M;GEMEINER P;CEPPAN CW"	"FORENSIC DOCUMENT EXAMINATION; PRINCIPAL COMPONENT ANALYSIS; VIS-NIR; SPECTROPHOTOMETRY; INKJET INK"	"BALLPOINT PEN INKS; RAMAN-SPECTROSCOPY; INFRARED-SPECTROSCOPY; PRINTER; TONERS; CLASSIFICATION; CHEMOMETRICS; PAPER; BLUE; PHOTOCOPY; FTIR"	"GAL, L (CORRESPONDING AUTHOR), SLOVAK UNIV TECHNOL BRATISLAVA, INST POLYMER MAT, FAC CHEM \& FOOD TECHNOL, RADLINSKEHO 9, BRATISLAVA 81237, SLOVAKIA; GAL, LUKAS; ORAVEC, MICHAL; GEMEINER, PAVOL; CEPPAN, MICHAL, SLOVAK UNIV TECHNOL BRATISLAVA, INST POLYMER MAT, FAC CHEM \& FOOD TECHNOL, BRATISLAVA 81237, SLOVAKIA"	"10.1016/j.forsciint.2015.09.011"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2015	"PROTRUSION OF THE TONGUE IN BODIES BURNED AFTER DEATH: TWO CASES OF ARSON TO COVER HOMICIDE"	"NIKOLIC S;ZIVKOVIC V"	"FORENSIC PATHOLOGY; BURNED BODIES; FIRE FATALITY; TONGUE PROTRUSION; HOMICIDE; ARSON"	"INDICATOR"	"ZIVKOVIC, V (CORRESPONDING AUTHOR), INST FORENS MED, 31A DELIGRADSKA STR, BELGRADE 11000, SERBIA; NIKOLIC, SLOBODAN; ZIVKOVIC, VLADIMIR, UNIV BELGRADE, SCH MED, INST FORENS MED, BELGRADE, SERBIA"	"10.1177/0025802414542260"	"MEDICINE SCIENCE AND THE LAW"	"WebOfScience"	"ARTICLE"
2015	"RAPID, NONDESTRUCTIVE DENIM FIBER BUNDLE CHARACTERIZATION USING LUMINESCENCE HYPERSPECTRAL IMAGE ANALYSIS"	"DEURO RE;LEIKER KM;WANG Y;DEURO NJ;MILILLO TM;BRIGHT FV"	"TEXTILE; FIBER BUNDLE; LUMINESCENCE HYPERSPECTRAL IMAGING; LHSI; PRINCIPAL COMPONENT ANALYSIS; PCA; RED; GREEN; BLUE COLOR SPACE; RGB; COLOR SPACE; HISTOGRAMS; NITROMETHANE (CH3NO2) QUENCHING; TIME-RESOLVED; FLUORESCENCE"	"FORENSIC ANALYSIS; TEXTILE FIBERS; WOOL FIBERS; BLACK DYES;; SPECTROSCOPY; ELECTROPHORESIS; MICROSCOPY; COTTON; RAMAN"	"BRIGHT, FV (CORRESPONDING AUTHOR), SUNY BUFFALO, DEPT CHEM, NAT SCI COMPLEX, BUFFALO, NY 14260 USA; DEURO, RANDI E; WANG, YANHUI; DEURO, NICHOLAS J; MILILLO, TAMMY M; BRIGHT, FRANK V, SUNY BUFFALO, DEPT CHEM, BUFFALO, NY 14260 USA; LEIKER, KRISTEN M, BUFFALO PUBL SCH, PS EAST HIGH SCH 307, BUFFALO, NY 14211 USA"	"10.1366/14-07580"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2015	"SPECTROMETRIC IMAGING OF POLARIZATION COLORS AND ITS APPLICATION IN FORENSIC FIBER ANALYSIS"	"VAN OIJEN TAH;VAN DER WEERD J"	"POLARIZATION MICROSCOPY; POLARIZATION COLOR; HYPERSPECTRAL IMAGING; FORENSIC FIBER EXAMINATIONS; FIBER FINDER"	NA	"VAN DER WEERD, J (CORRESPONDING AUTHOR), NETHERLANDS FORENS INST, DEPT MICROTRACES, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS; VAN OIJEN, THEO A H; VAN DER WEERD, JAAP, NETHERLANDS FORENS INST, DEPT MICROTRACES, NL-2490 AA THE HAGUE, NETHERLANDS"	"10.1366/14-07736"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2015	"SPME TECHNIQUES FOR BIOMEDICAL ANALYSIS"	"KATAOKA H"	NA	"SOLID-PHASE MICROEXTRACTION; NONSTEROIDAL ANTIINFLAMMATORY DRUGS;; MOLECULARLY-IMPRINTED POLYMERS; TANDEM MASS-SPECTROMETRY;; LIQUID-CHROMATOGRAPHY; SAMPLE PREPARATION; HUMAN URINE;; AUTOMATED-ANALYSIS; INTERFERON-ALPHA; WHOLE-BLOOD"	"KATAOKA, H (CORRESPONDING AUTHOR), SHUJITSU UNIV, SCH PHARM, NISHIGAWARA, OKAYAMA 7038516, JAPAN; SHUJITSU UNIV, SCH PHARM, NISHIGAWARA, OKAYAMA 7038516, JAPAN"	"10.4155/bio.15.145"	"BIOANALYSIS"	"WebOfScience"	"ARTICLE"
2015	"STUDY OF THE BEHAVIORS OF GUNSHOT RESIDUES FROM SPENT CARTRIDGES BY HEADSPACE SOLID-PHASE MICROEXTRACTION-GAS CHROMATOGRAPHIC TECHNIQUES"	"CHANG KH;YEW CH;ABDULLAH AFL"	"FORENSIC SCIENCE; GUNSHOT RESIDUE; SPENT CARTRIDGE; SOLID-PHASE; MICROEXTRACTION; GAS CHROMATOGRAPHY; TIME SINCE DISCHARGE"	"DISCHARGE; TIME; EXTRACTION; GUNPOWDER"	"ABDULLAH, AFL (CORRESPONDING AUTHOR), UNIV SAINS MALAYSIA, SCH HLTH SCI, FORENS SCI PROGRAM, KUBANG KERIAN 16150, KELANTAN, MALAYSIA; CHANG, KAH HAW; ABDULLAH, AHMAD FAHMI LIM, UNIV SAINS MALAYSIA, SCH HLTH SCI, FORENS SCI PROGRAM, KUBANG KERIAN 16150, KELANTAN, MALAYSIA; YEW, CHONG HOOI, ROYAL MALAYSIA POLICE COLL, CHERAS 43200, SELANGOR, MALAYSIA"	"10.1111/1556-4029.12745"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2015	"SYSTEMATIC INVESTIGATION OF DRIP STAINS ON APPAREL FABRICS: THE EFFECTS OF PRIOR-LAUNDERING, FIBRE CONTENT AND FABRIC STRUCTURE ON FINAL STAIN APPEARANCE"	"DE CASTRO TC;TAYLOR MC;KIESER DJ;DUNCAN W"	"BLOODSTAINS; UNWASHED; WICKING; WETTING"	"FUNCTIONAL FINISHES; TEXTILE MATERIALS; BLOOD DROPS; BLOODSTAINS; ORIGIN"	"DE CASTRO, TC (CORRESPONDING AUTHOR), UNIV OTAGO, SIR JOHN WALSH RES INST, DUNEDIN 9054, NEW ZEALAND; DE CASTRO, THERESE C; KIESER, JULES A; CARR, DEBRA J, UNIV OTAGO, SIR JOHN WALSH RES INST, DUNEDIN 9054, NEW ZEALAND; DE CASTRO, THERESE C; TAYLOR, MICHAEL C, INST ENVIRONM SCI \& RES ESR LTD, CHRISTCHURCH 8540, NEW ZEALAND; CARR, DEBRA J, CRANFIELD UNIV, DEF ACAD UK, IMPACT \& AMOUR GRP, CTR DEF ENGN,CRANFIELD DEF \& SECUR, SHRIVENHAM SN6 8LA, OXON, ENGLAND; DUNCAN, W, UNIV OTAGO, ORAL SCI, DISCIPLINE PERIODONT, DUNEDIN 9054, NEW ZEALAND"	"10.1016/j.forsciint.2015.03.004"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2015	"THE ANALYSIS OF COLORED ACRYLIC, COTTON, AND WOOL TEXTILE FIBERS USING MICRO-RAMAN SPECTROSCOPY. PART 2: COMPARISON WITH THE TRADITIONAL METHODS OF FIBER EXAMINATION"	"BUZZINI P;MASSONNET G"	"FORENSIC SCIENCE; CRIMINALISTICS; TRACE EVIDENCE; RAMAN SPECTROSCOPY; FOURIER TRANSFORM INFRARED SPECTROSCOPY; MICROSCOPY; MICROSPECTROPHOTOMETRY; THIN-LAYER CHROMATOGRAPHY; FIBERS; DYE ANALYSIS"	"REACTIVE DYES; EVIDENTIAL VALUE; BLUE; RED; MICROSPECTROPHOTOMETRY"	"BUZZINI, P (CORRESPONDING AUTHOR), W VIRGINIA UNIV, FORENS \& INVEST SCI DEPT, 304 OGLEBAY HALL,POB 6121, MORGANTOWN, WV 26506 USA; BUZZINI, PATRICK, W VIRGINIA UNIV, FORENS \& INVEST SCI DEPT, MORGANTOWN, WV 26506 USA; MASSONNET, GENEVIEVE, UNIV LAUSANNE, ECOLE SCI CRIMINELLES, BATOCHIME, QUARTIER UNIL SORGE, CH-1015 LAUSANNE, SWITZERLAND"	"10.1111/1556-4029.12654"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2015	"THE PREVALENCE OF TWO `COMMONLY' ENCOUNTERED SYNTHETIC TARGET FIBRES WITHIN A LARGE URBAN ENVIRONMENT"	"PALMER R;BURNETT E;LUFF N;WAGNER C;STINGA G;CARNEY C;SHERIDAN K"	"FIBRES; EVIDENCE EVALUATION; TARGET FIBRE STUDIES; BAYESIAN FRAMEWORK; DISCRIMINATION; INSTRUMENTAL ANALYSIS"	"EVIDENTIAL VALUE; COLORED FIBERS; RAMAN-SPECTROSCOPY; TEXTILE FIBERS;; POPULATION; BLUE; RED; INDIVIDUALITY; SEATS"	"PALMER, R (CORRESPONDING AUTHOR), NORTHUMBRIA UNIV, CTR FORENS SCI, FAC HLTH \& LIFE SCI, ELLISON BLDG, NEWCASTLE UPON TYNE NE1 8ST, TYNE \& WEAR, ENGLAND; PALMER, R; BURNETT, E; LUFF, N; WAGNER, C; STINGA, G; CARNEY, C; SHERIDAN, K, NORTHUMBRIA UNIV, CTR FORENS SCI, FAC HLTH \& LIFE SCI, NEWCASTLE UPON TYNE NE1 8ST, TYNE \& WEAR, ENGLAND"	"10.1016/j.scijus.2015.01.001"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2015	"TOWARDS SOURCE LEVEL EVALUATION OF THE EVIDENTIAL VALUE OF FIBRE EXAMINATIONS"	"VOOIJS C;VERGEER P;VAN DER WEERD J"	"FIBER EVIDENCE; NUMERICAL EVALUATION; MATCH; LIKELIHOOD RATIO LR; DISCRIMINATION STUDY; DISCRIMINATION POWER; POPULATION STUDY"	"COMPUTERIZED DATA-BASE; MAIL-ORDER GARMENTS; TEXTILE FIBERS; CAR SEATS;; DATA-BANK; POPULATION; BLUE; INDIVIDUALITY; FREQUENCY"	"VAN DER WEERD, J (CORRESPONDING AUTHOR), NETHERLANDS FORENS INST, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS; VOOIJS, CEES; VERGEER, PETER; VAN DER WEERD, JAAP, NETHERLANDS FORENS INST, NL-2490 AA THE HAGUE, NETHERLANDS"	"10.1016/j.forsciint.2015.02.009"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2015	"USING A FORENSIC SCIENCE APPROACH TO MINIMIZE ENVIRONMENTAL CONTAMINATION AND TO IDENTIFY MICROFIBRES IN MARINE SEDIMENTS"	"WOODALL LC;GWINNETT C;PACKER M;THOMPSON RC;ROBINSON LF;PATERSON GLJ"	"MICROPLASTIC; MICROFIBRE; SEDIMENT; DEEP-SEA; POLLUTION"	"COLORED TEXTILE FIBERS; SYNTHETIC-FIBERS; MICROPLASTIC POLLUTION;; ORGANIC POLLUTANTS; PLASTIC DEBRIS; IDENTIFICATION; POPULATION;; RECOVERY; ACCUMULATION; PARTICLES"	"WOODALL, LC (CORRESPONDING AUTHOR), NAT HIST MUSEUM, DEPT LIFE SCI, CROMWELL RD, LONDON SW7 5BD, ENGLAND; WOODALL, LUCY C; PACKER, MARGARET; PATERSON, GORDON L J, NAT HIST MUSEUM, DEPT LIFE SCI, LONDON SW7 5BD, ENGLAND; GWINNETT, CLAIRE, STAFFORDSHIRE UNIV, DEPT FORENS \& CRIME SCI, STOKE ON TRENT ST4 2DF, STAFFS, ENGLAND; THOMPSON, RICHARD C, UNIV PLYMOUTH, SCH MARINE SCI \& ENGN, PLYMOUTH PL4 8AA, DEVON, ENGLAND; ROBINSON, LAURA F, UNIV BRISTOL, SCH EARTH SCI, BRISTOL BS8 1RJ, AVON, ENGLAND"	"10.1016/j.marpolbul.2015.04.044"	"MARINE POLLUTION BULLETIN"	"WebOfScience"	"ARTICLE"
2015	"UTILIZATION OF ENVIRONMENTALLY ACQUIRED VERY SMALL PARTICLES AS A MEANS OF ASSOCIATION"	"STONEY DA;BOWEN AM;STONEY PL"	"TRACE EVIDENCE; VERY SMALL PARTICLES; ASSOCIATION; SEM ANALYSIS; EDS; ANALYSIS; CARPET FIBERS"	"CHARACTERIZING MINERAL DUSTS; PERSISTENCE; AEROSOLS; SAMPLES"	"STONEY, DA (CORRESPONDING AUTHOR), STONEY FORENS INC, 14101-G WILLARD RD, CHANTILLY, VA 20151 USA; STONEY, DAVID A; BOWEN, ANDREW M; STONEY, PAUL L, STONEY FORENS INC, CHANTILLY, VA 20151 USA"	"10.1016/j.forsciint.2015.06.002"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2015	"UV-VIS MICROSPECTROPHOTOMETRY AS A METHOD OF DIFFERENTIATION BETWEEN COTTON FIBRE EVIDENCE COLOURED WITH REACTIVE DYES"	"WAS-GUBALA J;STARCZAK R"	"COTTON FIBRE; COLOUR MEASUREMENT; MSP UV-VIS; CIEL*A*B*; REACTIVE; DYES; FORENSIC"	"BLACK DYES; BLUE; RED; SPECTROSCOPY; RAMAN"	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, DEPT CRIMINALIST, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; WAS-GUBALA, JOLANTA; STARCZAK, ROZA, INST FORENS RES, DEPT CRIMINALIST, PL-31033 KRAKOW, POLAND; STARCZAK, ROZA, JAGIELLONIAN UNIV, DEPT ANALYT CHEM, PL-30060 KRAKOW, POLAND"	"10.1016/j.saa.2015.01.116"	"SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2015	"WOOD SWELLING: PRESSURES EXERTED FROM SATURATED WOOD MATERIALS"	"WELLS N;MOON RE"	NA	NA	"WELLS, N (CORRESPONDING AUTHOR), GHD, 4019 EAST FOWLER AVE, TAMPA, FL 33617 USA; WELLS, N; MOON, R E, GHD, 4019 EAST FOWLER AVE, TAMPA, FL 33617 USA"	NA	"FORENSIC ENGINEERING 2015: PERFORMANCE OF THE BUILT ENVIRONMENT"	"WebOfScience"	"PROCEEDINGS PAPER"
2016	"10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION"	"DE WAEL K;LEPOT L;LUNSTROOT K;GASON F"	"1:1 TAPING; TAPE LIFTING; ZONAL TAPING; MICROTRACE RECOVERY; FIBRE; EXAMINATION"	NA	"DE WAEL, K (CORRESPONDING AUTHOR), NATL INST CRIMINALISTIEK \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENWEG 100, B-1120 BRUSSELS, BELGIUM; DE WAEL, K; LEPOT, L; LUNSTROOT, K; GASON, F, NATL INST CRIMINALIST \& CRIMINOL, BRUSSELS, BELGIUM"	"10.1016/j.scijus.2015.07.002"	"SCIENCE AND JUSTICE"	"WebOfScience"	"REVIEW"
2016	"A STUDY OF BLACK FLEECE GARMENTS: CAN FLEECE FIBRES BE RECOGNIZED AND HOW VARIABLE ARE THEY?"	"LUNSTROOT K;ZIERNICKI D;VANDEN DRIESSCHE T"	"FORENSIC FIBRE INVESTIGATION; FLEECE GARMENTS; BLACK POLYESTER FIBRES; FIBRE DISCRIMINATION"	"POLYESTER FIBERS; EVIDENTIAL VALUE; COTTON FIBERS; PATTERN-RECOGNITION;; INDIVIDUALITY; BLUE"	"LUNSTROOT, K (CORRESPONDING AUTHOR), NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENNWEG 100, B-1120 BRUSSELS, BELGIUM; LUNSTROOT, K; ZIERNICKI, D; VANDEN DRIESSCHE, T, NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENNWEG 100, B-1120 BRUSSELS, BELGIUM"	"10.1016/j.scijus.2015.12.006"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2016	"A SURVEY OF EXTRACTION SOLVENTS IN THE FORENSIC ANALYSIS OF TEXTILE DYES"	"GROVES E;PALENIK CS;PALENIK CS"	"FORENSIC SCIENCE; TRACE EVIDENCE; TEXTILE FIBERS; EXTRACTION; DYES; PYRIDINE:WATER"	"FIBERS; CLASSIFICATION; POLYACRYLONITRILE; NYLON; DISCRIMINATION;; POLYESTER; COTTON"	"GROVES, E (CORRESPONDING AUTHOR), MICROTRACE LLC, 790 FLETCHER DR,SUITE 106, ELGIN, IL 60123 USA; GROVES, ETHAN; PALENIK, CHRISTOPHER S; PALENIK, SKIP, MICROTRACE LLC, 790 FLETCHER DR,SUITE 106, ELGIN, IL 60123 USA"	"10.1016/j.forsciint.2016.03.043"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2016	"ADVANCING THE FORENSIC ANALYSIS OF DYED FIBERS BY TIME-OF-FLIGHT MASS SPECTROMETRY"	"ZHOU C;BECK KR;HINKS D;CRAWFORD A;BLAKE SL"	"ACID DYES; DISPERSE DYES; FORENSICS; HPLC; MASS SPECTROMETRY; POLYESTER; SIMS; TOF"	"ELECTROSPRAY-IONIZATION; TEXTILE FIBERS; TOF-SIMS; LC-MS"	"ZHOU, CZ (CORRESPONDING AUTHOR), NORTH CAROLINA STATE UNIV, COLL ENGN, ANALYT INSTRUMENTAT FACIL, ROOM 318B MONTEITH RES CTR,BOX 7351, RALEIGH, NC 27695 USA; ZHOU, CHUANZHEN, NORTH CAROLINA STATE UNIV, ANALYT INSTRUMENTAT FACIL, RALEIGH, NC 27695 USA; BECK, KEITH R; HINKS, DAVID; CRAWFORD, ANNE; BLAKE, SAMANTHA, NORTH CAROLINA STATE UNIV, RALEIGH, NC 27695 USA"	"10.14504/ajr.3.2.4"	"AATCC JOURNAL OF RESEARCH"	"WebOfScience"	"ARTICLE"
2016	"ANALYSES OF TRACE AMOUNTS OF DYES WITH A NEW ENHANCED SENSITIVITY FTIR SPECTROSCOPIC TECHNIQUE: MU-ATR (METAL UNDERLAYER ATR SPECTROSCOPY)"	"PRATI S;MILOSEVIC M;SCIUTTO G;BONACINI I;MAZZEO R"	"FTIR MICROSCOPY; ENHANCED FTIR; METAL UNDERLAYER ATR SPECTROSCOPY; DYES; TRACE ANALYSIS"	"ATTENUATED TOTAL-REFLECTION; NATURAL DYES; LIQUID-CHROMATOGRAPHY;; ORGANIC MONOLAYERS; RAMAN-SCATTERING; IN-SITU; IDENTIFICATION; TEXTILES;; SILVER; COLORANTS"	"PRATI, S (CORRESPONDING AUTHOR), UNIV BOLOGNA, DEPT CHEM, MICROCHEM \& MICROSCOPY ART DIAGNOST LAB, VIA GUACCIMANNI 42, I-48121 RAVENNA, ITALY; MILOSEVIC, M (CORRESPONDING AUTHOR), MEV TECHNOL LLC, WESTPORT, CT 06880 USA; PRATI, S; SCIUTTO, G; BONACINI, I; MAZZEO, R, UNIV BOLOGNA, DEPT CHEM, MICROCHEM \& MICROSCOPY ART DIAGNOST LAB, VIA GUACCIMANNI 42, I-48121 RAVENNA, ITALY; MILOSEVIC, M, MEV TECHNOL LLC, WESTPORT, CT 06880 USA; KAZARIAN, S G, IMPERIAL COLL LONDON, DEPT CHEM ENGN, LONDON, ENGLAND"	"10.1016/j.aca.2016.09.005"	"ANALYTICA CHIMICA ACTA"	"WebOfScience"	"ARTICLE"
