"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
2003	"THE INDIVIDUALITY OF BLUE POLYESTER FIBERS USED TO PROVIDE FORENSIC EVIDENCE"	"GRIEVE MC;BIERMANN TW"	"PES-FIBRES; FIBRE DYES; FREQUENCIES"	NA	"BUNDESKRIMINALAMT, D-65173 WIESBADEN, GERMANY"	NA	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"MEETING ABSTRACT"
2003	"THE OCCURRENCE AND INDIVIDUALITY OF ORANGE AND GREEN COTTON FIBRES"	"GRIEVE MC;BIERMANN TW;DAVIGNON M"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES"	"TEXTILE FIBERS"	"GRIEVE, MC (CORRESPONDING AUTHOR), FORENS SCI INST, THAERSTR 11, D-65193 WIESBADEN, GERMANY; FORENS SCI INST, D-65193 WIESBADEN, GERMANY; FACHHSCH TEXT TECH \& GESTALTUNG, D-95213 MUNCHEBERG, GERMANY"	"10.1016/S1355-0306(03)71736-5"	"SCIENCE AND JUSTICE"	"WebOfScience"	"EDITORIAL MATERIAL"
2003	"THE ROLE OF INDEPENDENT FORENSIC SCIENTISTS IN TEXTILE FIBRE EXAMINATIONS IN THE UNITED KINGDOM"	"DUBERY A;BROWN RS"	"INDEPENDENT FORENSIC SCIENTISTS; FIBRE EXAMINATION; UNITED KINGDOM"	NA	"KEITH BORER CONSULTANTS, MOUNTJOY RES CTR, DURHAM DH1 3UR, ENGLAND"	NA	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"MEETING ABSTRACT"
2003	"TIME SINCE DISCHARGE OF PISTOLS AND REVOLVERS"	"ANDRASKO J;STAHLING S"	"FORENSIC SCIENCE; FIREARMS; TIME SINCE DISCHARGE; SPME; GC; GC-TEA; FIREARM DISCHARGE RESIDUES; PISTOLS; REVOLVERS"	NA	"ANDRASKO, J (CORRESPONDING AUTHOR), SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN; SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2003	"TIME SINCE DISCHARGE OF SHOTGUN SHELLS"	"WILSON JD;TEBOW JD;MOLINE KW"	"FORENSIC SCIENCE; FIREARMS; TIME SINCE DISCHARGE; SPME; SHOTGUNS; FIREARM DISCHARGE RESIDUES; GC-MS; SPENT CARTRIDGES"	NA	"WILSON, JD (CORRESPONDING AUTHOR), UNIV WISCONSIN, RIVER FALLS, WI 54022 USA; UNIV WISCONSIN, RIVER FALLS, WI 54022 USA; BUR CRIMINAL APPREHENS, ST PAUL, MN USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2004	"A STUDY IN RELATION TO THE RANDOM DISTRIBUTION OF FOUR FIBRE TYPES ON CLOTHING - (INCORPORATING A REVIEW OF PREVIOUS TARGET FIBRE STUDIES)"	"WIGGINS KG;DRUMMOND P;CHAMPOD TH"	"FORENSIC SCIENCE; FIBRES; CLOTHING; EVIDENTIAL VALUE; TARGET FIBRE; STUDIES; AUTOMATIC FIBRE FINDER"	"HEAD HAIR; SIMULATED CONTACTS; CAR SEATS; PERSISTENCE"	"WIGGINS, K (CORRESPONDING AUTHOR), LONDON LAB, FORENS SCI SERV, 109 LAMBETH RD, LONDON SE1 7LP, ENGLAND; LONDON LAB, FORENS SCI SERV, LONDON SE1 7LP, ENGLAND; FORENS SCI SERV INC, SOLIHULL B37 7YN, W MIDLANDS, ENGLAND"	"10.1016/S1355-0306(04)71706-2"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2004	"BAYESIAN FRAMEWORK FOR THE EVALUATION OF FIBER EVIDENCE IN A DOUBLE MURDER - A CASE REPORT"	"CAUSIN V;SCHIAVONE S;MARIGO A;CARRESI P"	"FORENSIC SCIENCE; FIBERS; BAYESIAN INTERPRETATION; LIKELIHOOD RATIO"	"TEXTILE FIBERS"	"CAUSIN, V (CORRESPONDING AUTHOR), UNIV PADUA, DIPARTIMENTO SCI CHIM, VIA LOREDAN 4, I-35131 PADUA, ITALY; UNIV PADUA, DIPARTIMENTO SCI CHIM, I-35131 PADUA, ITALY; REPARTO CARABINIERI INVEST SCI, SEZ CHIM ESPLOSIVI \& INFIAMMABILI, I-00165 ROME, ITALY"	"10.1016/j.forsciint.2004.01.009"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2004	"FIBRE MAPPING - A CASE STUDY"	"COYLE TJ;LARKIN A;SMITH K;MAYO S;HUNT N"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; ONE-TO-ONE TAPING; DISTRIBUTION; MAPPING; PATHOLOGY; ADVOCATE; FIRST DERIVATIVE; FLUORESCENCE; COMPUTER PRESENTATION; JURY PACK"	NA	"COYLE, T (CORRESPONDING AUTHOR), FORENS ALLIANCE, CULHAM SCI CTR, F5, ABINGDON OX14 3ED, OXON, ENGLAND; FORENS ALLIANCE, CULHAM SCI CTR, ABINGDON OX14 3ED, OXON, ENGLAND; THAMES VALLEY POLICE SCI SUPPORT, KIDLINGTON OX5 2NX, ENGLAND; PROSECUT COUNSEL, LONDON EC4A 2AT, ENGLAND; CRANFIELD UNIV, SHRIVENHAM SN6 8LA, OXON, ENGLAND; FORENS PATHOL SERV, CULHAM SCI CTR, ABINGDON OX14 3ED, OXON, ENGLAND"	"10.1016/S1355-0306(04)71713-X"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2004	"FORENSIC ANALYSIS OF POLY(ETHYLENE TEREPHTHALATE) FIBERS BY INFRARED SPECTROSCOPY"	"CAUSIN V;MAREGA C;GUZZINI G;MARIGO A"	"FORENSIC SCIENCE; FIBERS; POLY(ETHYLENE TEREPHTHALATE); PET; INFRARED; SPECTROSCOPY"	"MICROSCOPY; CLASSIFICATION; ORIENTATION; FILMS; FTIR; PET"	"CAUSIN, V (CORRESPONDING AUTHOR), UNIV PADUA, DIPARTIMENTO SCI CHIM, VIA MARZOLO 1, I-35131 PADUA, ITALY; UNIV PADUA, DIPARTIMENTO SCI CHIM, I-35131 PADUA, ITALY; REPARTO CARABINIERI INVEST SCI, SEZ CHIM ESPLOSIVI INFIAMMABILI, I-00191 ROME, ITALY"	"10.1366/0003702042475411"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2004	"FORENSIC IDENTIFICATION OF DYES EXTRACTED FROM TEXTILE FIBERS BY LIQUID CHROMATOGRAPHY MASS SPECTROMETRY (LC-MS)"	"HUANG M;YINON J;SIGMAN ME"	"FORENSIC SCIENCE; TEXTILE DYE; LC-MS; TRACE ANALYSIS"	"AZO DYES; SULFONATED DYES; PEPTIDES"	"SIGMAN, ME (CORRESPONDING AUTHOR), UNIV CENT FLORIDA, NATL CTR FORENS SCI, POB 162367, ORLANDO, FL 32816 USA; UNIV CENT FLORIDA, NATL CTR FORENS SCI, ORLANDO, FL 32816 USA; UNIV CENT FLORIDA, DEPT CHEM, ORLANDO, FL 32816 USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
