"TI"	"PY"	"AU"	"DOI"	"IDW"	"IDS"	"C1W"	"C1S"	"Coder"	"DT"	"SO"	"AK"
"FORENSIC IDENTIFICATION OF BAST FIBRES"	2017	"SUMMERSCALES J;GWINNETT C"	"10.1016/B978-0-08-100793-8.00005-3"	"FLAX FIBER; MORPHOLOGICAL PROPERTIES; MECHANICAL-PROPERTIES; CELLULOSIC; FIBERS; GREEN COMPOSITES; SYNTHETIC-FIBERS; TEXTILE FIBERS; JUTE FIBER;; SPECTROSCOPY; HEMP"	"BAST FIBERS;  COST EFFECTIVENESS;  FORENSIC SCIENCE;  GLASS CERAMICS;  SUPPLY CHAINS;  TEXTILE INDUSTRY; COMPOSITE APPLICATIONS;  CRIMINAL INVESTIGATION;  FORENSIC IDENTIFICATION;  INDUSTRIAL SUPPLY CHAINS;  LIGNO-CELLULOSIC SYSTEM;  PHYSICAL METHODS;  REGENERATED CELLULOSE;  STRUCTURAL COMPONENT; TEXTILES"	"SUMMERSCALES, J (CORRESPONDING AUTHOR), UNIV PLYMOUTH, PLYMOUTH, DEVON, ENGLAND; SUMMERSCALES, J, UNIV PLYMOUTH, PLYMOUTH, DEVON, ENGLAND; GWINNETT, C, STAFFORDSHIRE UNIV, STOKE ON TRENT, STAFFS, ENGLAND"	"UNIVERSITY OF PLYMOUTH, PLYMOUTH, UNITED KINGDOM;STAFFORDSHIRE UNIVERSITY, STOKE-ON-TRENT, UNITED KINGDOM"	"Scopus,WebOfScience"	"BOOK"	"BIOCOMPOSITES FOR HIGH-PERFORMANCE APPLICATIONS-CURRENT BARRIERS AND FUTURE NEEDS TOWARDS INDUSTRIAL DEVELOPMENT;BIOCOMPOSITES FOR HIGH-PERFORMANCE APPLICATIONS: CURRENT BARRIERS AND FUTURE NEEDS TOWARDS INDUSTRIAL DEVELOPMENT"	"A: FIBRES;D: OPTICAL MICROSCOPY;D: PHYSICAL METHODS OF TESTING;X: NATURAL FIBRES"
"FORENSIC IDENTIFICATION OF TRUNK MAT BY TRACE ELEMENT ANALYSIS OF SINGLE FIBER WITH LASER ABLATION ICP-MS"	2010	"HIROMA Y;HOKURA A;NAKAI I"	"10.2116/bunsekikagaku.59.759"	"X-RAY-FLUORESCENCE; SPECTROSCOPY; TEXTILES"	""	"HIROMA, Y (CORRESPONDING AUTHOR), TOKYO UNIV SCI, FAC SCI, SHINJUKU KU, 1-3 KAGURAZAKA, TOKYO 1628601, JAPAN; HIROMA, YUKI; NAKAI, IZUMI, TOKYO UNIV SCI, FAC SCI, SHINJUKU KU, TOKYO 1628601, JAPAN; HOKURA, AKIKO, TOKYO DENKI UNIV, FAC TECHNOL, CHIYODA KU, TOKYO 1018453, JAPAN"	"FACULTY OF SCIENCE, TOKYO UNIVERSITY OF SCIENCE, 1-3, KAGURAZAKA, SHINJUKU-KU, TOKYO 162-8601, JAPAN;FACULTY OF TECHNOLOGY, TOKYO DENKI UNIVERSITY, 2-2, KANDANISHIKICHO, CHIYODA-KU, TOKYO 101-8453, JAPAN"	"Scopus,WebOfScience"	"ARTICLE"	"BUNSEKI KAGAKU"	"LA-ICP-MS;SINGLE FIBER;TRACE ELEMENT;FORENSIC SCIENCE"
"FORENSIC SCIENCE, APPLICATIONS OF IR SPECTROSCOPY"	2010	"FERRER N"	"10.1016/B978-0-12-374413-5.00151-2"	""	""	""	"UNIVERSITAT OF BARCELONA, SPAIN"	"Scopus"	"BOOK"	"ENCYCLOPEDIA OF SPECTROSCOPY AND SPECTROMETRY"	"ARTWORKS;ATR;DIAMOND;ENVIRONMENTAL;FIBRE;FOOD;FTIR;GEMSTONES;INK;PAINTS;PHYSIOLOGICAL"
"FORENSIC SCIENCE, APPLICATIONS OF IR SPECTROSCOPY"	2016	"FERRER N"	"10.1016/B978-0-12-803224-4.00151-5"	""	""	""	"UNIVERSITAT OF BARCELONA, SPAIN"	"Scopus"	"BOOK"	"ENCYCLOPEDIA OF SPECTROSCOPY AND SPECTROMETRY"	"ARTWORKS;ATR;DIAMOND;ENVIRONMENTAL;FIBRE;FOOD;FTIR;GEMSTONES;INK;PAINTS;PHYSIOLOGICAL"
"FORENSIC SCIENCE, APPLICATIONS OF IR SPECTROSCOPY"	2017	"FERRER N"	"10.1016/B978-0-12-803224-4.00151-5"	""	"DIAMONDS;  FIBERS;  FOOD PRODUCTS;  FORENSIC SCIENCE;  INK;  PAINT; ARTWORKS;  ENVIRONMENTAL;  FTIR;  GEMSTONES;  PHYSIOLOGICAL; FOURIER TRANSFORM INFRARED SPECTROSCOPY"	""	"UNIVERSITAT OF BARCELONA, SPAIN"	"Scopus"	"BOOK"	"ENCYCLOPEDIA OF SPECTROSCOPY AND SPECTROMETRY"	"ARTWORKS;ATR;DIAMOND;ENVIRONMENTAL;FIBRE;FOOD;FTIR;GEMSTONES;INK;PAINTS;PHYSIOLOGICAL"
"FORENSIC SCIENCE, APPLICATIONS OF RAMAN SPECTROSCOPY TO FIBER ANALYSIS"	2016	"DE WAEL K;LEPOT L"	"10.1016/B978-0-12-409547-2.12168-7"	""	""	""	"BELGIUM FORENSIC SCIENCE INSTITUTE (NICC-INCC), BRUSSELS, BELGIUM"	"Scopus"	"BOOK"	"ENCYCLOPEDIA OF SPECTROSCOPY AND SPECTROMETRY"	"CELLULOSE;DATABASES;DYES;MIXTURE;FIBER EXAMINATION;FIBER;MAN-MADE;NATURAL;FLUORESCENCE;FORENSIC SCIENCE;NYLON;PIGMENTS;POLYESTER;POLYOLEFIN;RAMAN SPECTROSCOPY;RESONANCE"
"FORENSIC SCIENCE, APPLICATIONS OF RAMAN SPECTROSCOPY TO FIBER ANALYSIS"	2017	"DE WAEL K;LEPOT L"	"10.1016/B978-0-12-409547-2.12168-7"	"TEXTILE FIBERS; PART 1; COTTON; DISCRIMINATION; DYES"	"CELLULOSE;  DATABASE SYSTEMS;  DYES;  FLUORESCENCE;  FORENSIC SCIENCE;  MIXTURES;  NONDESTRUCTIVE EXAMINATION;  PIGMENTS;  POLYESTERS;  POLYOLEFINS;  RAMAN SPECTROSCOPY;  RESONANCE;  SPECTRUM ANALYSIS; COLORED FIBERS;  CONTROL SAMPLES;  FIBER TRACES;  MULTIPLE LASERS;  NON-DESTRUCTIVE TECHNIQUE;  NYLON;  RAMAN SPECTRAL DATABASE;  SINGLE FIBER; FIBERS"	"DE WAEL, K (CORRESPONDING AUTHOR), BELGIUM FORENS SCI INST NICC INCC, BRUSSELS, BELGIUM; DE WAEL, K; LEPOT, L, BELGIUM FORENS SCI INST NICC INCC, BRUSSELS, BELGIUM"	"BELGIUM FORENSIC SCIENCE INSTITUTE (NICC-INCC), BRUSSELS, BELGIUM"	"Scopus,WebOfScience"	"BOOK"	"ENCYCLOPEDIA OF SPECTROSCOPY AND SPECTROMETRY;ENCYCLOPEDIA OF SPECTROSCOPY AND SPECTROMETRY, 3RD EDITION, VOL 1: A-F"	"CELLULOSE;DATABASES;DYES;MIXTURE;FIBER EXAMINATION;FIBER;MAN-MADE;NATURAL;FLUORESCENCE;FORENSIC SCIENCE;NYLON;PIGMENTS;POLYESTER;POLYOLEFIN;RAMAN SPECTROSCOPY;RESONANCE"
"FORENSIC SCIENCES | FIBERS"	2019	"HOUCK MM"	"10.1016/B978-0-12-409547-2.14444-0"	""	""	""	"UNIVERSITY OF SOUTH FLORIDA ST. PETERSBURG, ST. PETERSBURG, FL, UNITED STATES"	"Scopus"	"BOOK"	"ENCYCLOPEDIA OF ANALYTICAL SCIENCE"	"COLOR ANALYSIS;DYE ANALYSIS;FIBER RECOVERY;FIBER TYPES;SEM-EDX"
"FREQUENCY OF MICROPLASTICS IN MESOPELAGIC FISHES FROM THE NORTHWEST ATLANTIC"	2018	"WIECZOREK AM;MORRISON L;CROOT PL;ALLCOCK AL;MACLOUGHLIN E;SAVARD O;BROWNLOW H;DOYLE TK"	"10.3389/fmars.2018.00039"	"DEMERSAL FISH; NORTHEAST ATLANTIC; PLASTIC INGESTION; SEA;; CONTAMINATION; ZOOPLANKTON; COMMUNITY; LINNAEUS; DEBRIS; FOOD"	""	"WIECZOREK, AM (CORRESPONDING AUTHOR), NATL UNIV IRELAND GALWAY, SCH NAT SCI, EARTH \& OCEAN SCI \& RYAN INST, GALWAY, IRELAND; WIECZOREK, AM (CORRESPONDING AUTHOR), NATL UNIV IRELAND GALWAY, SCH NAT SCI, ZOOL, GALWAY, IRELAND; WIECZOREK, AM (CORRESPONDING AUTHOR), NATL UNIV IRELAND GALWAY, SCH NAT SCI, RYAN INST, GALWAY, IRELAND; WIECZOREK, ALINA M; MORRISON, LIAM; CROOT, PETER L, NATL UNIV IRELAND GALWAY, SCH NAT SCI, EARTH \& OCEAN SCI \& RYAN INST, GALWAY, IRELAND; WIECZOREK, ALINA M; ALLCOCK, A LOUISE; MACLOUGHLIN, EOIN; BROWNLOW, HANNAH; DOYLE, THOMAS K, NATL UNIV IRELAND GALWAY, SCH NAT SCI, ZOOL, GALWAY, IRELAND; WIECZOREK, ALINA M; ALLCOCK, A LOUISE; MACLOUGHLIN, EOIN; BROWNLOW, HANNAH; DOYLE, THOMAS K, NATL UNIV IRELAND GALWAY, SCH NAT SCI, RYAN INST, GALWAY, IRELAND; CROOT, PETER L, NATL UNIV IRELAND GALWAY, SCH NAT SCI, IRISH CTR RES APPL GEOSCI EARTH \& OCEAN SCI, GALWAY, IRELAND; SAVARD, OLIVIER, PERKIN ELMER, BEACONSFIELD, ENGLAND; DOYLE, THOMAS K, UNIV COLL CORK, ENVIRONM RES INST, MAREI CTR, SCH BIOL EARTH \& ENVIRONM SCI, CORK, IRELAND"	"EARTH AND OCEAN SCIENCES AND RYAN INSTITUTE, SCHOOL OF NATURAL SCIENCES, NATIONAL UNIVERSITY OF IRELAND GALWAY, GALWAY, IRELAND;ZOOLOGY AND RYAN INSTITUTE, SCHOOL OF NATURAL SCIENCES, NATIONAL UNIVERSITY OF IRELAND GALWAY, GALWAY, IRELAND;IRISH CENTRE FOR RESEARCH IN APPLIED GEOSCIENCE, EARTH AND OCEAN SCIENCES, SCHOOL OF NATURAL SCIENCES, NATIONAL UNIVERSITY OF IRELAND GALWAY, GALWAY, IRELAND;PERKIN ELMER, BEACONSFIELD, UNITED KINGDOM;SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, MAREI CENTRE, ENVIRONMENTAL RESEARCH INSTITUTE, UNIVERSITY COLLEGE CORK, CORK, IRELAND"	"Scopus,WebOfScience"	"ARTICLE"	"FRONTIERS IN MARINE SCIENCE"	"MYCTOPHIDS;MARINE LITTER;MICRO-FTIR;FIBRES;EDDY;DEEP SEA;BIOGEOCHEMICAL CYCLING;CARBON SEQUESTRATION"
"FT RAMAN MICROSCOPY OF UNTREATED NATURAL PLANT FIBRES"	1997	"EDWARDS HGM;FARWELL DW;WEBSTER D"	"10.1016/S1386-1425(97)00178-9"	"SPECTROSCOPY"	"CELLULOSE; ARTICLE;  CHEMICAL MODEL;  CHEMISTRY;  FOURIER ANALYSIS;  PLANT;  RAMAN SPECTROMETRY; CELLULOSE;  MODELS; CHEMICAL;  PLANTS;  SPECTRUM ANALYSIS; RAMAN"	"EDWARDS, HGM (CORRESPONDING AUTHOR), UNIV BRADFORD, MOL SPECT GRP, BRADFORD BD7 1DP, W YORKSHIRE, ENGLAND; UNIV BRADFORD, MOL SPECT GRP, BRADFORD BD7 1DP, W YORKSHIRE, ENGLAND; BRADFORD ANA ILKLEY COMMUNITY COLL, SCH ART DESIGN \& TEXT, BRADFORD BD7 1AY, W YORKSHIRE, ENGLAND"	"CHEMISTRY AND CHEMICAL TECHNOLOGY, UNIVERSITY OF BRADFORD, MOLECULAR SPECTROSCOPY GROUP, BRADFORD, W. YORKSHIRE BD7 IDP, UNITED KINGDOM;SCH. ART, DES. TEXTILES, BRADFORD AND ILKLEY COMM. COLLEGE, BRADFORD BD7 1AY, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"SPECTROCHIMICA ACTA - PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY;SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY"	"FT-RAMAN;MICROSCOPY;FIBRES;ARCHAEOLOGY"
"FUNCTIONALIZED NANOFIBERS AS SENSING MATERIALS FOR FIBER OPTIC SENSORS"	2017	"PETRIK S;SLAMBOROVA IL;KYSELA M;VANEK T"	""	""	""	"PETRIK, S (CORRESPONDING AUTHOR), TECH UNIV LIBEREC, STUDENTSKA 2, LIBEREC 46001, CZECH REPUBLIC; PETRIK, STANISLAV; SLAMBOROVA, IRENA LOVETINSKA; KYSELA, MARTIN; VANEK, TOMAS, TECH UNIV LIBEREC, STUDENTSKA 2, LIBEREC 46001, CZECH REPUBLIC"	""	"WebOfScience"	"PROCEEDINGS PAPER"	"NANOFIBERS, APPLICATIONS AND RELATED TECHNOLOGIES (NART 2017)"	"NANOFIBERS;NANOTECHNOLOGY;FIBER OPTICS;FORENSIC;SENSORS;BIOMEDICINE"
"FUNDAMENTALS ON NEW CAPILLARIES INSPIRED BY PHOTONIC CRYSTAL FIBERS AS OPTOFLUIDIC SEPARATION SYSTEMS IN CE"	2015	"CALCERRADA M;DE LA OSSA MAAF;ROY P;GONZALEZ-HERRAEZ M;GARCIA-RUIZ C;CALCERRADA M;FERNANDEZ DE LA OSSA MA;ROY P;GONZALEZ-HERRAEZ M;GARCIA-RUIZ C"	"10.1002/elps.201400239"	"ELECTROPHORESIS"	"NITROSTARCH;  STARCH;  UNCLASSIFIED DRUG;  GLASS FIBER; ARTICLE;  CAPILLARY ELECTROPHORESIS;  CONCENTRATION (PARAMETERS);  CONTROLLED STUDY;  FLOW RATE;  HYDRODYNAMICS;  LABORATORY DEVICE;  MICROFLUIDICS;  MICROSTRUCTURED CAPILLARY;  MOLECULAR INTERACTION;  NOISE;  PHOTONIC CRYSTAL FIBER;  SENSITIVITY AND SPECIFICITY;  VISCOSITY;  CHEMICAL MODEL;  CHEMISTRY;  DEVICES;  EQUIPMENT DESIGN; ELECTROPHORESIS; CAPILLARY;  MODELS; CHEMICAL;  OPTICAL FIBERS"	"GARCIA-RUIZ, C (CORRESPONDING AUTHOR), UNIV ALCALA DE HENARES, DEPT ANALYT CHEM PHYS CHEM \& CHEM ENGN, CTRA MADRID BARCELONA KM 33-600, MADRID 28871, SPAIN; CALCERRADA, MATIAS; FERNANDEZ DE LA OSSA, M ANGELES; GARCIA-RUIZ, CARMEN, UNIV ALCALA DE HENARES, DEPT ANALYT CHEM PHYS CHEM \& CHEM ENGN, MADRID 28871, SPAIN; ROY, PHILIPPE, UNIV LIMOGES, XLIM FIBRE PHOTON DEPT, UMR CNRS, LIMOGES, FRANCE; GONZALEZ-HERRAEZ, MIGUEL, UNIV ALCALA DE HENARES, DEPT ELECT, POLYTECH SCH, MADRID 28871, SPAIN"	"DEPARTMENT OF ANALYTICAL CHEMISTRY, PHYSICAL CHEMISTRY AND CHEMICAL ENGINEERING, MULTIPURPOSE BUILDING OF CHEMISTRY, UNIVERSITY OF ALCAL, MADRID, SPAIN;XLIM-FIBRE PHOTONICS DEPARTMENT, UMR CNRS/UNIVERSITY OF LIMOGES, LIMOGES, FRANCE;DEPARTMENT OF ELECTRONICS, POLYTECHNIC SCHOOL, UNIVERSITY OF ALCAL, MADRID, SPAIN"	"Scopus,WebOfScience"	"ARTICLE"	"ELECTROPHORESIS"	"CAPILLARIES;EXPLOSIVE;LASER-INDUCED FLUORESCENCE;NITROSTARCH;PHOTONIC CRYSTAL FIBERS"
"GENETIC VARIATION IN COAT COLOUR GENES MC1R AND ASIP PROVIDES INSIGHTS INTO DOMESTICATION AND MANAGEMENT OF SOUTH AMERICAN CAMELIDS"	2018	"MARN JC;RIVERA R;VARAS V;CORTS J;AGAPITO A;CHERO A;CHVEZ A;JOHNSON WE;OROZCO-TERWENGEL P;MARIN JC;RIVERA R;VARAS V;CORTES J;AGAPITO A;CHERO A;CHAVEZ A;JOHNSON WE;OROZCO-TERWENGEL P"	"10.3389/fgene.2018.00487"	"SINGLE NUCLEOTIDE SUBSTITUTION; MELANOCORTIN 1 RECEPTOR;; MITOCHONDRIAL-DNA; Y-CHROMOSOME; SHEEP BREED; ALPACA; ASSOCIATION;; MUTATIONS; EVOLUTION; DIFFERENTIATION"	"ALPACA;  ARTICLE;  DOMESTIC ANIMAL;  DOMESTICATION;  EXON;  GENE FLOW;  GENETIC VARIATION;  INTROGRESSION;  LLAMA;  NONHUMAN;  PHENOTYPE;  POACHING (WILDLIFE CRIME);  VICUNA"	"MARIN, JC (CORRESPONDING AUTHOR), UNIV BIO BIO, DEPT CIENCIAS BASICAS, LAB GENOM \& BIODIVERSIDAD, CHILLAN, CHILE; MARIN, JUAN C; RIVERA, ROMINA; CORTES, JORGE; AGAPITO, ANA; CHERO, ANA; CHAVEZ, ALEXANDRA, UNIV BIO BIO, DEPT CIENCIAS BASICAS, LAB GENOM \& BIODIVERSIDAD, CHILLAN, CHILE; RIVERA, ROMINA, UNIV SANTO TOMAS, DEPT CIENCIAS BASICAS, IQUIQUE, CHILE; VARAS, VALERIA, UNIV AUSTRAL CHILE, FAC CIENCIAS, INST CIENCIAS AMBIENTALES \& EVOLUT, CIENCIAS MENC ECOL \& EVOLUT, VALDIVIA, CHILE; CORTES, JORGE, UNIV CONCEPCION, DEPT ZOOL, CONCEPCION, CHILE; JOHNSON, WARREN E, SMITHSONIAN INST, SMITHSONIAN CONSERVAT BIOL INST, WASHINGTON, DC 20560 USA; OROZCO-TERWENGEL, PABLO, CARDIFF UNIV, SCH BIOSCI, CARDIFF, S GLAM, WALES"	"LABORATORIO DE GENMICA Y BIODIVERSIDAD, DEPARTAMENTO DE CIENCIAS BSICAS, UNIVERSIDAD DEL BO-BO, CHILLN, CHILE;DEPARTAMENTO DE CIENCIAS BSICAS, UNIVERSIDAD SANTO TOMAS, IQUIQUE, CHILE;DOCTORADO EN CIENCIAS, MENCIN ECOLOGA Y EVOLUCIN, INSTITUTO DE CIENCIAS AMBIENTALES EVOLUTIVAS, FACULTAD DE CIENCIAS, UNIVERSIDAD AUSTRAL DE CHILE, VALDIVIA, CHILE;DEPARTAMENTO DE ZOOLOGA, UNIVERSIDAD DE CONCEPCIN, CONCEPCIN, CHILE;SMITHSONIAN CONSERVATION BIOLOGY INSTITUTE, SMITHSONIAN INSTITUTION, WASHINGTON, DC, UNITED STATES;SCHOOL OF BIOSCIENCES, CARDIFF UNIVERSITY, CARDIFF, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"FRONTIERS IN GENETICS"	"ALPACA;LLAMA;VICUNA;GUANACO;FIBRE;DOMESTICATION;HYBRIDIZATION;SELECTION;VICUA"
"HAIR COLOR MEASUREMENT"	2010	"TOBIN DJ"	"10.1533/9780857090195.2.371"	"CORTICOTROPIN-RELEASING HORMONE; MELANOCORTIN-1 RECEPTOR; MELANOCYTES;; FOLLICLE; PIGMENTATION; SKIN; MELANOGENESIS; MICE; POPULATIONS;; MECHANISM"	"COLOR;  MELANIN; HAIR FIBERS;  HAIR FOLLICLES;  MELANOCYTE;  MELANOGENESIS;  PIGMENTATION; FORENSIC SCIENCE"	"TOBIN, DJ (CORRESPONDING AUTHOR), UNIV BRADFORD, SCH LIFE SCI, CTR SKIN SCI, RICHMOND RD, BRADFORD BD7 1DP, W YORKSHIRE, ENGLAND; UNIV BRADFORD, SCH LIFE SCI, CTR SKIN SCI, BRADFORD BD7 1DP, W YORKSHIRE, ENGLAND"	"CENTRE FOR SKIN SCIENCES, SCHOOL OF LIFE SCIENCES, UNIVERSITY OF BRADFORD, RICHMOND ROAD, BRADFORD, WEST YORKSHIRE BD7 1DP, UNITED KINGDOM"	"Scopus,WebOfScience"	"BOOK"	"COLOUR MEASUREMENT-PRINCIPLES, ADVANCES AND INDUSTRIAL APPLICATIONS;COLOUR MEASUREMENT: PRINCIPLES, ADVANCES AND INDUSTRIAL APPLICATIONS"	"HAIR FOLLICLE;HAIR FIBER;PIGMENTATION;MELANIN;MELANOCYTE;MELANOGENESIS"
"HEMP FOOD PRODUCTS - A PROBLEM?"	2004	"LACHENMEIER DW"	""	"CANNABIS-SATIVA L; CHROMATOGRAPHY-MASS SPECTROMETRY; PRESSURE; LIQUID-CHROMATOGRAPHY; SOLID-PHASE MICROEXTRACTION; SEED OIL;; TETRAHYDROCANNABINOL CONTENT; DELTA(9)-THC CONTENT; HAIR SAMPLES; DRUG; TESTS; FIBER-TYPE"	""	"LACHENMEIER, DW (CORRESPONDING AUTHOR), CHEM \& VET UNTERSUCHUNGSAMT, CVUA, WEIBENBURGER STR 3, D-76187 KARLSRUHE, GERMANY; CHEM \& VET UNTERSUCHUNGSAMT, CVUA, D-76187 KARLSRUHE, GERMANY"	""	"WebOfScience"	"ARTICLE"	"DEUTSCHE LEBENSMITTEL-RUNDSCHAU"	"HANFLEBENSMITTEL;FASERHANF;CANNABIS SATIVA L;CANNABINOIDE;TETRAHYDROCANNABINOL (THC);HEMP FOOD;FIBRE HEMP;CANNABINOIDS"
"HEMP PLANT-CONTAINING FOODSTUFF - PROBLEM? [HANFHALTIGE LEBENSMITTEL - EIN PROBLEM?]"	2004	"LACHENMEIER DW"	""	""	"CANNABINOIDS;  CANNABIS SATIVA L.;  FIBER HEMP;  HEMP FOOD;  TETRAHYDROCANNABINOL (THC); INFORMATION ANALYSIS;  LAWS AND LEGISLATION;  MARKETING;  PLANTS (BOTANY); CULTIVATION; CANNABIS;  CANNABIS SATIVA"	""	"CHEM./V. KARLSRUHE, WEIENBURGER STR. 3, D-76187 KARLSRUHE, GERMANY"	"Scopus"	"REVIEW"	"DEUTSCHE LEBENSMITTEL-RUNDSCHAU"	"CANNABINOIDE;CANNABINOIDS;CANNABIS SATIVA L.;FASERHANF;FIBRE HEMP;HANFLEBENSMITTEL;TETRAHYDROCANNABINOL (THC);TETRAHYDROCANNABINOL (THC) / HEMP FOOD"
"HISTOLOGICAL CHANGES IN SKELETAL MUSCLE DURING DEATH BY DROWNING AN EXPERIMENTAL STUDY"	2016	"GIRELA-LPEZ E;RUZ-CARACUEL I;BELTRN C;JIMENA I;LEIVA-CEPAS F;JIMENEZ-REINA L;PEA J"	"10.1097/PAF.0000000000000233"	""	"ANIMAL;  ANIMAL MODEL;  DROWNING;  ELECTRON MICROSCOPY;  FORENSIC PATHOLOGY;  MUSCLE FIBRIL;  MUSCLE MITOCHONDRION;  PATHOLOGY;  SKELETAL MUSCLE;  WISTAR RAT; ANIMALS;  MICROSCOPY; ELECTRON;  MITOCHONDRIA; MUSCLE;  MODELS; ANIMAL;  MUSCLE; SKELETAL;  MYOFIBRILS;  RATS; WISTAR"	""	"SECTION OF LEGAL AND FORENSIC MEDICINE, FACULTY OF MEDICINE AND NURSING, UNIVERSITY OF CRDOBA, AVDA. MENNDEZ PIDAL, S/N. 14071, CRDOBA, SPAIN;DEPARTMENT MORPHOLOGICAL SCIENCES, SPAIN;RESEARCH GROUP IN MUSCLE REGENERATION, FACULTY OF MEDICINE AND NURSING, SPAIN;IMIBIC, REINA SOFIA UNIVERSITY HOSPITAL, UNIVERSITY OF CRDOBA, SPAIN"	"Scopus"	"ARTICLE"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"ANOXIA;DROWNING DEATH;RAGGED RED FIBERS;RHABDOMYOLYSIS;SKELETAL MUSCLE"
"HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION FOR MASS SPECTROMETRY: FROM PROTEINS TO WHOLE BACTERIA"	2010	"RESCHIGLIAN P;ZATTONI A;RAMBALDI DC;RODA A;MOON MH"	"10.1007/978-90-481-9815-3\_2"	"MICROORGANISM IDENTIFICATION; 2-DIMENSIONAL ELECTROPHORESIS; POLYSTYRENE; SULFONATES; IONIC-STRENGTH; CELLS; SEPARATION; PERFORMANCE; PROTEOMICS;; RESOLUTION; RETENTION"	""	"RESCHIGLIAN, P (CORRESPONDING AUTHOR), DEPT CHEM G CIAMICIAN, VIA SELMI 2, I-40126 BOLOGNA, ITALY; RESCHIGLIAN, PIERLUIGI; ZATTONI, ANDREA; RAMBALDI, DIANA CRISTINA, DEPT CHEM G CIAMICIAN, VIA SELMI 2, I-40126 BOLOGNA, ITALY; RESCHIGLIAN, PIERLUIGI; ZATTONI, ANDREA; RAMBALDI, DIANA CRISTINA; RODA, ALDO, I N B B CONSORTIUM, ROME, ITALY; RODA, ALDO, DEPT PHARMACEUT SCI, BOLOGNA, ITALY; MOON, MYEONG HEE, YONSEI UNIV, DEPT CHEM, SEOUL 120749, SOUTH KOREA"	""	"WebOfScience"	"PROCEEDINGS PAPER"	"DETECTION OF BIOLOGICAL AGENTS FOR THE PREVENTION OF BIOTERRORISM"	"FIELD-FLOW FRACTIONATION;HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION;MASS SPECTROMETRY;PROTEOMICS BACTERIA IDENTIFICATION;FORENSIC ANALYSIS"
"HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION FOR MASS SPECTROMETRY: FROM PROTEINS TO WHOLE BACTERIA"	2011	"RESCHIGLIAN P;ZATTONI A;RAMBALDI DC;RODA A;HEE MOON M"	"10.1007/978-90-481-9815-3_2"	""	"BACTERIA (MICROORGANISMS)"	""	"DEPARTMENT OF CHEMISTRY, G. CIAMICIAN, VIA SELMI 2, BOLOGNA 40126, ITALY;I.N.B.B. CONSORTIUM, ROME, ITALY;DEPARTMENT OF PHARMACEUTICAL SCIENCE, VIA BELMELORO 6, BOLOGNA 40126, ITALY;DEPARTMENT OF CHEMISTRY, YONSEI UNIVERSITY, SEOUL, SOUTH KOREA"	"Scopus"	"CONFERENCE MATERIAL"	"NATO SCIENCE FOR PEACE AND SECURITY SERIES A-CHEMISTRY AND BIOLOGY"	"FIELD-FLOW FRACTIONATION;FORENSIC ANALYSIS;HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION;MASS SPECTROMETRY;PROTEOMICS BACTERIA IDENTIFICATION"
"HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION OF BARBITURATES IN LIVER SAMPLES"	2013	"MENCK RA;DE OLIVEIRA CDR;DE LIMA DS;GOES LE;LEYTON V;PASQUALUCCI CAG;MUOZ DR;YONAMINE M"	"10.1007/s11419-012-0160-7"	""	"BUTALBITAL;  EUCALYPTUS OIL;  PENTOBARBITAL;  PHENOBARBITAL;  PHENYLTRIMETHYLAMMONIUM;  SECOBARBITAL;  SODIUM HYDROXIDE; AQUEOUS SOLUTION;  COMPOSITE MATERIAL;  CONFERENCE PAPER;  CONTROLLED STUDY;  DRUG DETERMINATION;  DRUG EXPOSURE;  DRUG ISOLATION;  DRUG STRUCTURE;  GREEN CHEMISTRY;  HOLLOW FIBER;  HOLLOW FIBER LIQUID PHASE MICROEXTRACTION;  HUMAN;  HUMAN TISSUE;  LIQUID MEMBRANE;  LIQUID PHASE MICROEXTRACTION;  LIVER EXAMINATION;  LIVER SAMPLE;  MASS FRAGMENTOGRAPHY;  PRIORITY JOURNAL;  SAMPLING;  VALIDATION STUDY; EUCALYPTUS"	""	"FACULTY OF PHARMACEUTICAL SCIENCES, UNIVERSITY OF SO PAULO, AV. PROFESSOR LINEU PRESTES, 580 13B, CEP 05508-000 SO PAULO SP, BRAZIL;FACULTY OF MEDICINE, UNIVERSITY OF SO PAULO, SO PAULO, BRAZIL;DEATH VERIFICATION SERVICE, UNIVERSITY OF SO PAULO, SO PAULO, BRAZIL"	"Scopus"	"CONFERENCE MATERIAL"	"FORENSIC TOXICOLOGY"	"BARBITURATES;GC-MS;HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION (HF-LPME);PHENOBARBITAL;SECOBARBITAL;TISSUE (LIVER) SAMPLES"
