"Authors"	"Title"	"Year"	"AKeywords"	"Source.title"	"DOI"	"Document.Type"	"Link"	"Coder"
"BOROJEVIC K; MOUNTAIN R"	"Microscopic identification and sourcing of ancient egyptian plant fibres using longitudinal thin sectioning"	2013	"Egypt; Fibre; Light Microscopy; Longitudinal Thin Sections; Plants"	"Archaeometry"	"10.1111/j.1475-4754.2012.00673.x"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872412052&doi=10.1111%2fj.1475-4754.2012.00673.x&partnerID=40&md5=48caae37398f55cebd788f535d59194d"	2013
"HESS S"	"The identification of natural fibres using the Herzog effect"	2012	NA	"Proceedings of 20th ENFSI European Textile & Hair Group, Vienna"	NA	"Proceedings papers"	NA	2013
"HIROMA Y; HOKURA A; NAKAI I"	"Forensic identification of trunk mat by trace element analysis of single fiber with laser ablation ICP-MS"	2010	"Forensic science; LA-ICP-MS; Single fiber; Trace element"	"Bunseki Kagaku"	"10.2116/bunsekikagaku.59.759"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349295611&doi=10.2116%2fbunsekikagaku.59.759&partnerID=40&md5=84f8b5f4d5266013fffa311212cfbbb5"	2013
"BRINSKO KM"	"Optical characterization of some modern \"eco-friendly\""	2010	"alginate; azlon; bamboo rayon; chitin; criminalistics; fiber identification; forensic science; Fourier transform infrared spectroscopy; polarized light microscopy; polylactic acid"	"Journal of Forensic Sciences"	"10.1111/j.1556-4029.2010.01369.x"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954343470&doi=10.1111%2fj.1556-4029.2010.01369.x&partnerID=40&md5=ecde04d215f676531f7155ebd24f4f1c"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.fabriclink.com"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://fibre2fashion.com"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://fs2012.empa.ch/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.fashion-links.de/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.fashionseek.net/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.ita.rwth-aachen.de/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.techexchange.com/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.texdata.com/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.texi.org/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.textile.fr/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.textileweb.com/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.textileworld.com"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.textilexpert.com/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.textilserver.de/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.trevira.de/"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://textilesupdate.com"	2013
"PALMER R"	"The Forensic Examination of Fibres - A Review: 2010 to 2013"	2013	NA	"Proceedings of the 17th International Forensic Science Symposium Interpol. Lyon"	NA	"Report"	NA	2016
"JOCHEM G"	"Friends and Neighbours"	2013	NA	"Proceedings of the 21st ENFSI Textile & Hair Group Meeting, Haapsalu"	NA	"Proceedings papers"	NA	2016
"GANNICLIFFE C"	"The World’s End murders"	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
"DE WAEL K; LEPOT L; LUNSTROOT K; GASON F"	"10 years of 1:1 taping in Belgium - A selection of murder cases involving fibre examination"	2016	"1:1 taping; Fibre examination; Microtrace recovery; Tape lifting; Zonal taping"	"Science and Justice"	"10.1016/j.scijus.2015.07.002"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940093433&doi=10.1016%2fj.scijus.2015.07.002&partnerID=40&md5=a540b40851ba55ead6a139ec54f71675"	2016
