Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,ID,Document Type,Publication Stage,Access Type,Source,EID,Coder
"Greaves P., Rainsford F.E.B.",7004285813;6603202675;,Camelid fibres - Compared & contrasted,2005,Textiles Magazine,32,03-Apr,,46,48,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29944439411&partnerID=40&md5=43033b9d91c7be3a1b0c4a5e87085228,"Microtex, West Yorkshire, United Kingdom; Universidad Catolica de Santa Maria, Arequipa, Peru","Greaves, P., Microtex, West Yorkshire, United Kingdom; Rainsford, F.E.B., Universidad Catolica de Santa Maria, Arequipa, Peru",,camel hair,,Article,Final,,Scopus,2-s2.0-29944439411,2007
"Wiggins K.G., Holness J.-A., March B.M.",7003873724;8320412500;8320412600;,The importance of thin layer chromatography and UV microspectrophotometry in the analysis of reactive dyes released from wool and cotton fibers,2005,Journal of Forensic Sciences,50,2,,364,368,,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14844363117&partnerID=40&md5=4e0c6a1eeb94893ae5b919db268d3554,"Forensic Science Service, London Laboratory, 109 Lambeth Road, London SE1 7LP, United Kingdom; Fibers Consultant to R and D, Forensic Science Service, 109 Lambeth Road, London SE1 7LP, United Kingdom","Wiggins, K.G., Forensic Science Service, London Laboratory, 109 Lambeth Road, London SE1 7LP, United Kingdom, Fibers Consultant to R and D, Forensic Science Service, 109 Lambeth Road, London SE1 7LP, United Kingdom; Holness, J.-A., Forensic Science Service, London Laboratory, 109 Lambeth Road, London SE1 7LP, United Kingdom; March, B.M., Forensic Science Service, London Laboratory, 109 Lambeth Road, London SE1 7LP, United Kingdom",Comparison microscopy; Cotton; Criminalistics; Forensic science; Reactive dyes; Thin layer chromatography; UV microspectrophotometry; Visible light microspectrophotometry; Wool,alkali; cellulase; dye; article; color; cotton; criminology; forensic science; hydrolysis; intermethod comparison; microscopy; microspectrophotometry; priority journal; spectrophotometer; thin layer chromatography; ultraviolet spectrophotometry; wool,,Article,Final,,Scopus,2-s2.0-14844363117,2007
"Wiggins K., Holness J.-A.",7003873724;8320412500;,A further study of dye batch variation in textile and carpet fibres,2005,Science and Justice - Journal of the Forensic Science Society,45,2,,93,96,,17,10.1016/S1355-0306(05)71634-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-22644443666&doi=10.1016%2fS1355-0306%2805%2971634-8&partnerID=40&md5=f3a3ece2d69ef593208ab5952151e32c,"Forensic Science Service, London Laboratory, 109 Lambeth Road, London SE1 7LP, United Kingdom","Wiggins, K., Forensic Science Service, London Laboratory, 109 Lambeth Road, London SE1 7LP, United Kingdom; Holness, J.-A., Forensic Science Service, London Laboratory, 109 Lambeth Road, London SE1 7LP, United Kingdom",Comparison microscopy; Dye batch variation; Fibre; Forensic science; Thin layer chromatography; UV microspectrophotometry; Visible light microspectrophotometry,acrylic acid; dye; nylon; article; carpet fiber; dye batch variation; fiber; fluorescence; microscopy; microspectrophotometry; quality control; textile fiber; thin layer chromatography; ultraviolet spectrophotometry,,Article,Final,,Scopus,2-s2.0-22644443666,2007
"Causin V., Marega C., Guzzini G., Marigo A.",,The Effect of Exposure to the Elements on the Forensic Characterization by Infrared Spectroscopy of Poly(ethylene terephthalate) Fibers,2005,Journal of Forensic Sciences ,50,4,,,,,,,,"Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy; Sezione di Chimica, Esplosivi Ed Infiammabili, Reparto Carabinieri Investigazioni Scientifiche, Viale Tor di Quinto 151, 00191 Roma, Italy","Causin, V., Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy; Marega, C., Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy; Guzzini, G., Sezione di Chimica, Esplosivi Ed Infiammabili, Reparto Carabinieri Investigazioni Scientifiche, Viale Tor di Quinto 151, 00191 Roma, Italy; Marigo, A., Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy",forensic science; fiber analysis; contact traces; polyethylene terephthalate; Fourier transform infrared spectroscopy,,,Article,,,,,2007
"Causin V., Marega C., Schiavone S., Marigo A.",6602309019;6603912123;55928378600;7004694222;,A quantitative differentiation method for acrylic fibers by infrared spectroscopy,2005,Forensic Science International,151,02-Mar,,125,131,,30,10.1016/j.forsciint.2005.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444419069&doi=10.1016%2fj.forsciint.2005.02.004&partnerID=40&md5=f5427aa2582a4bc3f4fb63537570b126,"Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy; Sezione di Chimica, Esplosivi Ed Infiammabili, Reparto Carabinieri Investigazioni Scientifiche, Viale Tor di Quinto 151, 00191 Roma, Italy","Causin, V., Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy; Marega, C., Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy; Schiavone, S., Sezione di Chimica, Esplosivi Ed Infiammabili, Reparto Carabinieri Investigazioni Scientifiche, Viale Tor di Quinto 151, 00191 Roma, Italy; Marigo, A., Dipartimento di Scienze Chimiche dell'Università, via Marzolo 1, 35131 Padova, Italy",Acrylics; Copolymers; Crystallinity; Fibers; Forensic science; Infrared spectroscopy; Polyacrylonitrile; X-ray diffraction,acrylic acid; carbon; carbonyl derivative; hydrogen; monomer; nitrile; polymer; article; chemical bond; infrared spectroscopy; measurement; priority journal; quantitative analysis; textile fiber,,Article,Final,,Scopus,2-s2.0-20444419069,2007
"Grover E., Sharma A., Rawat B., Paul S., Jahan S.",7004021600;55482791000;7004480723;7401979748;7003798096;,Dyeing of silk with natural dyes,2005,International Dyer,190,10,,9,16,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744499724&partnerID=40&md5=f079d2d783943d3d0745beb6ba2fad5f,"Dept. of Clothing and Textiles, AAI-DU, Allahabad, India; Dept. of Clothing and Textiles, G.B.P.U.A. and T., Pantnagar, India","Grover, E., Dept. of Clothing and Textiles, AAI-DU, Allahabad, India; Sharma, A.; Rawat, B., Dept. of Clothing and Textiles, AAI-DU, Allahabad, India; Paul, S., Dept. of Clothing and Textiles, G.B.P.U.A. and T., Pantnagar, India; Jahan, S., Dept. of Clothing and Textiles, G.B.P.U.A. and T., Pantnagar, India",,dyeing; natural dye; silk,,Article,Final,,Scopus,2-s2.0-27744499724,2007
"Huang M., Russo R., Fookes B.G., Sigman M.E.",57198802654;55187657800;6603223225;7102195984;,Analysis of fiber dyes by liquid chromatography mass spectrometry (LC-MS) with electrospray ionization: Discriminating between dyes with indistinguishable UV-visible absorption spectra,2005,Journal of Forensic Sciences,50,3,,526,534,,27,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-18244402191&partnerID=40&md5=400d68ab2bdac71abf2723ea23c5fbc4,"National Center for Forensic Science, University of Central Florida, P.O. Box 162367, Orlando, FL 32816-2367, United States; Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL 32816-2367, United States; National Center for Forensic Science, Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL 32816-2367, United States","Huang, M., National Center for Forensic Science, University of Central Florida, P.O. Box 162367, Orlando, FL 32816-2367, United States; Russo, R., Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL 32816-2367, United States; Fookes, B.G., Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL 32816-2367, United States; Sigman, M.E., National Center for Forensic Science, Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL 32816-2367, United States",Fiber dye identification; Forensic science; Liquid chromatography mass spectrometry; UV/visible detection,dye; absorption spectroscopy; article; cotton; electrospray mass spectrometry; liquid chromatography; microspectrophotometry; priority journal; textile fiber; ultraviolet spectroscopy,,Article,Final,,Scopus,2-s2.0-18244402191,2007
"Thomas J., Buzzini P., Massonnet G., Reedy B., Roux C.",57198922467;8626149000;6603429626;56041871900;7202017940;,Raman spectroscopy and the forensic analysis of black/grey and blue cotton fibres: Part 1. Investigation of the effects of varying laser wavelength,2005,Forensic Science International,152,02-Mar,,189,197,,62,10.1016/j.forsciint.2004.08.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20544449149&doi=10.1016%2fj.forsciint.2004.08.009&partnerID=40&md5=5c2e35ef6f32afcfc5a8f8f3798de52d,"Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia; School of Forensic Science, University of Lausanne, BCH, Lausanne 1015, Switzerland","Thomas, J., Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia; Buzzini, P., School of Forensic Science, University of Lausanne, BCH, Lausanne 1015, Switzerland; Massonnet, G., School of Forensic Science, University of Lausanne, BCH, Lausanne 1015, Switzerland; Reedy, B., Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia; Roux, C., Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia",Blue cotton; Degradation; Fluorescence; Forensic fibre analysis; Laser wavelength; Raman spectroscopy; Reactive dye,dye; article; cotton; forensic identification; forensic science; laser; priority journal; quality control; Raman spectrometry; spectral sensitivity,,Article,Final,,Scopus,2-s2.0-20544449149,2007
"Petrick L.M., Wilson T.A., Fawcett W.R.",23393798800;14033555100;17133614900;,High-performance liquid chromatography-ultraviolet-visible spectroscopy-electrospray ionization mass spectrometry method for acrylic and polyester forensic fiber dye analysis,2006,Journal of Forensic Sciences,51,4,,771,779,,29,10.1111/j.1556-4029.2006.00155.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745749364&doi=10.1111%2fj.1556-4029.2006.00155.x&partnerID=40&md5=86325b3747eb465ce71e9ca856858a4c,"Chemistry Department, University of California at Davis, One Shields Avenue, Davis, CA 95616, United States; Sacramento County District Attorney's Laboratory of Forensic Services, 4800 Broadway Street, Sacramento, CA 95820, United States; Sacramento County District Attorney's Laboratory of Forensic Services, 4800 Broadway St., Ste 200, Sacramento, CA 95820, United States","Petrick, L.M., Chemistry Department, University of California at Davis, One Shields Avenue, Davis, CA 95616, United States; Wilson, T.A., Sacramento County District Attorney's Laboratory of Forensic Services, 4800 Broadway Street, Sacramento, CA 95820, United States, Sacramento County District Attorney's Laboratory of Forensic Services, 4800 Broadway St., Ste 200, Sacramento, CA 95820, United States; Fawcett, W.R., Chemistry Department, University of California at Davis, One Shields Avenue, Davis, CA 95616, United States",Basic dyes; Disperse dyes; Fiber; Forensic science; High-performance liquid chromatography-mass spectrometry; Textile dye; Trace evidence,acetonitrile; acrylic acid; anthraquinone; azo dye; dye; methine; nitro derivative; organic solvent; polyester; pyridine; triphenylmethane; unclassified drug; water; accuracy; color; conference paper; electrospray mass spectrometry; flow rate; high performance liquid chromatography; microspectrophotometry; priority journal; process optimization; solvent extraction; temperature; textile fiber; thin layer chromatography; ultraviolet spectroscopy,,Conference Paper,Final,,Scopus,2-s2.0-33745749364,2007
"Flynn K., O'Leary R., Roux C., Reedy B.J.",55411978100;8626930600;7202017940;56041871900;,Forensic analysis of bicomponent fibers using infrared chemical imaging,2006,Journal of Forensic Sciences,51,3,,586,596,,28,10.1111/j.1556-4029.2006.00116.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646716489&doi=10.1111%2fj.1556-4029.2006.00116.x&partnerID=40&md5=2c56898bb646f2b548269577c35ca249,"Department of Chemistry, Materials and Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW 2007, Australia; Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia","Flynn, K., Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia; O'Leary, R., Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia; Roux, C., Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia; Reedy, B.J., Department of Chemistry, Materials and Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW 2007, Australia, Centre for Forensic Science, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia",Bicomponent fibers; Chemical imaging; Forensic science; FTIR; Hyperspectral imaging; Infrared,polymer; article; fiber; forensic science; Fourier transformation; imaging system; infrared spectroscopy; priority journal; scanning electron microscopy,,Article,Final,,Scopus,2-s2.0-33646716489,2007
"Causin V., Marega C., Schiavone S., Della Guardia V., Marigo A.",6602309019;6603912123;55928378600;9036389500;7004694222;,Forensic analysis of acrylic fibers by pyrolysis-gas chromatography/mass spectrometry,2006,Journal of Analytical and Applied Pyrolysis,75,1,,43,48,,16,10.1016/j.jaap.2005.04.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644576202&doi=10.1016%2fj.jaap.2005.04.009&partnerID=40&md5=332cb765e0c7561b216b17353b37aec6,"Dipartimento di Scienze Chimiche dell'Università, Via Marzolo 1, 35131 Padova, Italy; Sezione di Chimica, Esplosivi ed Infiammabili, Reparto Carabinieri Investigazioni Scientifiche, Viale Tor di Quinto 151, 00191 Rome, Italy","Causin, V., Dipartimento di Scienze Chimiche dell'Università, Via Marzolo 1, 35131 Padova, Italy; Marega, C., Dipartimento di Scienze Chimiche dell'Università, Via Marzolo 1, 35131 Padova, Italy; Schiavone, S., Sezione di Chimica, Esplosivi ed Infiammabili, Reparto Carabinieri Investigazioni Scientifiche, Viale Tor di Quinto 151, 00191 Rome, Italy; Della Guardia, V., Sezione di Chimica, Esplosivi ed Infiammabili, Reparto Carabinieri Investigazioni Scientifiche, Viale Tor di Quinto 151, 00191 Rome, Italy; Marigo, A., Dipartimento di Scienze Chimiche dell'Università, Via Marzolo 1, 35131 Padova, Italy",Acrylics; Fibers; Forensic science; Polymers; Pyrolysis,Color; Composition; Defects; Degradation; Gas chromatography; Mixtures; Morphology; Polyacrylonitriles; Pyrolysis; Reliability; Synthetic fibers; Colorless polyacrylonitrile; Head-to-head arrangements; Industrial products; Acrylics; Acrylic Compounds; Forensics; Gas Chromatography; Pyrolysis; Synthetic Fibers,,Article,Final,,Scopus,2-s2.0-27644576202,2007
"Grieve M.C., Biermann T.W., Schaub K.",7003921245;36747624800;8250407300;,The use of indigo derivatives to dye denim material,2006,Science and Justice - Journal of the Forensic Science Society,46,1,,15,24,,15,10.1016/S1355-0306(06)71563-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746451831&doi=10.1016%2fS1355-0306%2806%2971563-5&partnerID=40&md5=d63b6c985e29a62bda5648b48d8d25a8,"Forensic Science Institute, Bundeskriminalamt, 65193 Wiesbaden, Germany","Grieve, M.C., Forensic Science Institute, Bundeskriminalamt, 65193 Wiesbaden, Germany; Biermann, T.W., Forensic Science Institute, Bundeskriminalamt, 65193 Wiesbaden, Germany; Schaub, K., Forensic Science Institute, Bundeskriminalamt, 65193 Wiesbaden, Germany",Cotton (fibres); Denim; Fibre frequency; Indigo (dyes); Microspectrophotometry,dye; indigo carmine; article; microspectrophotometry; textile fiber,,Article,Final,,Scopus,2-s2.0-33746451831,2007
"Was-Guba?a J., Krauß W.",6602268152;57198299393;,Damage caused to fibres by the action of two types of heat,2006,Forensic Science International,159,02-Mar,,119,126,,8,10.1016/j.forsciint.2005.06.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646590635&doi=10.1016%2fj.forsciint.2005.06.013&partnerID=40&md5=4b176d929ae495e603c15de62a1b870a,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Forensic Science Institute, Landeskriminalamt Baden-Württemberg, Taubenheimstraße 85, 70372 Stuttgart, Germany","Was-Guba?a, J., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Krauß, W., Forensic Science Institute, Landeskriminalamt Baden-Württemberg, Taubenheimstraße 85, 70372 Stuttgart, Germany",Damage; Fibre; Fire; High temperature; SEM,article; color; degradation; heat; heating; microscopy; priority journal; scanning electron microscopy; temperature; textile,,Article,Final,,Scopus,2-s2.0-33646590635,2007
"Marnane R.N., Elliot D.A., Coulson S.A.",8578792600;7102111094;7005938457;,A pilot study to determine the background population of foreign fibre groups on a cotton/polyester T-shirt,2006,Science and Justice - Journal of the Forensic Science Society,46,4,,215,220,,14,10.1016/S1355-0306(06)71601-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248148169&doi=10.1016%2fS1355-0306%2806%2971601-X&partnerID=40&md5=1007d110b23433e5bb0851c776c0d1fd,"University of Auckland, Private Bag 92019, Auckland, New Zealand; ESR, Private Bag 92021, Auckland, New Zealand","Marnane, R.N., University of Auckland, Private Bag 92019, Auckland, New Zealand; Elliot, D.A., ESR, Private Bag 92021, Auckland, New Zealand; Coulson, S.A., ESR, Private Bag 92021, Auckland, New Zealand",Background population; Fibres; Fibres evidence; Size of groups; T-shirts,polyester; article; Bayes theorem; clothing; cotton; forensic identification; pilot study; probability; synthetic fiber,,Article,Final,,Scopus,2-s2.0-34248148169,2007
"Hirschler M.M., Umino P.Y., Zicherman J.B.",7005595228;35180754300;6701462795;,Forensic evaluations of fabric flammability,2006,"17th Conference on Recent Advances in Flame Retardancy of Polymeric Materials 2006 - ""Applications, Research and Industrial Development, Markets""",,,,335,357,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893334003&partnerID=40&md5=42c3d8414f3771a49799dce72696f258,"GBH International, 2 Friar's Lane, Mill Valley, CA 949491, United States; Fire Cause Analysis, 935 Pardee Street, Berkeley, CA 94710, United States","Hirschler, M.M., GBH International, 2 Friar's Lane, Mill Valley, CA 949491, United States; Umino, P.Y., Fire Cause Analysis, 935 Pardee Street, Berkeley, CA 94710, United States; Zicherman, J.B., Fire Cause Analysis, 935 Pardee Street, Berkeley, CA 94710, United States",,Areal densities; Chemical compositions; Fire exposures; Fire performance; Flame spread rate; Forensic evaluation; General correlations; Lightweight fabrics; Flammability testing; Industrial research; Fires,,Conference Paper,Final,,Scopus,2-s2.0-84893334003,2007
"Sermier F.M., Massonnet G., Buzzini P., Fortini A., Gason F., De Wael K., Rovas P.",14039463500;6603429626;8626149000;14038700900;14038614100;23491995600;14039629500;,A comparison of efficiency of manual and automatic fibres search with the Maxcan fibre finder,2006,Forensic Science International,160,02-Mar,,102,108,,3,10.1016/j.forsciint.2005.08.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745945639&doi=10.1016%2fj.forsciint.2005.08.015&partnerID=40&md5=32d7bf6f99a884b54ed3081632aed35b,"Ecole de Sciences Criminelles, Institut de Police Scientifique, University of Lausanne, CH-1015 Dorigny, Switzerland; Institut National de Criminalistique et de Criminologie, Ministère de la Justice, Chaussée de Vilvorde 98-100, B-1120 Bruxelles, Belgium; Keskusrikospoliisi, National Bureau of Investigation, Jokiniemenkuja 4, FIN-01301 Vantaa, Finland","Sermier, F.M., Ecole de Sciences Criminelles, Institut de Police Scientifique, University of Lausanne, CH-1015 Dorigny, Switzerland; Massonnet, G., Ecole de Sciences Criminelles, Institut de Police Scientifique, University of Lausanne, CH-1015 Dorigny, Switzerland; Buzzini, P., Ecole de Sciences Criminelles, Institut de Police Scientifique, University of Lausanne, CH-1015 Dorigny, Switzerland; Fortini, A., Ecole de Sciences Criminelles, Institut de Police Scientifique, University of Lausanne, CH-1015 Dorigny, Switzerland; Gason, F., Institut National de Criminalistique et de Criminologie, Ministère de la Justice, Chaussée de Vilvorde 98-100, B-1120 Bruxelles, Belgium; De Wael, K., Institut National de Criminalistique et de Criminologie, Ministère de la Justice, Chaussée de Vilvorde 98-100, B-1120 Bruxelles, Belgium; Rovas, P., Keskusrikospoliisi, National Bureau of Investigation, Jokiniemenkuja 4, FIN-01301 Vantaa, Finland",Automatic search; Fibre finder; Fibres; Fibres recovery,"article; fiber; forensic identification; forensic medicine; intermethod comparison; laboratory apparatus, equipment and supplies; laboratory automation; laboratory test; parameter; priority journal",,Article,Final,,Scopus,2-s2.0-33745945639,2007
"Bull P.A., Morgan R.M., Sagovsky A., Hughes G.J.A.",7101661287;57194780985;16403196600;57199689972;,The Transfer and Persistence of Trace Particulates: Experimental studies using clothing fabrics,2006,Science and Justice - Journal of the Forensic Science Society,46,3,,185,195,,41,10.1016/S1355-0306(06)71592-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847773601&doi=10.1016%2fS1355-0306%2806%2971592-1&partnerID=40&md5=a2218f4358f6fbfaeeb6bcf0321935fd,"Oxford University Centre for the Environment, Dyson Perrins Building, South Parks Road, Oxford, OX1 3QY, United Kingdom","Bull, P.A., Oxford University Centre for the Environment, Dyson Perrins Building, South Parks Road, Oxford, OX1 3QY, United Kingdom; Morgan, R.M., Oxford University Centre for the Environment, Dyson Perrins Building, South Parks Road, Oxford, OX1 3QY, United Kingdom; Sagovsky, A., Oxford University Centre for the Environment, Dyson Perrins Building, South Parks Road, Oxford, OX1 3QY, United Kingdom; Hughes, G.J.A., Oxford University Centre for the Environment, Dyson Perrins Building, South Parks Road, Oxford, OX1 3QY, United Kingdom",Forensic Science; Lighter flint particles; Persistence; Pollen; Sediment; Transfer,trace metal; article; clothing; forensic identification; hair texture; particulate matter; pollen analysis; scanning electron microscopy; sediment; wool,,Article,Final,,Scopus,2-s2.0-33847773601,2007
Koch S.,,"Beyond cotton, nylon and polyester. The emergence of new fibres and yarns",2007,Global Forensic Science Today,1,,,,,,,,,,,,,,Article,,,,,2007
