Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,ID,Document Type,Publication Stage,Access Type,Source,EID
"Canetta E., Montiel K., Adya A.K.",11339551800;26656752600;6701802019;,Morphological changes in textile fibres exposed to environmental stresses: Atomic force microscopic examination,2009,Forensic Science International,191,01-Mar,,6,14,,26,10.1016/j.forsciint.2009.05.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69749123265&doi=10.1016%2fj.forsciint.2009.05.022&partnerID=40&md5=31811e8dd99a1dd2dd2905d0258c5ad1,"Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom","Canetta, E., Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom; Montiel, K., Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom; Adya, A.K., Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom",Atomic force microscopy; Cotton; Surface texture; Textile fibres; Viscose; Wool,cellulose; article; atomic force microscopy; controlled study; cotton; environmental exposure; forensic identification; image analysis; mechanical stress; priority journal; quantitative analysis; structure analysis; surface property; textile fiber; wool,,Article,Final,,Scopus,2-s2.0-69749123265
"De Wael K., Van Vaerenbergh G.",,Thermally Induced Changes in Textile Colour,2007,Global Forensic Science Today,3,September,,22,25,,,,,,,,,,Article,,,,
Hess S.,,The Combustability of Textiles,2010,"Proceedings of the 18th European Fibres Group Meeting, London, England",,June,,,,,,,,,,,,,Proceedings,,,,
"De Wael K., Gason F.G.C.S.J., Baes C.A.V.",23491995600;14038614100;23491213400;,Selection of an adhesive tape suitable for forensic fiber sampling,2008,Journal of Forensic Sciences,53,1,,168,171,,16,10.1111/j.1556-4029.2007.00628.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049121212&doi=10.1111%2fj.1556-4029.2007.00628.x&partnerID=40&md5=25a70ef5eaa11bf4b1fa1d30626180cb,"Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium","De Wael, K., Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium; Gason, F.G.C.S.J., Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium; Baes, C.A.V., Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium",Adhesive tape; Forensic fiber examination; Forensic science; Sampling techniques; Tape lifting,adhesive agent; article; fiber; forensic medicine; materials testing; priority journal; sampling,,Article,Final,,Scopus,2-s2.0-39049121212
Allen K.,,The recovery of fibres from non- textile items using electrostatic rods.,2009,"Proceedings of the 17th European Fibres Group Meeting, Berlin - Zeuthen, Germany",,June,,,,,,,,,,,,,Proceedings,,,,
"Palmer R., Burch H.J.",55636317627;14828745600;,"The population, transfer and persistence of fibres on the skin of living subjects",2009,Science and Justice,49,4,,259,264,,25,10.1016/j.scijus.2009.02.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71649097313&doi=10.1016%2fj.scijus.2009.02.008&partnerID=40&md5=32a268fad0942065bc764aa0c50a54c1,"The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE296NU, United Kingdom; Centre for Forensic Science, University of Strathclyde, Royal College, 204 George St, Glasgow, G1 1XW, United Kingdom","Palmer, R., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE296NU, United Kingdom; Burch, H.J., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE296NU, United Kingdom, Centre for Forensic Science, University of Strathclyde, Royal College, 204 George St, Glasgow, G1 1XW, United Kingdom",Bathing; Fibres; Length; Persistence; Skin; Transfer,polyester; arm; article; color; cotton; daily life activity; degradation; female; fiber; human; male; skin; wool; Clothing; Female; Forensic Medicine; Humans; Male; Microscopy; Skin; Textiles; Touch,,Article,Final,,Scopus,2-s2.0-71649097313
"Chewning D.D., Deaver K.L., Christensen A.M.",,The Persistence of Fibers on Ski Masks During Transit and Processing,2008,Forensic Science Communications,V10,3,,,,,,,,,,,,,Article,,,,
"De Wael K., Gason F.",, Microfibre Transfer Experiments,2008,Global Forensic Science Today,V4,January,,31,37,,,,,,,,,,Article,,,,
Coyle T.,,“What the flock?” An assessment of the Evidential Value of Automotive Flock,2009,"Proceedings of the 17th European Fibres Group Meeting, Berlin - Zeuthen, Germany",,June,,,,,,,,,,,,,Proceedings,,,,
Jones J.,,Synthetic Flock Fibres - A Target fibre Study,2010," Proceedings of the 18th European Fibres Group Meeting, London , England",,June,,,,,,,,,,,,,Proceedings,,,,
Dillinger S.,,Investigation Approaches Based on Textile Labels,2008,Global Forensic Science Today,V4,,,6,7,,,,,,,,,,Article,,,,
Dillinger S.,,Video Imaging - New Technical Aspects,2010," Proceedings of the 18th European Fibres Group Meeting, London , England",,June,,,,,,,,,,,,,Proceedings,,,,
Biermann T.W.,6701648651;,Blocks of colour IV: The evidential value of blue and red cotton fibres,2007,Science and Justice,47,2,,68,87,,35,10.1016/j.scijus.2006.08.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548134485&doi=10.1016%2fj.scijus.2006.08.001&partnerID=40&md5=02859068731a12a256623393e798e928,"KT33-Fibres Section, Forensic Science Institute, Bundeskriminalamt, 65173 Wiesbaden, Germany","Biermann, T.W., KT33-Fibres Section, Forensic Science Institute, Bundeskriminalamt, 65173 Wiesbaden, Germany",Cotton; Fibres; Fluorescence; Forensic science; Microspectrophotometry; Spectral frequency; UV/VIS,"article; comparative study; cotton; electromagnetic radiation; fiber; fluorescence microscopy; forensic identification; frequency analyzer; microfluorometry; microscopy; microspectrophotometry; sample; spectral sensitivity; theoretical study; ultraviolet radiation; Color; Cotton Fiber; Forensic Sciences; Humans; Microscopy, Fluorescence; Spectrum Analysis",,Article,Final,,Scopus,2-s2.0-34548134485
"Palmer R., Hutchinson W., Fryer V.",55636317627;36862937600;35233160700;,The discrimination of (non-denim) blue cotton,2009,Science and Justice,49,1,,12,18,,27,10.1016/j.scijus.2008.07.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-61449088411&doi=10.1016%2fj.scijus.2008.07.001&partnerID=40&md5=65030a1d19acee8ab2daaac69ff94987,"The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; The Forensic Science Service, Trident Court, 2920 Solihull Parkway, Birmingham, B37 7YN, United Kingdom","Palmer, R., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; Hutchinson, W., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; Fryer, V., The Forensic Science Service, Trident Court, 2920 Solihull Parkway, Birmingham, B37 7YN, United Kingdom",Blue; Cottons; Discrimination; Fibres; Microscopy; Microspectrophotometry,,,Article,Final,,Scopus,2-s2.0-61449088411
"Massonet G., Buzzini P.",,"Discrimination of coloured Acrylic,Cotton, and Wool Fibres using Raman Spectroscopy",2008,"Proceedings of the 16th European Fibres Group Meeting, Budapest, Hungary",,June,,,,,,,,,,,,,Proceedings,,,,
"Coyle T., Fairchild J., Fielden C., Revell D.",,Raman Microspectroscopy and Its Place in Forensic Fibre Examination - The Identification of Man-Made Cellulosic Fibres,2007,Global Forensic Science Today,V3,,,,,,,,,,,,,,Article,,,,
"Lepot L., De Wael K., Gason F., Gilbert B.",15021035100;23491995600;14038614100;7201517928;,Application of Raman spectroscopy to forensic fibre cases,2008,Science and Justice,48,3,,109,117,,56,10.1016/j.scijus.2007.09.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-50349084190&doi=10.1016%2fj.scijus.2007.09.013&partnerID=40&md5=0a52e8b7e0b8b1d5420a8d4128ce19f5,"Analytical Chemistry and Electrochemistry, University of Liège, Bldg. B6C, Sart Tilman, 4000 Liège, Belgium; National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","Lepot, L., Analytical Chemistry and Electrochemistry, University of Liège, Bldg. B6C, Sart Tilman, 4000 Liège, Belgium, National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Gason, F., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Gilbert, B., Analytical Chemistry and Electrochemistry, University of Liège, Bldg. B6C, Sart Tilman, 4000 Liège, Belgium",Casework; Fibre examination; Forensic science; Raman spectroscopy; Textile dyes,"glass; resin; article; bright field microscopy; fiber; fluorescence microscopy; forensic identification; homicide; microspectrophotometry; polarization microscopy; Raman spectrometry; Coloring Agents; Forensic Sciences; Spectrum Analysis, Raman; Textiles",,Article,Final,,Scopus,2-s2.0-50349084190
"Vann B.C., Michael Angel S., Hendrix J.E., Bartick E.G., Morgan S.L.",26530647700;6506023751;36755864000;6603722593;7402180417;,Analysis of titanium dioxide in synthetic fibers using raman microspectroscopy,2009,Applied Spectroscopy,63,4,,407,411,,9,10.1366/000370209787944389,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65149085288&doi=10.1366%2f000370209787944389&partnerID=40&md5=66b2e378eac1c731a5ce5c6fc900bc4f,"Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; FBI Laboratory, Counterterrorism and Forensic Science Research Unit, FBI Academy, Quantico, Virginia 22135, United States; Department of Chemistry/Biochemistry, Suffolk University, 41 Temple Street, Boston, MA 02114-4280., United States","Vann, B.C., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Michael Angel, S., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Hendrix, J.E., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Bartick, E.G., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Morgan, S.L., FBI Laboratory, Counterterrorism and Forensic Science Research Unit, FBI Academy, Quantico, Virginia 22135, United States, Department of Chemistry/Biochemistry, Suffolk University, 41 Temple Street, Boston, MA 02114-4280., United States",DA; Discriminant analysis; Microspectroscopy; Partial least squares; PLS.; Raman; Synthetic fibers; Titanium dioxide,DA; Microspectroscopy; Partial least squares; PLS.; Raman; Curve fitting; Discriminant analysis; Least squares approximations; Oxide minerals; Polarization; Polymers; Synthetic fibers; Titanium; Titanium oxides; Titanium dioxide,,Article,Final,,Scopus,2-s2.0-65149085288
"Zieba-Palus J., Borusiewicz R., Kunicki M.",6602086334;6506029979;12785547000;,PRAXIS-combined ?-Raman and ?-XRF spectrometers in the examination of forensic samples,2008,Forensic Science International,175,1,,1,10,,60,10.1016/j.forsciint.2007.04.230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38649134497&doi=10.1016%2fj.forsciint.2007.04.230&partnerID=40&md5=9bd6f6f2bba91cc204cfcd8096537385,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland","Zieba-Palus, J., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Borusiewicz, R., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Kunicki, M., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland",Fibre; Forensic analysis; Ink; Paint; Raman spectrometry; XRF,ink; paint; plastic; poly(methyl methacrylate); titanium dioxide; article; fiber; forensic medicine; priority journal; Raman spectrometry; X ray fluorescence,,Article,Final,,Scopus,2-s2.0-38649134497
"Akrap I., Mrsic G., Zupanic S., Vujasinovic E.",,Forensic Approach to Aramid Fibre Identification,2008,"Proceedings - 4th International Textile, Clothing and Design Conference – Magic World of Textiles, October 5th to 8th, 2008, Dubrovnik, Croatia",,October,,42,47,,,,,,,,,,Proceedings,,,,
"Dines G., McEvoy M.",,New Method for Producing Cross-Sections of Textile Fibres,2009,FSS Report,RR862,,,1,3,,,,,,,,,,Report,,,,
"Morgan S.L., Hall S.H., Hendrix J.E., Bartick E.G.",,Pattern Recognition Methods for the Classification of Trace Evidence Textile Fibers from UV/Visible and Fluorescence Spectra,2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida",,August,,1,10,,,,,,,,,,Proceedings,,,,
"Abendshien L.C., Brown C.J., William, D.K., Shaw S.",,The Forensic Automotive Carpet Fiber Identification Database (FACID) - Preliminary Validation and Evaluation,2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida",,August,,1,12,,,,,,,,,,Proceedings,,,,
"Ali S., Nisar N., Hussain T.",57209995084;19640321200;57204898475;,Dyeing properties of natural dyes extracted from eucalyptus,2007,Journal of the Textile Institute,98,6,,559,562,,41,10.1080/00405000701556079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35549005840&doi=10.1080%2f00405000701556079&partnerID=40&md5=6af0edfe4655073c60374d011024477d,"Department of Chemistry, University of Agriculture, Faisalabad, Pakistan; Department of Textile Chemistry, National Textile University, Faisalabad, Pakistan","Ali, S., Department of Chemistry, University of Agriculture, Faisalabad, Pakistan; Nisar, N., Department of Chemistry, University of Agriculture, Faisalabad, Pakistan; Hussain, T., Department of Textile Chemistry, National Textile University, Faisalabad, Pakistan",Cotton dyeing; Eucalyptus bark; Natural dye; Quercetin,Color fastness; Cotton; Dyeing; Natural dye; Dyes; Color Fastness; Cotton; Direct Dyes; Dyeing; Eucalyptus Rostrata; Quercetin; colorfastness; cotton; direct dye; dye property; dyeing; natural dye,,Article,Final,,Scopus,2-s2.0-35549005840
"Morgan S.L., Vann B.C., Baguley B.M., Stefan A.R.",,Advances in Discrimination of Dyed Textile Fibers Using Capillary Electrophoresis / Mass Spectrometry,2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida",,August,,1,10,,,,,,,,,,Proceedings,,,,
"Eng M., Martin P., Bhagwandin C.",27867653900;57199137999;36711194600;,The analysis of metameric blue fibers and their forensic significance,2009,Journal of Forensic Sciences,54,4,,841,845,,13,10.1111/j.1556-4029.2009.01079.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650683983&doi=10.1111%2fj.1556-4029.2009.01079.x&partnerID=40&md5=93ca43449780ca4aa1ffa507c91854d8,"Criminalistics Section, New York City Police Laboratory, 150-14 Jamaica Avenue, Jamaica, NY 11432, United States; CRAIC Technologies,Inc, 948 N. Amelia Avenue, San Dimas, CA 91773, United States; John Jay College of Criminal Justice, The City University of New York, 899 Tenth Avenue, New York, NY 10019, United States","Eng, M., Criminalistics Section, New York City Police Laboratory, 150-14 Jamaica Avenue, Jamaica, NY 11432, United States; Martin, P., CRAIC Technologies,Inc, 948 N. Amelia Avenue, San Dimas, CA 91773, United States; Bhagwandin, C., John Jay College of Criminal Justice, The City University of New York, 899 Tenth Avenue, New York, NY 10019, United States",color comparison; fibers; Forensic science; metameric fibers; metamerism; UV-visible spectrophotometry,coloring agent; article; color; color vision; human; microspectrophotometry; priority journal; textile fiber; ultraviolet spectroscopy,,Article,Final,,Scopus,2-s2.0-67650683983
"Gallo J.M., Almirall J.R.",34768163900;7004960911;,Elemental analysis of white cotton fiber evidence using solution ICP-MS and laser ablation ICP-MS (LA-ICP-MS),2009,Forensic Science International,190,01-Mar,,52,57,,35,10.1016/j.forsciint.2009.05.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650995957&doi=10.1016%2fj.forsciint.2009.05.011&partnerID=40&md5=79b057cc94880dd2fbc97b820c91c85f,"Department of Chemistry and Biochemistry, International Forensic Research Institute (IFRI), Florida International University, 11200 SW 8th Street, Miami, FL 33199, United States","Gallo, J.M., Department of Chemistry and Biochemistry, International Forensic Research Institute (IFRI), Florida International University, 11200 SW 8th Street, Miami, FL 33199, United States; Almirall, J.R., Department of Chemistry and Biochemistry, International Forensic Research Institute (IFRI), Florida International University, 11200 SW 8th Street, Miami, FL 33199, United States",Cotton; Elemental analysis; ICP-MS; LA-ICP-MS,aluminum; barium; iron; magnesium; manganese; strontium; accuracy; analytical error; article; controlled study; cotton; forensic science; intermethod comparison; laser; legal evidence; mass spectrometry; microwave radiation; priority journal; reference value; ultraviolet radiation; validation process,,Article,Final,,Scopus,2-s2.0-67650995957
"Kirkbride K.P., Tridico S.R.",56337473100;34267883800;,The application of laser scanning confocal microscopy to the examination of hairs and textile fibers: An initial investigation,2010,Forensic Science International,195,01-Mar,,28,35,,16,10.1016/j.forsciint.2009.10.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-74749099613&doi=10.1016%2fj.forsciint.2009.10.030&partnerID=40&md5=fbb5b13be9da5fd6e565c8507371b8d5,"Australian Federal Police, Forensic and Data Centres, Weston, Canberra, ACT, Australia","Kirkbride, K.P., Australian Federal Police, Forensic and Data Centres, Weston, Canberra, ACT, Australia; Tridico, S.R., Australian Federal Police, Forensic and Data Centres, Weston, Canberra, ACT, Australia",Confocal microscopy; Cross-section; Fiber; Hair,"dye; animal tissue; article; autofluorescence; hair analysis; image analysis; image display; laser microscopy; medicolegal aspect; nonhuman; pigmentation; priority journal; signal detection; textile fiber; Animals; Fluorescence; Forensic Medicine; Hair; Hair Color; Humans; Image Processing, Computer-Assisted; Microscopy, Confocal; Rabbits; Software; Textiles; Trichosurus",,Article,Final,,Scopus,2-s2.0-74749099613
"Sano T., Suzuki S.",56207720200;8654989200;,Basic forensic identification of artificial leather for hit-and-run cases,2009,Forensic Science International,192,01-Mar,,e27,e32,,17,10.1016/j.forsciint.2009.08.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349484219&doi=10.1016%2fj.forsciint.2009.08.018&partnerID=40&md5=f7b2289c0558e94c8a4e7f0701d55f1d,"Forensic Science Laboratory, Chiba Prefectural Police Headquarters, 1-71-1 Chuominato, Chuo-ku, Chiba, 260-0024, Japan; National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa-shi, Chiba, 277-0882, Japan","Sano, T., Forensic Science Laboratory, Chiba Prefectural Police Headquarters, 1-71-1 Chuominato, Chuo-ku, Chiba, 260-0024, Japan; Suzuki, S., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa-shi, Chiba, 277-0882, Japan",Artificial leather; Forensic; Infrared miscrospectrometry; Micro-X-ray fluorescence spectrometry; Microspectrophotometry; Scanning electron microscope with energy dispersive electron microanalyzer,"analytic method; article; chemical composition; color; controlled study; forensic identification; infrared radiation; microspectrophotometry; priority journal; scanning electron microscopy; textile fiber; traffic accident; X ray fluorescence; Accidents, Traffic; Crime; Forensic Medicine; Humans; Microscopy, Electron, Scanning; Microspectrophotometry; Spectrum Analysis; Textiles",,Article,Final,,Scopus,2-s2.0-70349484219
,,,,,,,,,,,,http://emmergingtextiles.com,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://fibre2fashion.com,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.eurotexx.com/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.fashion-links.de/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.fashionseek.net/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.ita.rwth-aachen.de/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.techexchange.com/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.texdata.com/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.texi.org/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.textile.fr/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.textileweb.com/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.textileworld.com,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.textilexpert.com/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.textilserver.de/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.texweb.de/,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.ivc-ev.de/HTDOCS/index.html,,,,,,,Webpage,,,,
,,,,,,,,,,,,http://www.trevira.de/,,,,,,,Webpage,,,,
