Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,ID,Document Type,Publication Stage,Access Type,Source,EID,Coder
"Coyle T., Jones J., Shaw C., Friedrichs R.",7005682095;55488158400;57206027694;54894155200;,Fibres used in the construction of car seats - An assessment of evidential value,2012,Science and Justice,52,4,,259,267,,4,10.1016/j.scijus.2011.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867658447&doi=10.1016%2fj.scijus.2011.12.002&partnerID=40&md5=417da00202cd3301202cdf4ad677a81d,"Contact Traces Ltd, Unit 26, East Central 127, Milton Park, Abingdon, OX144SA, United Kingdom","Coyle, T., Contact Traces Ltd, Unit 26, East Central 127, Milton Park, Abingdon, OX144SA, United Kingdom; Jones, J., Contact Traces Ltd, Unit 26, East Central 127, Milton Park, Abingdon, OX144SA, United Kingdom; Shaw, C., Contact Traces Ltd, Unit 26, East Central 127, Milton Park, Abingdon, OX144SA, United Kingdom; Friedrichs, R., Contact Traces Ltd, Unit 26, East Central 127, Milton Park, Abingdon, OX144SA, United Kingdom",Car seat; Evidential value; Fibres; Forensic; MSP; Raman,dye; polyester; article; car; car seat fiber; clothing; color; fiber; microspectrophotometry; seat,,Article,Final,,Scopus,2-s2.0-84867658447,2013
"Bennett S., Roux C.P., Robertson J.",36467946900;7202017940;7404531595;,The significance of fibre transfer and persistence-A case study,2010,Australian Journal of Forensic Sciences,42,3,,221,228,,12,10.1080/00450611003758256,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956487775&doi=10.1080%2f00450611003758256&partnerID=40&md5=72919f38c3fbdfe2a10aaff45ed60601,"NSW Police Force, Forensic Services Group, Blacktown, Australia; University of Technology, Sydney, Centre for Forensic Science, Broadway, Australia; Australian Federal Police, Canberra, Australia","Bennett, S., NSW Police Force, Forensic Services Group, Blacktown, Australia; Roux, C.P., University of Technology, Sydney, Centre for Forensic Science, Broadway, Australia; Robertson, J., Australian Federal Police, Canberra, Australia",case study; fibres; interpretation,polyester; polypropylene; article; asphyxia; case report; case study; female; fiber; forensic identification; homicide; human,,Article,Final,,Scopus,2-s2.0-77956487775,2013
"Palmer R., Polwarth G.",55636317627;54789134800;,The persistence of fibres on skin in an outdoor deposition crime scene scenario,2011,Science and Justice,51,4,,187,189,,16,10.1016/j.scijus.2011.04.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-82655171769&doi=10.1016%2fj.scijus.2011.04.001&partnerID=40&md5=ea0ec5abfc10efc6aeb954f4f81425fe,"The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire, PE29 1XR, United Kingdom","Palmer, R., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire, PE29 1XR, United Kingdom; Polwarth, G., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire, PE29 1XR, United Kingdom",Fibres; Homicide; Outdoors; Persistence; Skin; Weather,"animal experiment; article; carcass; crime; experimental pig; nonhuman; precipitation; skin; textile fiber; weather; wind; Animals; Birds; Feeding Behavior; Forensic Pathology; Models, Animal; Rain; Skin; Swine; Textiles; Time Factors; Wind",,Article,Final,,Scopus,2-s2.0-82655171769,2013
Dillinger S.,,Video Imaging - can we believe what we see?,2012,"Proceedings of 20th ENFSI European Textile & Hair Group, Vienna",,,,,,,,,,,,,,,Proceedings,,,,,2013
"De Wael K., Baes C., Lepot L., Gason F.",23491995600;23491213400;15021035100;14038614100;,On the frequency of occurrence of a peculiar polyester fibre type found in blue denim textiles,2011,Science and Justice,51,4,,154,162,,10,10.1016/j.scijus.2011.02.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-82655181302&doi=10.1016%2fj.scijus.2011.02.001&partnerID=40&md5=d4b5d7208fcb07f3481f04308f89c561,"National Institute for Criminalistics and Criminology, Brussels, Belgium; Laboratory of Analytical Chemistry and Electrochemistry, University of Liège, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Brussels, Belgium; Baes, C., National Institute for Criminalistics and Criminology, Brussels, Belgium; Lepot, L., National Institute for Criminalistics and Criminology, Brussels, Belgium, Laboratory of Analytical Chemistry and Electrochemistry, University of Liège, Belgium; Gason, F., National Institute for Criminalistics and Criminology, Brussels, Belgium",Blue denim; Indigo; Jeans; Microspectrophotometry (MSP); Polyester; Raman spectroscopy,dye; polyester; article; clothing; fiber; forensic science; human; microscopy; microspectrophotometry; morphology; Raman spectrometry; textile; victim,,Article,Final,,Scopus,2-s2.0-82655181302,2013
Coyle T.; Shaw C.; Stevens L.,,The evidential value of fibres used in ‘Hi-Vis’ work wear.,2013,,,,,,,,,,http://www.contacttraces.co.uk/contacttraces-research/,,,,,,Webpage,,,,,2013
"Szewcow R., Robertson J., Roux C.P.",55014345500;7404531595;7202017940;,"The influence of front-loading and top-loading washing machines on the persistence, redistribution and secondary transfer of textile fibres during laundering",2011,Australian Journal of Forensic Sciences,43,4,,263,273,,11,10.1080/00450618.2011.563246,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857242357&doi=10.1080%2f00450618.2011.563246&partnerID=40&md5=298b822ced5ebf2d7f0909038b5d528b,"University of Technology, Sydney, Centre for Forensic Science, Broadway, Australia; University of Canberra, NCFS, Canberra, Australia","Szewcow, R., University of Technology, Sydney, Centre for Forensic Science, Broadway, Australia; Robertson, J., University of Canberra, NCFS, Canberra, Australia; Roux, C.P., University of Technology, Sydney, Centre for Forensic Science, Broadway, Australia",fibres; interpretation; persistence; transfer; washing machines,article; cotton; equipment; laundry; protective clothing; textile fiber; washing machine,,Article,Final,,Scopus,2-s2.0-84857242357,2013
Hellwig J.,,The effect of textile construction on the shedding rate of knitwear,2011,"Proceedings of 19th ENFSI European Textile & Hair Group, Riga",,,,,,,,,,,,,,,Proceedings,,,,,2013
"Almazrooei M.; Hemmings J.; Robertson J.; Spindler X.; Conroy-Southey D.; De la Hunty, M.; Maynard P.; Roux C.",,The Evidential Value of Finding Fibres on Human Hands,2012,"Proceedings of 20th ENFSI European Textile & Hair Group, Vienna",,,,,,,,,,,,,,,Proceedings,,,,,2013
Deviterne-Lapeyre M.; Buzzini P.; Massonnet G.,,The use of chemometrics in the forensic discrimination of fibres: A preliminary approach,2012,"Proceedings of 20th ENFSI European Textile & Hair Group, Vienna",,,,,,,,,,,,,,,Proceedings,,,,,2013
"De Wael K., Vanden Driessche T.",23491995600;55497349700;,Dichroism measurements in forensic fibre examination. Part 1 - Dyed polyester fibres.,2011,Science and Justice,51,2,,57,67,,9,10.1016/j.scijus.2010.10.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956288037&doi=10.1016%2fj.scijus.2010.10.001&partnerID=40&md5=adf9e2fb63532bfc997d952c7e86c211,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Vanden Driessche, T., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium",Dichroism; Disperse dyes; Fibre examination; Microspectrophotometry (MSP); Polyester fibres,dye; polyester; article; chemical analysis; chemical structure; circular dichroism; microscopy; microspectrophotometry; synthetic fiber,,Article,Final,,Scopus,2-s2.0-79956288037,2013
"De Wael K., Vanden Driessche T.",23491995600;55497349700;,"Dichroism measurements in forensic fibre examination. Part 2 - Dyed polyamide, wool and silk fibres",2011,Science and Justice,51,4,,163,172,,9,10.1016/j.scijus.2010.10.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-82655171902&doi=10.1016%2fj.scijus.2010.10.005&partnerID=40&md5=c780f53cd24618a9eddcddda7f6efe47,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Vanden Driessche, T., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium",Acid dyes; Dichroism; Fibre examination; Microspectrophotometry (MSP); Peptidic fibres; Polyamide,anthraquinone; azo compound; chromium; cobalt; dye; polyamide; polyester; stilbene; absorption; article; chemical structure; circular dichroism; fiber; forensic identification; microscopy; microspectrophotometry; microspectrophotometry with plane polarized light; silk; spectrophotometry; wool,,Article,Final,,Scopus,2-s2.0-82655171902,2013
"De Wael K., Lepot L.",23491995600;15021035100;,Dichroism measurements in forensic fibre examination. Part 3 - Dyed cotton and viscose fibres.,2011,Science and Justice,51,4,,173,186,,10,10.1016/j.scijus.2011.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-82655173663&doi=10.1016%2fj.scijus.2011.03.001&partnerID=40&md5=abf53c1093beb4310e4e6750ce2bc1ae,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Lepot, L., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium",Cotton; Dichroism; Fibre examination; Microspectrophotometry (MSP); Polarized light; Viscose,anthraquinone derivative; azo compound; cellulose; formazan; oxazine derivative; phthalocyanine; stilbene; sulfur; thiazole; xanthene; article; chemical structure; circular dichroism; cotton; forensic identification; microscopy; microspectrophotometry,,Article,Final,,Scopus,2-s2.0-82655173663,2013
De Wael K.,23491995600;,Dichroism measurements in forensic fibre examination. Part 4-dyed acrylic and acetate fibres,2012,Science and Justice,52,2,,81,89,,6,10.1016/j.scijus.2011.08.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860882712&doi=10.1016%2fj.scijus.2011.08.005&partnerID=40&md5=70e8a57ca2826310a0c67b248c4cecfd,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium",Basic dyes; Dichroism; Disperse dyes; Fibre examination; Low birefringent fibres; Microspectrophotometry (MSP),acetic acid; acetoacetic acid; acrylic acid; anthraquinone; cyanine dye; dye; oxazine derivative; polyamide; polyester; article; chemical phenomena; color; forensic fibre examination; forensic science; light; linear dichroism; microscopy; microspectrophotometry,,Article,Final,,Scopus,2-s2.0-84860882712,2013
"De Wael K., Lepot L.",23491995600;15021035100;,Dichroism measurements in forensic fibre examination. Part 5-Pigmented fibres,2012,Science and Justice,52,3,,161,167,,6,10.1016/j.scijus.2011.10.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864315241&doi=10.1016%2fj.scijus.2011.10.002&partnerID=40&md5=b006f522965b071cb4d5880ee54c457d,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Lepot, L., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium",Dichroism; Fibre examination; Man-made fibres; Microspectrophotometry (MSP); Pigments,pigment; article; color; crystal structure; forensic fibre examination; forensic science; microscopy; microspectrophotometry,,Article,Final,,Scopus,2-s2.0-84864315241,2013
"De Wael K., Lepot L., Lunstroot K.",23491995600;15021035100;15136212400;,The use of linear dichroism in forensic fibre examinations - Part 6. Validation and practical aspects of MSP-PPL,2012,Science and Justice,52,4,,249,258,,3,10.1016/j.scijus.2011.11.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867651825&doi=10.1016%2fj.scijus.2011.11.003&partnerID=40&md5=0ebf6a51d2841ff0703b647f52ccc703,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Lepot, L., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Lunstroot, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium",Fibre examination; Linear dichroism (LD); Method validation; Microspectrophotometry (MSP); Plane polarized light (PPL),acetic acid; acrylic acid; polyamide; polyester; silk; article; controlled study; cotton; fiber; forensic science; linear dichroism; microspectrophotometry; validation process; wool,,Article,Final,,Scopus,2-s2.0-84867651825,2013
"Massonnet G., Buzzini P., Monard F., Jochem G., Fido L., Bell S., Stauber M., Coyle T., Roux C., Hemmings J., Leijenhorst H., Van Zanten Z., Wiggins K., Smith C., Chabli S., Sauneuf T., Rosengarten A., Meile C., Ketterer S., Blumer A.",6603429626;8626149000;57174077700;55255166800;56629230100;35570644600;8725643700;7005682095;7202017940;55255547600;6507449309;8725644200;7003873724;57212283507;8725644500;55255203900;8725644600;57202977616;55255700900;55255588900;,Raman spectroscopy and microspectrophotometry of reactive dyes on cotton fibres: Analysis and detection limits,2012,Forensic Science International,222,01-Mar,,200,207,,28,10.1016/j.forsciint.2012.05.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865617027&doi=10.1016%2fj.forsciint.2012.05.025&partnerID=40&md5=3746cf9657801fd5f0ad37f5717702f5,"Ecole des Sciences Criminelles (ESC), Institut de Police Scientifique (IPS), UNIL-Sorge, Batochime, CH-1015 Lausanne, Switzerland; Bundeskriminalamt, KT33 Äppelallee 45, D-65203 Wiesbaden, Germany; Queens' University Belfast, School of Chemistry and Chemical Engineering, Belfast BT9 5AG, United Kingdom; Landeskriminalamt Nordrhein-Westfalen, Abteilung 5, Völklinger Strasse 49, 40221 Düsseldorf, Germany; Forensic Alliance Ltd., F5 Culham Science Centre, Abingdon OX14 3ED, England, United Kingdom; Centre for Forensic Science, University of Technology, Po Box 123, Broadway, Sydney, NSW 2007, Australia; Netherland Forensic Institute, Laan van Ypenburg 6, NL-2497 GB, The Hague, Netherlands; London Laboratory, Forensic Science Service, 109 Lambeth Road, London SE1 7LP, England, United Kingdom; Laboratoire de Police Scientifique, 3 Quai de l'Horloge, Paris 75001, France; Israel Forensic Science Institute, 218 Ktalav Street, Tzur Hadasah 99875, Israel; Kantonspolizei St. Gallen, Forensisch-Naturwissenschaftlicher Dienst, Klosterhof 12, 9001 St. Gallen, Switzerland; Forensisches Institut Zürich, Zeughausstrasse 11, 8004 Zürich, Switzerland; Cityzen LLP, Maritime House, Basin Road North, Hove, BN41 1WR, England, United Kingdom; Contact Traces Ltd., Unit 26, East Central 127, Milton Park, Abingdon OX14 4SA, United Kingdom; Laboratoire de police scientifique de Marseille, BP 30-13245, Marseille cedex 04, France; Australian Federal Police Chemical Criminalistics, Barton, ACT 2006, Australia","Massonnet, G., Ecole des Sciences Criminelles (ESC), Institut de Police Scientifique (IPS), UNIL-Sorge, Batochime, CH-1015 Lausanne, Switzerland; Buzzini, P., Ecole des Sciences Criminelles (ESC), Institut de Police Scientifique (IPS), UNIL-Sorge, Batochime, CH-1015 Lausanne, Switzerland; Monard, F., Ecole des Sciences Criminelles (ESC), Institut de Police Scientifique (IPS), UNIL-Sorge, Batochime, CH-1015 Lausanne, Switzerland; Jochem, G., Bundeskriminalamt, KT33 Äppelallee 45, D-65203 Wiesbaden, Germany; Fido, L., Queens' University Belfast, School of Chemistry and Chemical Engineering, Belfast BT9 5AG, United Kingdom; Bell, S., Queens' University Belfast, School of Chemistry and Chemical Engineering, Belfast BT9 5AG, United Kingdom; Stauber, M., Landeskriminalamt Nordrhein-Westfalen, Abteilung 5, Völklinger Strasse 49, 40221 Düsseldorf, Germany; Coyle, T., Forensic Alliance Ltd., F5 Culham Science Centre, Abingdon OX14 3ED, England, United Kingdom, Contact Traces Ltd., Unit 26, East Central 127, Milton Park, Abingdon OX14 4SA, United Kingdom; Roux, C., Centre for Forensic Science, University of Technology, Po Box 123, Broadway, Sydney, NSW 2007, Australia; Hemmings, J., Centre for Forensic Science, University of Technology, Po Box 123, Broadway, Sydney, NSW 2007, Australia, Australian Federal Police Chemical Criminalistics, Barton, ACT 2006, Australia; Leijenhorst, H., Netherland Forensic Institute, Laan van Ypenburg 6, NL-2497 GB, The Hague, Netherlands; Van Zanten, Z., Netherland Forensic Institute, Laan van Ypenburg 6, NL-2497 GB, The Hague, Netherlands; Wiggins, K., London Laboratory, Forensic Science Service, 109 Lambeth Road, London SE1 7LP, England, United Kingdom; Smith, C., Cityzen LLP, Maritime House, Basin Road North, Hove, BN41 1WR, England, United Kingdom; Chabli, S., Laboratoire de Police Scientifique, 3 Quai de l'Horloge, Paris 75001, France, Laboratoire de police scientifique de Marseille, BP 30-13245, Marseille cedex 04, France; Sauneuf, T., Laboratoire de Police Scientifique, 3 Quai de l'Horloge, Paris 75001, France; Rosengarten, A., Israel Forensic Science Institute, 218 Ktalav Street, Tzur Hadasah 99875, Israel; Meile, C., Kantonspolizei St. Gallen, Forensisch-Naturwissenschaftlicher Dienst, Klosterhof 12, 9001 St. Gallen, Switzerland; Ketterer, S., Kantonspolizei St. Gallen, Forensisch-Naturwissenschaftlicher Dienst, Klosterhof 12, 9001 St. Gallen, Switzerland; Blumer, A., Forensisches Institut Zürich, Zeughausstrasse 11, 8004 Zürich, Switzerland",Cotton fibres; Detection limit; Forensic science; Microscopy; MSP; Raman spectroscopy; Reactive dyes,blue dye; dye; unclassified drug; yellow dye; article; chemical analysis; chemical composition; concentration (parameters); cotton; intermethod comparison; laser; limit of detection; microspectrophotometry; priority journal; Raman spectrometry; staining; ultraviolet spectrophotometry,,Article,Final,,Scopus,2-s2.0-84865617027,2013
"Yu M.M.L., Sandercock P.M.L.",55475829900;7102712687;,Principal Component Analysis and Analysis of Variance on the Effects of Entellan New on the Raman Spectra of Fibers,2012,Journal of Forensic Sciences,57,1,,70,74,,13,10.1111/j.1556-4029.2011.01951.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855358820&doi=10.1111%2fj.1556-4029.2011.01951.x&partnerID=40&md5=cd5796a805900e2036eee0aa225e2576,"Trace Evidence Services, National Centre for Forensic Services - Alberta, Royal Canadian Mounted Police, 15707-118 Avenue, Edmonton, AB T5V 1B7, Canada","Yu, M.M.L., Trace Evidence Services, National Centre for Forensic Services - Alberta, Royal Canadian Mounted Police, 15707-118 Avenue, Edmonton, AB T5V 1B7, Canada; Sandercock, P.M.L., Trace Evidence Services, National Centre for Forensic Services - Alberta, Royal Canadian Mounted Police, 15707-118 Avenue, Edmonton, AB T5V 1B7, Canada",Analysis of variance; ANOVA; Entellan New; Fibers; Forensic science; PCA; Principal component analysis; Raman microspectroscopy,,,Article,Final,,Scopus,2-s2.0-84855358820,2013
"Ziba-Palus J., Ws-Guba?a J.",37110399000;37462521100;,An investigation into the use of micro-Raman spectroscopy for the analysis of car paints and single textile fibres,2011,Journal of Molecular Structure,993,01-Mar,,127,133,,19,10.1016/j.molstruc.2010.12.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955469104&doi=10.1016%2fj.molstruc.2010.12.041&partnerID=40&md5=ece0167c7fe8d1c964d46c01e82d8ea4,"Institute of Forensic Research, Westerplatte 9, 31-033 Krakow, Poland; Faculty of Chemistry, Jagiellonian University, Ingardena 3, 30-060 Krakow, Poland","Ziba-Palus, J., Institute of Forensic Research, Westerplatte 9, 31-033 Krakow, Poland; Ws-Guba?a, J., Institute of Forensic Research, Westerplatte 9, 31-033 Krakow, Poland, Faculty of Chemistry, Jagiellonian University, Ingardena 3, 30-060 Krakow, Poland",Forensic identification; Paint chips; Raman spectroscopy; Single fibres,Analytical method; Cotton fibres; Dye identification; Forensic identification; Micro Raman Spectroscopy; Paint chips; Raman spectra; Single fibres; Spectral libraries; Textile fibre; Cotton fibers; Paint; Raman scattering; Raman spectroscopy; Fibers; Gossypium hirsutum,,Conference Paper,Final,,Scopus,2-s2.0-79955469104,2013
Lepot L.,,Raman spectroscopy of dye mixtures on cotton fibres,2011,"Proceedings of 19th ENFSI European Textile & Hair Group, Riga",,,,,,,,,,,,,,,Proceedings,,,,,2013
Weimer R.; Clary J.; Heintz R.; Wall M.,,Analysis of Bicomponent Fibers Using Confocal Raman Mapping,2012,Journal of the American Society of Trace Evidence Examiners,3,01-Jan,,21,49,,,,http://www.unitedstatesbd.com/images/unitedstatesbdcom/bizcategories/2961/files/astee%20journal%20issue%203-1.pdf,"Virginia Department of Forensic Science, 700 North Fifth St, Richmond, VA 23219, USA; Thermo Fisher Scientific, 5225 Verona Rd, Madison, WI 53711, USA","Weimer, R., Virginia Department of Forensic Science, 700 North Fifth St, Richmond, VA 23219, USA; Clary, J., Virginia Department of Forensic Science, 700 North Fifth St, Richmond, VA 23219, USA; Heintz, R., Thermo Fisher Scientific, 5225 Verona Rd, Madison, WI 53711, USA; Wall, M., Thermo Fisher Scientific, 5225 Verona Rd, Madison, WI 53711, USA",,,,Article,,,,,2013
,,,,,,,,,,,,,http://www.asteetrace.org,,,,,,Webpage,,,,,2013
Johansson S.,,Cross-sectioning methods for fibres,2011,"Proceedings of 19th ENFSI European Textile & Hair Group, Riga",,,,,,,,,,,,,,,Proceedings,,,,,2013
