"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1S"	"DOI"	"SO"	"DT"	"AIK"
"MORPHOLOGICAL CHANGES IN TRAUMATIZED SKELETAL MUSCLE: THE APPEARANCE OF 'OPAQUE FIBERS' OF CERVICAL MUSCLES AS EVIDENCE OF COMPRESSION TO THE NECK"	1998	"TABATA N"	""	""	"COMPRESSION OF THE NECK;  OPAQUE FIBERS;  SKELETAL MUSCLE;  TRAUMATIC INJURIES"	"FIBRONECTIN;GLYCOPHORIN A;MYOGLOBIN;ADOLESCENT;ADULT;AGED;ARTICLE;AUTOPSY;BLUNT TRAUMA;CHILD;CONTROLLED STUDY;FEMALE;HANGING;HISTOLOGY;HUMAN;HUMAN TISSUE;IMMUNOHISTOCHEMISTRY;MALE;MUSCLE INJURY;NECK MUSCLE;PRIORITY JOURNAL;SKELETAL MUSCLE;STRANGULATION;ASPHYXIA;PRESCHOOL;CONSTRICTION;PATHOLOGIC;FORENSIC MEDICINE;HUMANS;MIDDLE AGED;MUSCLE;SKELETAL;NECK INJURIES"	NA	"DEPARTMENT OF LEGAL MEDICINE,SCHOOL OF MEDICINE,SAPPORO MEDICAL UNIVERSITY,MINAMI-1,NISHI-17,CHUO-KU,SAPPORO 060-8556,JAPAN"	"10.1016/S0379-0738(98)00125-X"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	";COMPRESSION OF THE NECK;OPAQUE FIBERS;SKELETAL MUSCLE;TRAUMATIC INJURIES"
"MOVEMENT OF FIBRES BETWEEN WORKING AREAS AS A RESULT OF ROUTINE EXAMINATION OF GARMENTS"	1986	"MOORE JE;JACKSON G;FIRTH M"	""	""	"CONTAMINATION;  FIBRES: TRANSFER AND DISPERSAL"	"CLOTHING;CONTROLLED STUDY;COTTON;FIBER;NONHUMAN;THEORETICAL STUDY;WOOL"	NA	"HOME OFFICE FORENSIC SCIENCE LABORATORY,WASHINGTON HALL,EUXTON,CHORLEY,LANCASHIRE,PR7 6HJ,UNITED KINGDOM"	"10.1016/S0015-7368(86)72534-6"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	";CONTAMINATION;FIBRES: TRANSFER AND DISPERSAL"
"NANOMANIPULATION-COUPLED NANOSPRAY MASS SPECTROMETRY APPLIED TO THE EXTRACTION AND ANALYSIS OF TRACE ANALYTES FOUND ON FIBERS"	2010	"LEDBETTER NL;WALTON BL;DAVILA P;ERNEST RN;VERBECK IV GF;HOFFMANN WD"	"FORENSIC SCIENCE; NANOSPRAY; TRACE ANALYSIS; FIBER; NANOMANIPULATION; MASS SPECTROMETRY"	"SURFACE SAMPLING PROBE; EXPLOSIVES; CHROMATOGRAPHY; SECTIONS"	"FIBER;  FORENSIC SCIENCE;  MASS SPECTROMETRY;  NANOMANIPULATION;  NANOSPRAY;  TRACE ANALYSIS"	"NA"	"VERBECK, GF (REPRINT AUTHOR), UNIV N TEXAS, DEPT CHEM, POB 305070, DENTON, TX 76203 USA; LEDBETTER, NICOLE L; DAVILA, PEDRO; HOFFMANN, WILLIAM D; VERBECK, GUIDO F, UNIV N TEXAS, DEPT CHEM, DENTON, TX 76203 USA; WALTON, BARBARA L, CENT CONNECTICUT STATE UNIV, DEPT CHEM \& BIOCHEM, NEW BRITAIN, CT 06050 USA; ERNEST, RICHARD N, UNIV N TEXAS, DEPT BIOL SCI, DENTON, TX 76203 USA"	"DEPARTMENT OF CHEMISTRY,UNIVERSITY OF NORTH TEXAS,1155 UNION CIRCLE,#305070,DENTON,TX 76203,UNITED STATES; DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,CENTRAL CONNECTICUT STATE UNIVERSITY,1615 STANLEY ST.,NEW BRITAIN,CT 06050,UNITED STATES; DEPARTMENT OF BIOLOGICAL SCIENCE,#305220,UNITED STATES; UNIVERSITY OF NORTH TEXAS,P.O. BOX 305070,UNITED STATES"	"10.1111/j.1556-4029.2010.01406.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCE;NANOSPRAY;TRACE ANALYSIS;FIBER;NANOMANIPULATION;MASS SPECTROMETRY"
"NEW MAN-MADE FIBRES UNDER THE MICROSCOPE - LYOCELL FIBRES AND NYLON 6 BLOCK CO-POLYMERS"	1996	"GRIEVE MC"	"FORENSIC SCIENCE; FIBRES; MICROSCOPY; BRIGHTFIELD; POLARISED LIGHT; THERMAL; INTERFERENCE; SCANNING ELECTRON; FTIR-MICROSPECTROSCOPY; LYOCELL; POLYOXYAMIDE; CROSS-SECTIONS; BIREFRINGENCE"	""	"BIREFRINGENCE;  CROSS-SECTIONS;  FIBRES;  FORENSIC SCIENCE;  FTIR-MICROSPECTROSCOPY;  LYOCELL;  MICROSCOPY - BRIGHTFIELD; POLARISED LIGHT; THERMAL; INTERFERENCE; SCANNING ELECTRON;  POLYOXYAMIDE"	"CELLULOSE;COPOLYMER;NYLON;ARTICLE;BIREFRINGENCE;FORENSIC SCIENCE;INFRARED RADIATION;MICROSCOPY;MORPHOLOGY;VISCOSITY"	"GRIEVE, MC (REPRINT AUTHOR), BUNDESKRIMINALAMT,KT33 TEXTILKUNDE,THAERSTR 11,D-65193 WIESBADEN,GERMANY"	"KT33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1016/S1355-0306(96)72568-6"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"FORENSIC SCIENCE;FIBRES;MICROSCOPY;BRIGHTFIELD;POLARISED LIGHT;THERMAL;INTERFERENCE;SCANNING ELECTRON;FTIR-MICROSPECTROSCOPY;LYOCELL;POLYOXYAMIDE;CROSS-SECTIONS;BIREFRINGENCE;MICROSCOPY - BRIGHTFIELD"
"NONDESTRUCTIVE DIFFERENTIATION OF POLYESTER SINGLE WHITE FIBERS USING SYNCHROTRON RADIATION MICROBEAM X-RAY FLUORESCENCE SPECTROMETRY WITH VERTICAL FOCUSING*"	2020	"NISHIWAKI Y;HONDA S;YAMATO T;KONDO R;KANEDA A;HAYAKAWA S"	""	""	"MICROBEAM X-RAYS;  NONDESTRUCTIVE DISCRIMINATION;  POLYESTER;  SYNCHROTRON RADIATION;  TRACE ELEMENT;  VERTICAL FOCUSING;  WHITE SINGLE FIBER;  X-RAY FLUORESCENCE SPECTROMETRY"	"NA"	NA	"FACULTY OF EDUCATION,KOCHI UNIVERSITY,2-5-1 AKEBONO,KOCHI,KOCHI  780-8520,JAPAN; RESEARCH & UTILIZATION DIVISION,JAPAN SYNCHROTRON RADIATION RESEARCH INSTITUTE,SPRING-8,1-1-1 KOHTO,SAYO,HYOGO  679-5198,JAPAN; DEPARTMENT OF APPLIED CHEMISTRY,GRADUATE SCHOOL OF ENGINEERING,HIROSHIMA UNIVERSITY,1-4-1 KAGAMIYAMA,HIGASHI-HIROSHIMA,HIROSHIMA  739-8527,JAPAN"	"10.1111/1556-4029.14481"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	";MICROBEAM X-RAYS;NONDESTRUCTIVE DISCRIMINATION;POLYESTER;SYNCHROTRON RADIATION;TRACE ELEMENT;VERTICAL FOCUSING;WHITE SINGLE FIBER;X-RAY FLUORESCENCE SPECTROMETRY"
"NOTE ON FABRIC MARKS IN MOTOR VEHICLE COLLISIONS"	2000	"KUPPUSWAMY R;PONNUSWAMY PK"	"FORENSIC SCIENCE; FIBRES; ACCIDENT INVESTIGATION; MICROSCOPY; PAINT; FABRIC IMPRESSION"	""	"ACCIDENT INVESTIGATION;  FABRIC IMPRESSION;  FIBRES;  FORENSIC SCIENCE;  MICROSCOPY;  PAINT"	"PAINT;ARTICLE;CLOTHING;FIBER;MOTOR VEHICLE;TEXTILE;TRAFFIC ACCIDENT;VICTIM"	"KUPPUSWAMY, R (REPRINT AUTHOR), DEPT FORENS SCI, KAMARAJAR SALAI 600004, CHENNAI, INDIA; DEPT FORENS SCI, KAMARAJAR SALAI 600004, CHENNAI, INDIA; BHARATHIDASAN UNIV, DEPT PHYS, TIRUCHIRAPPALLI 620024, TAMIL NADU, INDIA"	"FORENSIC SCIENCES DEPARTMENT,KAMARAJAR SALAI,CHENNAI 600 004,TAMIL NADU,INDIA; DEPARTMENT OF PHYSICS,BHARATHIDASAN UNIVERSITY,TIRUCHIRAPALLI 620 024,INDIA"	"10.1016/S1355-0306(00)71934-4"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"FORENSIC SCIENCE;FIBRES;ACCIDENT INVESTIGATION;MICROSCOPY;PAINT;FABRIC IMPRESSION"
"OBSERVATIONS ON REDISTRIBUTION OF TEXTILE FIBRES"	1984	"ROBERTSON J;LLOYD AK"	""	""	"DISTRIBUTION;  FIBRES;  INTERPRETATION"	"DIAGNOSIS;FIBER;HUMAN;LEGAL ASPECT;NONHUMAN;TEXTILE;THEORETICAL STUDY"	NA	"FORENSIC SCIENCE UNIT,UNIVERSITY OF STRATHCLYDE,ROYAL COLLEGE,204 GEORGE STREET,GL 1XW,UNITED KINGDOM"	"10.1016/S0015-7368(84)72279-1"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	";DISTRIBUTION;FIBRES;INTERPRETATION"
"OBTAINING ABSORPTION SPECTRA FROM SINGLE TEXTILE FIBERS USING A LIQUID CRYSTAL TUNABLE FILTER MICROSPECTROPHOTOMETER"	2011	"MARKSTROM LJ;MABBOTT GA"	""	""	"ABSORPTION SPECTRA;  FIBER;  LIQUID CRYSTAL TUNABLE FILTER;  MICROSPECTROPHOTOMETER;  TEXTILE DYES"	"DYE;POLYESTER;ABSORPTION SPECTROSCOPY;ANALYTIC METHOD;ARTICLE;ARTIFACT;BLUE LIGHT;CONTROLLED STUDY;COTTON;FILTER DESIGN;FORENSIC SCIENCE;INSTRUMENTATION;LIQUID CRYSTAL;LIQUID CRYSTAL TUNABLE FILTER MICROSPECTROPHOTOMETER;PRIORITY JOURNAL;SAMPLE SIZE;SILK;SPECTROPHOTOMETER;TEXTILE FIBER;WOOL"	NA	"UNIVERSITY OF SAINT THOMAS,CHEMISTRY DEPARTMENT,2115 SUMMIT AVE MAIL # 0463,SAINT PAUL,MN 55105-1048,UNITED STATES; UNIVERSITY OF SAINT THOMAS,2115 SUMMIT AVE/OSS 402,UNITED STATES"	"10.1016/j.forsciint.2011.01.014"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	";ABSORPTION SPECTRA;FIBER;LIQUID CRYSTAL TUNABLE FILTER;MICROSPECTROPHOTOMETER;TEXTILE DYES"
"ON THE POTENTIAL OF RAMAN MICROSCOPY FOR THE FORENSIC ANALYSIS OF COLOURED TEXTILE FIBRES"	2002	"JOCHEM G;LEHNERT RJ"	"FORENSIC SCIENCE; RAMAN; INFRARED; MICROSPECTROSCOPY; TEXTILE FIBRES; PIGMENTS"	"ACRYLIC FIBERS; NUMBER NYLONS; SPECTROSCOPY; IDENTIFICATION; POLYAMIDES;; MICROPROBE"	"FORENSIC SCIENCE;  INFRARED;  MICROSPECTROSCOPY;  PIGMENTS;  RAMAN;  TEXTILE FIBRES"	"CELLULOSE;NITRILE;ANALYTIC METHOD;ARTICLE;FORENSIC IDENTIFICATION;FORENSIC SCIENCE;INFRARED SPECTROMETRY;RAMAN SPECTROMETRY;TEXTILE FIBER"	"JOCHEM, G (REPRINT AUTHOR), LANDESKRININALAMT SACHSEN, KRININALTECH INST, NEULANDER STR 60, D-01129 DRESDEN, GERMANY; LANDESKRININALAMT SACHSEN, KRININALTECH INST, D-01129 DRESDEN, GERMANY; RENISHAW GMBH, D-72124 PLIEZHAUSEN, GERMANY"	"KRIMINALTECHNISCHES INSTITUT,LANDESKRIMINALAMT SACHSEN,NEULNDER STRAE 60,01129 DRESDEN,GERMANY; RENISHAW GMBH,KARL-BENZ-STRAE 12,72124 PLIEZHAUSEN,GERMANY"	"10.1016/S1355-0306(02)71831-5"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"FORENSIC SCIENCE;RAMAN;INFRARED;MICROSPECTROSCOPY;TEXTILE FIBRES;PIGMENTS"
"ON THE RECOVERY OF FIBRES BY TAPE LIFTS, TAPE SCANNING, AND MANUAL ISOLATION"	2015	"SCHOTMAN TG;VAN DER WEERD J"	"TRACE RECOVERY; FIBRES; TAPE SCANNING; ISOLATION; TAPING; TAPE LIFT"	""	"FIBRES;  ISOLATION;  TAPE LIFT;  TAPE SCANNING;  TAPING;  TRACE RECOVERY"	"POLYESTER;ANALYTIC METHOD;ARTICLE;COTTON;FLUORESCENCE;FRACTIONATION;TAPE LIFTING;TEXTILE"	"VAN DER WEERD, J (REPRINT AUTHOR), NETHERLANDS FORENS INST, DEPT MICROTRACES, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS; SCHOTMAN, TOM G; VAN DER WEERD, JAAP, NETHERLANDS FORENS INST, DEPT MICROTRACES, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS"	"NETHERLANDS FORENSIC INSTITUTE,DEPARTMENT OF MICROTRACES,P.O. BOX 24044,THE HAGUE,2490AA,NETHERLANDS"	"10.1016/j.scijus.2015.05.007"	"SCIENCE AND JUSTICE"	"ARTICLE"	"TRACE RECOVERY;FIBRES;TAPE SCANNING;ISOLATION;TAPING;TAPE LIFT"
"OPTICAL CHARACTERIZATION OF SOME MODERN \"ECO-FRIENDLY\""	2010	"BRINSKO KM"	""	""	"ALGINATE;  AZLON;  BAMBOO RAYON;  CHITIN;  CRIMINALISTICS;  FIBER IDENTIFICATION;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRARED SPECTROSCOPY;  POLARIZED LIGHT MICROSCOPY;  POLYLACTIC ACID"	"NA"	NA	"MCCRONE RESEARCH INSTITUTE,RESEARCH MICROSCOPIST/INSTRUCTOR,2820 S. MICHIGAN AVE,CHICAGO,IL 60616,UNITED STATES"	"10.1111/j.1556-4029.2010.01369.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	";ALGINATE;AZLON;BAMBOO RAYON;CHITIN;CRIMINALISTICS;FIBER IDENTIFICATION;FORENSIC SCIENCE;FOURIER TRANSFORM INFRARED SPECTROSCOPY;POLARIZED LIGHT MICROSCOPY;POLYLACTIC ACID"
"OPTICAL CHARACTERIZATION OF SOME MODERN ``ECO-FRIENDLY'' FIBERS"	2010	"BRINSKO KM"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBER IDENTIFICATION; AZLON; POLYLACTIC ACID; ALGINATE; CHITIN; BAMBOO RAYON; POLARIZED LIGHT; MICROSCOPY; FOURIER TRANSFORM INFRARED SPECTROSCOPY"	""	""	""	"BRINSKO, KM (REPRINT AUTHOR), MCCRONE RES INST INC, 2820 S MICHIGAN AVE, CHICAGO, IL 60616 USA; MCCRONE RES INST INC, CHICAGO, IL 60616 USA"	NA	"10.1111/j.1556-4029.2010.01369.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBER IDENTIFICATION;AZLON;POLYLACTIC ACID;ALGINATE;CHITIN;BAMBOO RAYON;POLARIZED LIGHT;MICROSCOPY;FOURIER TRANSFORM INFRARED SPECTROSCOPY"
"OPTIMIZING THE ANALYSIS OF DYES BY SURFACE-ENHANCED RAMAN SPECTROSCOPY (SERS) USING A CONVENTIONAL-MICROWAVE SILVER NANOPARTICLES SYNTHESIS"	2019	"LUX C;LUBIO A;RUEDIGER A;ROBERT S;MUEHLETHALER C"	"SURFACE ENHANCED RAMAN SPECTROSCOPY; SILVER NANOPARTICLES; DYES; FORENSIC SCIENCE"	"SCATTERING; IDENTIFICATION; ANCIENT; AG"	"DYES;  FORENSIC SCIENCE;  SILVER NANOPARTICLES;  SURFACE ENHANCED RAMAN SPECTROSCOPY"	"NA"	"MUEHLETHALER, C (REPRINT AUTHOR), UNIV QUEBEC TROIS RIVIERES, DEPT CHEM BIOCHEM \& PHYS, TROIS RIVIERES, PQ, CANADA; LUX, CELINE, UNIV STRASBOURG, EUROPEAN SCH CHEM POLYMERS \& MAT, STRASBOURG, FRANCE; LUBIO, AURA; RUEDIGER, ANDREAS, UNIV SHERBROOKE, ELECT \& COMP ENGN DEPT, SHERBROOKE, PQ, CANADA; LUBIO, AURA; RUEDIGER, ANDREAS, INRS EMT, NANOELECT \& NANOPHOTON, VARENNES, PQ, CANADA; ROBERT, SYLVAIN; MUEHLETHALER, CYRIL, UNIV QUEBEC TROIS RIVIERES, DEPT CHEM BIOCHEM \& PHYS, TROIS RIVIERES, PQ, CANADA; ROBERT, SYLVAIN; MUEHLETHALER, CYRIL, LRC, TROIS RIVIERES, PQ, CANADA"	"EUROPEAN SCHOOL OF CHEMISTRY,POLYMERS AND MATERIALS,UNIVERSITY OF STRASBOURG,STRASBOURG,FRANCE; UNIVERSITY OF SHERBROOKE,ELECTRICAL AND COMPUTER ENGINEERING DEPARTMENT,SHERBROOKE,CANADA; INRS-EMT,NANOELECTRONIC AND NANOPHOTONIC,VARENNES,CANADA; DEPARTMENT OF CHEMISTRY,BIOCHEMISTRY AND PHYSICS,UNIVERSITY OF QUEBEC AT TROIS-RIVIERES,TROIS-RIVIRES,CANADA; LABORATOIRE DE RECHERCHE EN CRIMINALISTIQUE (LRC),CANADA"	"10.1016/j.forc.2019.100186"	"FORENSIC CHEMISTRY"	"ARTICLE"	"SURFACE ENHANCED RAMAN SPECTROSCOPY;SILVER NANOPARTICLES;DYES;FORENSIC SCIENCE"
"PATTERNS PRODUCED WHEN SOIL IS TRANSFERRED TO BRAS BY PLACING AND DRAGGING ACTIONS: THE APPLICATION OF DIGITAL PHOTOGRAPHY AND IMAGE PROCESSING TO SUPPORT VISIBLE OBSERVATIONS"	2017	"MURRAY KR;FITZPATRICK RW;BOTTRILL RS"	"FORENSIC; SOIL; TRANSFERENCE; CLOTHING; IMAGE-PROCESSING; PLACING; DRAGGING"	"SIMULATED CONTACTS; CLOTHING MATERIALS; FORENSIC ANALYSIS; PERSISTENCE;; FIBERS; WEAR"	""	""	"MURRAY, KR (REPRINT AUTHOR), UNIV ADELAIDE, SCH BIOL SCI, ADELAIDE, SA 5005, AUSTRALIA; MURRAY, KR (REPRINT AUTHOR), CSIRO LAND \& WATER, CTR AUSTRALIAN FORENS SOIL SCI, WAITE RD, URRBRAE, SA, AUSTRALIA; MURRAY, KATHLEEN R; FITZPATRICK, ROBERT W, UNIV ADELAIDE, SCH BIOL SCI, ADELAIDE, SA 5005, AUSTRALIA; MURRAY, KATHLEEN R; FITZPATRICK, ROBERT W; BOTTRILL, RALPH; KOBUS, HILTON, CSIRO LAND \& WATER, CTR AUSTRALIAN FORENS SOIL SCI, WAITE RD, URRBRAE, SA, AUSTRALIA; BOTTRILL, RALPH, MINERAL RESOURCES TASMANIA, POB 56, ROSNY PK, TAS 7018, AUSTRALIA; KOBUS, HILTON, FLINDERS UNIV S AUSTRALIA, FORENS SCI RES CTR, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA"	NA	"10.1016/j.forsciint.2017.03.026"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"FORENSIC;SOIL;TRANSFERENCE;CLOTHING;IMAGE-PROCESSING;PLACING;DRAGGING"
"PHYSICAL AND MECHANICAL DEGRADATION OF SHIRTING FABRICS IN BURIAL CONDITIONS"	2012	"MITCHELL JL;CARR DJ;NIVEN BE;HARRISON K;GIRVAN E"	"COTTON; POLYESTER; TEARING; COLOUR CHANGE; CLANDESTINE; TAPHONOMY"	""	"CLANDESTINE;  COLOUR CHANGE;  COTTON;  POLYESTER;  TAPHONOMY;  TEARING"	"ARCHEOLOGY;ARTICLE;CLOTHING;DEGRADATION;ENVIRONMENTAL TEMPERATURE;FEMALE;FIELD EMISSION SCANNING ELECTRON MICROSCOPY;FORENSIC SCIENCE;HUMAN;LAUNDRY;MALE;MORPHOLOGY;PHYSICAL CHEMISTRY;POSTHUMOUS CARE;PRIORITY JOURNAL;SEX DIFFERENCE;SOIL ANALYSIS;TAPHONOMY"	"CARR, DJ (REPRINT AUTHOR), CRANFIELD UNIV, DEF ACAD UNITED KINGDOM, DEPT ENGN \& APPL SCI, IMPACT \& ARMOUR GRP, SHRIVENHAM SN6 8LA, WILTS, ENGLAND; MITCHELL, J L; CARR, D J, CRANFIELD UNIV, DEF ACAD UNITED KINGDOM, DEPT ENGN \& APPL SCI, IMPACT \& ARMOUR GRP, SHRIVENHAM SN6 8LA, WILTS, ENGLAND; MITCHELL, J L; HARRISON, K, CRANFIELD UNIV, DEF ACAD UNITED KINGDOM, DEPT ENGN \& APPL SCI, CRANFIELD FORENS INST, SHRIVENHAM SN6 8LA, WILTS, ENGLAND; NIVEN, B E, UNIV OTAGO, CTR APPLICAT STAT \& MATH, DUNEDIN, NEW ZEALAND; GIRVAN, E, UNIV OTAGO, OTAGO CTR ELECTRON MICROSCOPY, DUNEDIN, NEW ZEALAND"	"IMPACT AND ARMOUR GROUP,CRANFIELD UNIVERSITY,DEPT. OF ENGINEERING AND APPLIED SCIENCE CRANFIELD DEFENCE AND SECURITY,DEFENCE ACADEMY OF THE UNITED KINGDOM,SHRIVENHAM,WILTSHIRE SN6 8LA,UNITED KINGDOM; CRANFIELD FORENSIC INSTITUTE,DEPARTMENT OF ENGINEERING AND APPLIED SCIENCE,CRANFIELD DEFENCE AND SECURITY,UNITED KINGDOM; CENTRE FOR APPLICATIONS OF STATISTICS AND MATHEMATICS,UNIVERSITY OF OTAGO,PO BOX 56,DUNEDIN,NEW ZEALAND; OTAGO CENTRE FOR ELECTRON MICROSCOPY,NEW ZEALAND"	"10.1016/j.forsciint.2012.05.005"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"COTTON;POLYESTER;TEARING;COLOUR CHANGE;CLANDESTINE;TAPHONOMY"
"PRACTICAL GC/MS ANALYSIS OF OXIDATION DYE COMPONENTS IN HAIR FIBER AS A FORENSIC INVESTIGATIVE PROCEDURE"	1999	"TANADA N;KASHIMURA S;KAGEURA M;HARA K"	"FORENSIC SCIENCE; CRIMINALISTICS; FORENSIC CHEMISTRY; HUMAN HAIR; OXIDATION HAIR DYE COMPONENTS; AROMATIC DIAMINES; AMINOPHENOLS; GAS; CHROMATOGRAPHY-MASS SPECTROMETRY"	"IDENTIFICATION"	"AMINEPHENOLS;  AROMATIC DIAMINES;  CRIMINALISTICS;  FORENSIC CHEMISTRY;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY-MASS SPECTROMETRY;  HUMAN HAIR;  OXIDATION HAIR DYE COMPONENTS"	"2 AMINOPHENOL;3 AMINOPHENOL;4 AMINOPHENOL;HAIR DYE;PHENYLENEDIAMINE;ACCURACY;ARTICLE;CHEMICAL ANALYSIS;CHEMICAL COMPOSITION;CHEMOSENSITIVITY;DISCRIMINANT ANALYSIS;FORENSIC IDENTIFICATION;GAS CHROMATOGRAPHY;HAIR ANALYSIS;INTERMETHOD COMPARISON;MASS SPECTROMETRY;PRIORITY JOURNAL;GAS CHROMATOGRAPHY-MASS SPECTROMETRY;HAIR;HAIR DYES;HUMANS;OXIDATION-REDUCTION"	"KASHIMURA, S (REPRINT AUTHOR), FUKUOKA UNIV, SCH MED, DEPT FORENS MED, JONAN KU, 7-45-1 NANAKUMA, FUKUOKA 8140180, JAPAN; FUKUOKA UNIV, SCH MED, DEPT FORENS MED, JONAN KU, FUKUOKA 8140180, JAPAN"	"DEPARTMENT OF FORENSIC MEDICINE,SCHOOL OF MEDICINE,FUKUOKA UNIVERSITY,7-45-1 NANAKUMA,JONAN-KU,FUKUOKA 814-0180,JAPAN; DEPARTMENT OF FORENSIC MEDICINE,7-45-1,NANAKUMA,JAPAN"	""	"JOURNAL OF FORENSIC SCIENCES"	"PROCEEDINGS ARTICLE"	"FORENSIC SCIENCE;CRIMINALISTICS;FORENSIC CHEMISTRY;HUMAN HAIR;OXIDATION HAIR DYE COMPONENTS;AROMATIC DIAMINES;AMINOPHENOLS;GAS;CHROMATOGRAPHY-MASS SPECTROMETRY;AMINEPHENOLS;GAS CHROMATOGRAPHY-MASS SPECTROMETRY"
"PRAXIS-COMBINED -RAMAN AND -XRF SPECTROMETERS IN THE EXAMINATION OF FORENSIC SAMPLES"	2008	"ZIEBA-PALUS J;BORUSIEWICZ R;KUNICKI M"	""	""	"FIBRE;  FORENSIC ANALYSIS;  INK;  PAINT;  RAMAN SPECTROMETRY;  XRF"	"INK;PAINT;PLASTIC;POLY(METHYL METHACRYLATE);TITANIUM DIOXIDE;ARTICLE;FIBER;FORENSIC MEDICINE;PRIORITY JOURNAL;RAMAN SPECTROMETRY;X RAY FLUORESCENCE"	NA	"INSTITUTE OF FORENSIC RESEARCH,WESTERPLATTE 9,31-033 CRACOW,POLAND"	"10.1016/j.forsciint.2007.04.230"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	";FIBRE;FORENSIC ANALYSIS;INK;PAINT;RAMAN SPECTROMETRY;XRF"
"PRAXIS - COMBINED MU-RAMAN AND MU-XRF SPECTROMETERS IN THE EXAMINATION OF FORENSIC SAMPLES"	2008	"ZIEBA-PALUS J;BORUSIEWICZ R;KUNICKI M"	"FORENSIC ANALYSIS; PAINT; INK; FIBRE; RAMAN SPECTROMETRY; XRF"	"TRANSFORM-INFRARED-SPECTROSCOPY; RED AUTOMOTIVE TOPCOATS; ORGANIC; PIGMENTS; CAPILLARY-ELECTROPHORESIS; PEN INKS; IDENTIFICATION; COATINGS;; FIBERS; FTIR; CE"	""	""	"ZIEBA-PALUS, J (REPRINT AUTHOR), INST FORENS RES, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; ZIEBA-PALUS, JANINA; BORUSIEWICZ, RAFAL; KUNICKI, MARCIN, INST FORENS RES, PL-31033 KRAKOW, POLAND"	NA	"10.1016/j.forsciint.2007.04.230"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"FORENSIC ANALYSIS;PAINT;INK;FIBRE;RAMAN SPECTROMETRY;XRF"
