Author
ROUX CP;MARGOT P
TAKEKOSHI Y;KANNO S;KAWASE S;KIHO T;UKAI S
TAKEKOSHI Y;KANNO S;KAWASE S;KIHO T;UKAI S
WHITE PC;SMITH WE
GRIEVE MC
WIGGINS KG;MARCH BM
WAS J
SALTER MT;COOK R
GRIEVE MC;BRUSCHWEILER W
ROUX CP;GRIEVE MC
ROUX CP;MARGOT P
EDWARDS HGM
WAS J
WIGGINS KG
BIDE MJ
WAS J
WETZEL DL;CHO LL
GRIEVE MC;BIERMANN TW
ROUX CP;MARGOT P
COOK R
EVETT LW
GRIEVE MC;BIERMANN TW
BIERMANN TW;GRIEVE MC
GRIFFIN RME
GRIEVE MC;GRIFFIN RME
WHITE GW;FREDERICKS PM
CHO LL;WETZEL DL;REFFNER JA
PALMER R
WAS-GUBALA J
CHO L;REFFNER JA;GATEWOOD BM;WETZEL DL;CHO LL
PAULSSON N
ZHANG Z
COOK R;EVETT LW;JACKSON G;LAMBERT JA
LEIJENHORST HAL
WAS-GUBALA J
CHO L;REFFNER JA;WETZEL DL;CHO LL
GRIEVE MC;GRIFFIN RME
WHITE PC;SMITH WE
ROUX CP;LANGDON S;ROBERTSON J
WIGGINS KG
GRIEVE MC
GRIEVE MC
EVETT LW;JACKSON G;LAMBERT JA
WAS-GUBALA J
ROUX CP;MAYNARD P;ROBERTSON J
XU X;LEIJENHORST HAL
ROBSON R;COYLE TJ
STAUBER M
BIERMANN TW;DECK S
KOBAYASHI M
ROUX CP;ROBERTSON J
GRIEVE MC;WIGGINS KG
BARTICK EG
WIGGINS KG
SUZUKI S;SUZUKI Y;SUGITA R
HOUCK MM
CHO L;REFFNER JA;GATEWOOD BM;WETZEL DL;CHO LL
ROUX CP;LENNARD C
GRIEVE MC;BIERMANN TW;DAVIGNON M
GRIEVE MC;DECK S
GRIEVE MC;DECK S
COYLE TJ;ROBSON R
JOCHEM G
GRIEVE MC
WIGGINS KG
KOBAYASHI M
THOMAS J;BUZZINI P;ROUX CP;REEDY BJ
LANGDON S;MAYNARD P;ROBERTSON J;ROUX CP
SMITH AFM
GRIEVE MC;BIERMANN TW
GRIEVE MC;BIERMANN TW;DAVIGNON M
WIGGINS KG;DRUMMOND P
CAUSIN V;SCHIAVONE S;MARIGO A
WAS-GUBALA J
KOBAYASHI M
COYLE TJ
CAUSIN V;MAREGA C;GUZZINI G;MARIGO A
HUANG M;SIGMAN ME
WATSON ND
LACHENMEIER DW
LACHENMEIER DW
WAS-GUBALA J;KRAUSS W
PALMER R
WIGGINS KG;HOLNESS JA
CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A
HUANG M;SIGMAN ME
BLACKBURN RS
BLACKBURN RS
CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A
MASSONNET G;BUZZINI P;JOCHEM G;STAUBER M;COYLE TJ;ROUX CP;THOMAS J;LEIJENHORST HAL;VAN ZANTEN Z;WIGGINS KG;CHABLI S;ROSENGARTEN A
BIDE MJ
THOMAS J;BUZZINI P;MASSONNET G;REEDY BJ;ROUX CP
WIGGINS KG;DRUMMOND P
CAUSIN V;MAREGA C;GUZZINI G;MARIGO A
WIGGINS KG;HOLNESS JA;MARCH BM
GRIEVE MC;BIERMANN TW
ROUX CP;ROBERTSON J
PALMER R
MASSONNET G;BUZZINI P;GASON F;DE WAEL K
COULSON SA
ZHANG Y
CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A
ROUX CP;REEDY BJ
WANG X;WANG Y
WIGGINS KG;PALMER R;HUTCHINSON W;DRUMMOND P
BIERMANN TW
HIGASHIKAWA Y;SUZUKI Y;SUZUKI S
SIGMAN ME
BANFIELD SJ;FLORY JF
WIGGINS KG;DRUMMOND P
CARACOGLIA L
ARTYUSHENKO VG;BOCHARNIKOV A;LOBACHOV V;SAVITSKIJ D
ARTYUSHENKO VG;BOCHARNIKOV A;LOBACHOV V;SAVITSKIJ D
BAHERI T
WOOD AR;SMITH PA;WATTS JF
WOOD AR;SMITH PA;WATTS JF
BALDIA CM;JAKES KA
LEPOT L;DE WAEL K;GASON F
CARACOGLIA L
AKRAP I;ZUPANIC S;VUJASINOVIC E
NA NA
ZIEBA-PALUS J;BORUSIEWICZ R;KUNICKI M
ZIEBA-PALUS J;BORUSIEWICZ R;KUNICKI M
DE WAEL K;GASON F
LEWIS SW
VANN BC;HENDRIX JE;BARTICK EG;MORGAN SL
WANG L
DOCKERY CR;STEFAN AR;NIEUWLAND AA;ROBERSON SN;BAGULEY BM;HENDRIX JE;MORGAN SL
STEFAN AR;DOCKERY CR;NIEUWLAND AA;ROBERSON SN;BAGULEY BM;HENDRIX JE;MORGAN SL
GOODPASTER JV
CARR DJ;KIESER JA;NIVEN BE;TAYLOR MC
SUZUKI S;HIGASHIKAWA Y;SUGITA R;SUZUKI Y
HOUCK MM
ALI EMA;EDWARDS HGM;SCOWEN IJ
HOUCK MM
STEFAN AR;DOCKERY CR;BAGULEY BM;VANN BC;NIEUWLAND AA;HENDRIX JE;MORGAN SL
HE Y
ALI EMA;EDWARDS HGM;SCOWEN IJ
WAS-GUBALA J
COULSON SA
PALMER R;HUTCHINSON W
HOUCK MM
WAS-GUBALA J
PALMER R
COULSON SA
HOUCK MM
JONES J;COYLE TJ
DAROUX FY;CARR DJ;KIESER JA;NIVEN BE;TAYLOR MC
TOBIN DJ
DE WAEL K;LEPOT L;LUNSTROOT K;GASON F
UITDEHAAG S;DRAGUTINOVIC A;KUIPER I
GOODPASTER JV
FERRER N
TOBIN DJ
RESCHIGLIAN P;ZATTONI A;RAMBALDI DC;RODA A
ALI EMA;EDWARDS HGM;SCOWEN IJ
BRINSKO KM
BRINSKO KM
BATCHELOR SN
VUJASINOVIC E
BALDIA CM;JAKES KA
KIRKBRIDE KP
WAS-GUBALA J
ROUX CP;ROBERTSON J
ROBERTSON J;ROUX CP
AKRAP I;ZUPANIC S
WAS-GUBALA J;ZIEBA-PALUS J
DE WAEL K;VANDEN DRIESSCHE T
DE WAEL K;LEPOT L
DE WAEL K;VANDEN DRIESSCHE T
RESCHIGLIAN P;ZATTONI A;RAMBALDI DC;RODA A
ALI EMA;EDWARDS HGM;SCOWEN IJ
SAITO K
BLAKE SL;MUDDIMAN DC;HINKS D;BECK KR;MUDDIMAN D
JONES J;COYLE TJ
ROBERTSON J;ROUX CP
PALMER R
HAO B
ZIEBA-PALUS J
ARNDT C;DITTMANN J
DE WAEL K;LEPOT L
DE WAEL K
CARR DJ
COYLE TJ;JONES J
ARNDT C;VIELHAUER C
FREDERICKS PM
KING M;BARTICK EG
GARRARD K;DOW TA;ROBICHAUD G
BECK KR;HINKS D;CRAWFORD A
CARR DJ;NIVEN BE;HARRISON K;GIRVAN E
MASSONNET G;BUZZINI P;JOCHEM G;STAUBER M;COYLE TJ;ROUX CP;LEIJENHORST HAL;VAN ZANTEN Z;WIGGINS KG;CHABLI S;ROSENGARTEN A
DE WAEL K;LEPOT L;LUNSTROOT K
ZHOU C;CRAWFORD A;BECK KR;HINKS D
BOWEN AM;STONEY DA
COCHRAN KH;BARRY JA;MUDDIMAN DC;HINKS D;MUDDIMAN D
ROBERTSON J;ROUX CP
LEYTON V;PASQUALUCCI CAG;MUOZ DR;YONAMINE M
PALMER R
RODEWIJK N;XU X;VAN DER WEERD J
ROUX CP;ROBERTSON J
WAS-GUBALA J
BUZZINI P;MASSONNET G
SUZUKI S
ZHOU C;BECK KR;HINKS D;CRAWFORD A;BLAKE SL
NA NA
DEBATTISTA R;TIDY H
YONAMINE M
YONAMINE M
WAS-GUBALA J
CARR DJ;KIESER JA;MABBOTT AJ;GIRVAN E
GUNNING SP;GARRARD K;FURST SJ;DOW TA
LEYTON V;PASQUALUCCI CAG;MUOZ DR;YONAMINE M
BAIRROS AVD;ALMEIDA RMD;YONAMINE M
EYRING MB
FARAH S;TSACH T;BENTOLILA A;DOMB AJ
RIDGE IML;FLORY JF;BANFIELD SJ
HEIDER EC;CAMPIGLIA AD
LENNARD C;KIRKBRIDE KP;ROBERTSON J
ZHANG Y;ZHANG Z
TAKALO J;TIMONEN J;SAMPO J;RANTALA M;SILTANEN S;LASSAS M
TAKALO J;TIMONEN J;SAMPO J;RANTALA M;SILTANEN S;LASSAS M
TAKALO J;TIMONEN J;SAMPO J;RANTALA M;SILTANEN S;LASSAS M
ES'HAGHI Z
DRAGUTINOVIC A;UITDEHAAG S;KUIPER I
COCHRAN KH;BARRY JA;ROBICHAUD G;MUDDIMAN DC
BAIRROS AVD;ALMEIDA RMD;YONAMINE M
DE WAEL K;GASON F
MUJUMDAR N;HEIDER EC;CAMPIGLIA AD
STONEY DA;NEUMANN C;STONEY PL
LEPOT L;VANDEN DRIESSCHE T;LUNSTROOT K;GASON F;DE WAEL K
LEPOT L;VANDEN DRIESSCHE T
FARAH S;KUNDURU KR;TSACH T;BENTOLILA A;DOMB AJ
GARCIA-RUIZ C
FARAH S;KUNDURU KR;DOMB AJ
RIDGE IML;FLORY JF;BANFIELD SJ
BATCHELOR SN
WAS-GUBALA J;STARCZAK R
SCHOTMAN TG;VAN DER WEERD J
HE Y
WANG Y
ARNDT C;DITTMANN J;VIELHAUER C
VAN DER WEERD J
BUZZINI P;MASSONNET G
UELAND M;FORBES SL;STUART BH
PALMER R;SHERIDAN K
VAN DER WEERD J
SCHOTMAN TG;VAN DER WEERD J
GWINNETT C
STONEY DA;BOWEN AM;STONEY PL
WAS-GUBALA J;STARCZAK R
DE WAEL K;LEPOT L;LUNSTROOT K;GASON F
LUNSTROOT K;VANDEN DRIESSCHE T
GROVES E;PALENIK CS
ZHOU C;BECK KR;HINKS D;CRAWFORD A;BLAKE SL
SUZUKI Y
WANG X
HAAKMA W;PEDERSEN M;FROELING M;UHRENHOLT L;LEEMANS A;BOEL LWT
CAMPIGLIA AD;MUOZ DE LA PEA A;GOICOECHEA HC
ROBERTSON J;ROUX CP
FERRER N
DE WAEL K;LEPOT L
HEIDER EC;MUJUMDAR N;CAMPIGLIA AD
REICHARD EJ;VAN BRONSWIJK W;LEWIS SW;GOODPASTER JV
MOHSENI N;BAHRAM M
MUOZ DE LA PEA A;MUJUMDAR N;HEIDER EC;GOICOECHEA HC;CAMPIGLIA AD
MURRAY KR;FITZPATRICK RW;BOTTRILL RS
GARCIA-RUIZ C
BRINSKO KM;KING M
GWINNETT C
STARCZAK R;WAS-GUBALA J
SCHNEGG M;MASSONNET G
PALMER R;SHERIDAN K
SCHOTMAN TG;XU X;RODEWIJK N;VAN DER WEERD J
CARR DJ;MABBOTT AJ
MOHSENI N;BAHRAM M;BAHERI T
UELAND M;FORBES SL;STUART BH
LEPOT L;VANDEN DRIESSCHE T;LUNSTROOT K;GASON F;DE WAEL K
HARRISON K
CARR DJ
DAROUX FY
ROBERTSON J;ROUX CP;WIGGINS KG
GWINNETT C
FERRER N
DE WAEL K;LEPOT L
CARR DJ
GRIEVE MC;HOUCK MM;ROBERTSON J
NEUMANN C;STONEY DA
REICHARD EJ;BARTICK EG;MORGAN SL;GOODPASTER JV
SCHNEGG M;MASSONNET G
MURRAY KR;FITZPATRICK RW;BOTTRILL RS
HU C;ZHU J;SHI H;MEI H;GUO H
HAO B
VAN DER WEERD J
GROVES E;PALENIK CS
MUJUMDAR N;CAMPIGLIA AD
HU C;ZHU J;MEI H;SHI H;GUO H
RIAHI-ZANJANI B;BALALI-MOOD M;ASOODEH A;GHORANI-AZAM A
GUNNING SP;FURST SJ;DOW TA
VAN BRONSWIJK W
SCHNEGG M;PALMER R;MASSONNET G
SCHNEGG M;PALMER R;MASSONNET G
HAAKMA W;FROELING M;PEDERSEN M;UHRENHOLT L;LEEMANS A;BOEL LWT
GROVES E;PALENIK CS
BUZZINI P
WANG L
MUJUMDAR N;CAMPIGLIA AD
KOMBOLIAS M;OBRZUT J;POSTEK MT;POSTER DL;OBENG YS
WAS-GUBALA J
HOUCK MM
DEBATTISTA R;TIDY H
KOMBOLIAS M;OBRZUT J;POSTEK MT;POSTER DL;OBENG YS
DEVALLA S;JOSEPH O;PRABHU R
DEVALLA S;JOSEPH O;PRABHU R
RIAHI-ZANJANI B;BALALI-MOOD M;ASOODEH A;ES'HAGHI Z;GHORANI-AZAM A
GWINNETT C
WAS-GUBALA J
TIDY H
