"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"AIK"
"IMPACT SPATTER BLOODSTAIN PATTERNS ON TEXTILES"	2019	"WU J;MICHIELSEN S;BABY R"	"FORENSIC SCIENCE; IMPACT SPATTER; BLOODSTAIN PATTERN ANALYSIS; TEXTILES; RATTRAP; PORCINE BLOOD"	""	"BLOODSTAIN PATTERN ANALYSIS;  FORENSIC SCIENCE;  IMPACT SPATTER;  PORCINE BLOOD;  RATTRAP;  TEXTILES"	"ANIMAL;BIOLOGICAL MODEL;BLOOD STAIN;FORENSIC MEDICINE;MICROSCOPY;PHOTOGRAPHY;PIG;PROCEDURES;TEXTILE;ANIMALS;BLOOD STAINS;MODELS;BIOLOGICAL;SWINE;TEXTILES"	"MICHIELSEN, S (CORRESPONDING AUTHOR), N CAROLINA STATE UNIV, TEXT ENGN CHEM \& SCI, COLL TEXT, 1020 MAIN CAMPUS DR, RALEIGH, NC 27695 USA; WU, JIAYING; MICHIELSEN, STEPHEN; BABY, RUKSANA, N CAROLINA STATE UNIV, TEXT ENGN CHEM \& SCI, COLL TEXT, 1020 MAIN CAMPUS DR, RALEIGH, NC 27695 USA"	"TEXTILE ENGINEERING,CHEMISTRY AND SCIENCE,COLLEGE OF TEXTILES,NORTH CAROLINA STATE UNIVERSITY,1020 MAIN CAMPUS DRIVE,RALEIGH,NC  27695-8301,UNITED STATES"	"TEXTILE ENGINEERING,CHEMISTRY AND SCIENCE,COLLEGE OF TEXTILES,NORTH CAROLINA STATE UNIVERSITY,1020 MAIN CAMPUS DRIVE,RALEIGH,NC  27695-8301,UNITED STATES"	"10.1111/1556-4029.13951"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;IMPACT SPATTER;BLOODSTAIN PATTERN ANALYSIS;TEXTILES;RATTRAP;PORCINE BLOOD"
"IMPROVING THE CONFIDENCE OF ``QUESTIONED VERSUS KNOWN'' FIBER COMPARISONS USING MICROSPECTROPHOTOMETRY AND CHEMOMETRICS"	2016	"SAUZIER G;REICHARD EJ;VAN BRONSWIJK W;LEWIS SW;GOODPASTER JV;VAN BRONSWIJK SW"	"FORENSIC SCIENCE; TEXTILE FIBERS; MICROSPECTROPHOTOMETRY; CHEMOMETRICS"	"BASIC BLUE 3; FORENSIC ANALYSIS; DISCRIMINATION; REMOVAL; SPECTRA; DYES"	"CHEMOMETRICS;  FORENSIC SCIENCE;  MICROSPECTROPHOTOMETRY;  TEXTILE FIBERS"	"NA"	"GOODPASTER, JV (CORRESPONDING AUTHOR), INDIANA UNIV PURDUE UNIV, DEPT CHEM \& CHEM BIOL, INDIANAPOLIS, IN 46202 USA; SAUZIER, GEORGINA; VAN BRONSWIJK, WILHELM; LEWIS, SIMON W, CURTIN UNIV, DEPT CHEM, GPO BOX U1987, PERTH, WA 6845, AUSTRALIA; SAUZIER, GEORGINA; LEWIS, SIMON W, CURTIN UNIV, NANOCHEM RES INST, GPO BOX U1987, PERTH, WA 6845, AUSTRALIA; REICHARD, ERIC; GOODPASTER, JOHN V, INDIANA UNIV PURDUE UNIV, DEPT CHEM \& CHEM BIOL, INDIANAPOLIS, IN 46202 USA"	"DEPARTMENT OF CHEMISTRY,CURTIN UNIVERSITY,GPO BOX U1987,PERTH,WESTERN AUSTRALIA  6845,AUSTRALIA; NANOCHEMISTRY RESEARCH INSTITUTE,AUSTRALIA; DEPARTMENT OF CHEMISTRY AND CHEMICAL BIOLOGY,INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS,INDIANAPOLIS,IN  46202,UNITED STATES"	"DEPARTMENT OF CHEMISTRY,CURTIN UNIVERSITY,GPO BOX U1987,PERTH,WESTERN AUSTRALIA  6845,AUSTRALIA; NANOCHEMISTRY RESEARCH INSTITUTE,AUSTRALIA; DEPARTMENT OF CHEMISTRY AND CHEMICAL BIOLOGY,INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS,INDIANAPOLIS,IN  46202,UNITED STATES"	"10.1016/j.forc.2016.08.001"	"FORENSIC CHEMISTRY"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;TEXTILE FIBERS;MICROSPECTROPHOTOMETRY;CHEMOMETRICS"
"LES PARAMTRES CLS DE L'INTERPRTATION DES FIBRES TEXTILES EN SCIENCES CRIMINELLES. PARTIE I: OCCURRENCE ET BRUIT DE FOND"	2018	"SCHNEGG M;PALMER R;MASSONNET G"	""	""	"FIBRES TEXTILES;  INTERPRTATION BAYSIENNE;  RAPPORT DE VRAISEMBLANCE;  TUDE DE BLOC DE COULEUR;  TUDE DE FIBRE CIBLE;  TUDE DE MARCH;  TUDE DE POPULATION"	"ARTICLE;BAYES THEOREM;CALCULATION;LABORATORY TEST;PROBABILITY"	NA	"UNIVERSIT DE LAUSANNE,ECOLE DES SCIENCES CRIMINELLES,BATOCHIME,LAUSANNE-DORIGNY  CH-1015,SWITZERLAND; NORTHUMBRIA UNIVERSITY,FORENSIC SCIENCE UNIT,DEPARTMENT OF APPLIED SCIENCES,NEWCASTLE-UPON-TYNE,NE1 8ST,UNITED KINGDOM"	"UNIVERSIT DE LAUSANNE,ECOLE DES SCIENCES CRIMINELLES,BATOCHIME,LAUSANNE-DORIGNY  CH-1015,SWITZERLAND; NORTHUMBRIA UNIVERSITY,FORENSIC SCIENCE UNIT,DEPARTMENT OF APPLIED SCIENCES,NEWCASTLE-UPON-TYNE,NE1 8ST,UNITED KINGDOM"	"10.1080/00085030.2017.1379683"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"ARTICLE"	"Scopus"	";FIBRES TEXTILES;INTERPRTATION BAYSIENNE;RAPPORT DE VRAISEMBLANCE;TUDE DE BLOC DE COULEUR;TUDE DE FIBRE CIBLE;TUDE DE MARCH;TUDE DE POPULATION"
"MICROFIBERS - A FORENSIC PERSPECTIVE"	1997	"CLAYSON NJ;WIGGINS KG"	"FORENSIC SCIENCE; CRIMINALISTICS; MICROFIBER; FIBER PRODUCTION; SPECTROPHOTOMETRY; THIN LAYER CHROMATOGRAPHY; INFRA-RED SPECTROSCOPY"	""	"CRIMINALISTICS;  FIBER PRODUCTION;  FORENSIC SCIENCE;  INFRARED SPECTROSCOPY;  MICROFIBER;  SPECTROPHOTOMETRY;  THIN LAYER CHROMATOGRAPHY"	"ARTICLE;CRIME;CRIMINOLOGY;FIBER;FORENSIC SCIENCE;INFRARED SPECTROSCOPY;PRIORITY JOURNAL;SAMPLING;THIN LAYER CHROMATOGRAPHY"	"METROPOLITAN POLICE FORENS SCI LAB,LONDON SE1 7LP,ENGLAND"	"METROPOL. POLICE FORENSIC SCI. LAB.,LONDON,UNITED KINGDOM; FORENSIC SCI. SERV. METROPOL. LAB.,109 LAMBETH ROAD,SE1 7LP,UNITED KINGDOM"	"METROPOL. POLICE FORENSIC SCI. LAB.,LONDON,UNITED KINGDOM; FORENSIC SCI. SERV. METROPOL. LAB.,109 LAMBETH ROAD,SE1 7LP,UNITED KINGDOM"	"10.1520/jfs14218j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;MICROFIBER;FIBER PRODUCTION;SPECTROPHOTOMETRY;THIN LAYER CHROMATOGRAPHY;INFRA-RED SPECTROSCOPY;INFRARED SPECTROSCOPY"
"MICROSPECTROFLUORIMETRY OF FLUORESCENT DYES AND BRIGHTENERS ON SINGLE TEXTILE FIBERS .2. COLOR MEASUREMENTS"	1991	"HARTSHORNE AW;LAING DK"	"MICROSPECTROFLUORIMETRY; SINGLE FIBERS; DYES; BRIGHTENERS; COLOR; MEASUREMENTS"	"FIBER DATA-COLLECTION"	""	""	"HARTSHORNE, AW (CORRESPONDING AUTHOR), HOME OFF FORENS SCI SERV,CENT RES \& SUPPORT ESTAB,READING RG7 4PN,BERKS,ENGLAND"	"HARTSHORNE, AW (CORRESPONDING AUTHOR), HOME OFF FORENS SCI SERV,CENT RES \& SUPPORT ESTAB,READING RG7 4PN,BERKS,ENGLAND"	NA	"10.1016/0379-0738(91)90188-O"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"WebOfScience"	"MICROSPECTROFLUORIMETRY;SINGLE FIBERS;DYES;BRIGHTENERS;COLOR;MEASUREMENTS"
"MICROSPECTROFLUORIMETRY OF FLUORESCENT DYES AND BRIGHTENERS ON SINGLE TEXTILE FIBRES: PART 1 - FLUORESCENCE EMISSION SPECTRA"	1991	"HARTSHORNE AW;LAING DK"	""	""	"BRIGHTENERS;  DYES;  EMISSION SPECTRA;  MICROSPECTROFLUORIMETRY;  SINGLE FIBRES"	"FLUORESCENT DYE;ARTICLE;FIBER;FLAME PHOTOMETRY;FLUORESCENCE;FORENSIC SCIENCE;MICROSPECTROPHOTOMETRY;PRIORITY JOURNAL;SPECTROFLUOROMETRY;TEXTILE"	NA	"CENTRAL RESEARCH AND SUPPORT ESTABLISHMENT,HOME OFFICE FORENSIC SCIENCE SERVICE,ALDERMASTON,READING,BERKSHIRE RG7 4PN,UNITED KINGDOM"	"CENTRAL RESEARCH AND SUPPORT ESTABLISHMENT,HOME OFFICE FORENSIC SCIENCE SERVICE,ALDERMASTON,READING,BERKSHIRE RG7 4PN,UNITED KINGDOM"	"10.1016/0379-0738(91)90187-N"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";BRIGHTENERS;DYES;EMISSION SPECTRA;MICROSPECTROFLUORIMETRY;SINGLE FIBRES"
"MICROSPECTROFLUORIMETRY OF FLUORESCENT DYES AND BRIGHTENERS ON SINGLE TEXTILE FIBRES: PART 2 - COLOUR MEASUREMENTS"	1991	"HARTSHORNE AW;LAING DK"	""	""	"BRIGHTENERS;  COLOUR MEASUREMENTS;  DYES;  MICROSPECTROFLUORIMETRY;  SINGLE FIBRES"	"FLUORESCENT DYE;ARTICLE;COLORIMETRY;FIBER;FLUORESCENCE;FORENSIC IDENTIFICATION;LABORATORY;MICROFLUOROMETRY;PRIORITY JOURNAL;SPECTROFLUOROMETRY;TEXTILE"	NA	"CENTRAL RESEARCH AND SUPPORT ESTABLISHMENT,HOME OFFICE FORENSIC SCIENCE SERVICE,ALDERMASTON,READING,BERKSHIRE RG7 4PN,UNITED KINGDOM"	"CENTRAL RESEARCH AND SUPPORT ESTABLISHMENT,HOME OFFICE FORENSIC SCIENCE SERVICE,ALDERMASTON,READING,BERKSHIRE RG7 4PN,UNITED KINGDOM"	"10.1016/0379-0738(91)90188-O"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";BRIGHTENERS;COLOUR MEASUREMENTS;DYES;MICROSPECTROFLUORIMETRY;SINGLE FIBRES"
"MICROSPECTROPHOTOMETRIC ANALYSIS OF YELLOW POLYESTER FIBER DYE LOADINGS WITH CHEMOMETRIC TECHNIQUES"	2017	"REICHARD EJ;BARTICK EG;MORGAN SL;GOODPASTER JV;MORGAN JV"	"MICROSPECTROPHOTOMETRY; FORENSIC SCIENCE; FIBERS; POLYESTER; DYE; LOADING; MULTIVARIATE STATISTICS"	"PERFORMANCE LIQUID-CHROMATOGRAPHY; MASS-SPECTROMETRY; FORENSIC; DISCRIMINATION; IDENTIFICATION; SPECTROSCOPY"	"DYE LOADING;  FIBERS;  FORENSIC SCIENCE;  MICROSPECTROPHOTOMETRY;  MULTIVARIATE STATISTICS;  POLYESTER"	"NA"	"GOODPASTER, JV (CORRESPONDING AUTHOR), IUPUI, DEPT CHEM \& CHEM BIOL, FORENS \& INVEST SCI PROGRAM, 402 N BLACKFORD ST,LD 326, INDIANAPOLIS, IN 46202 USA; REICHARD, ERIC J; GOODPASTER, JOHN V, IUPUI, DEPT CHEM \& CHEM BIOL, FORENS \& INVEST SCI PROGRAM, 402 N BLACKFORD ST,LD 326, INDIANAPOLIS, IN 46202 USA; BARTICK, EDWARD G, GEORGE WASHINGTON UNIV, DEPT FORENS SCI, 2100 FOXHALL RD NW, WASHINGTON, DC 20007 USA; MORGAN, STEPHEN L, UNIV SOUTH CAROLINA, DEPT CHEM \& BIOCHEM, COLUMBIA, SC 29208 USA"	"INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS (IUPUI),DEPARTMENT OF CHEMISTRY AND CHEMICAL BIOLOGY,FORENSIC AND INVESTIGATIVE SCIENCES PROGRAM,402 N. BLACKFORD STREET,LD 326,INDIANAPOLIS,IN  46202,UNITED STATES; GEORGE WASHINGTON UNIVERSITY,DEPARTMENT OF FORENSIC SCIENCES,THE GEORGE WASHINGTON UNIVERSITY,2100 FOXHALL ROAD,NW,WASHINGTON,DC,20007,UNITED STATES; UNIVERSITY OF SOUTH CAROLINA,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,COLUMBIA,SC  29208,UNITED STATES"	"INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS (IUPUI),DEPARTMENT OF CHEMISTRY AND CHEMICAL BIOLOGY,FORENSIC AND INVESTIGATIVE SCIENCES PROGRAM,402 N. BLACKFORD STREET,LD 326,INDIANAPOLIS,IN  46202,UNITED STATES; GEORGE WASHINGTON UNIVERSITY,DEPARTMENT OF FORENSIC SCIENCES,THE GEORGE WASHINGTON UNIVERSITY,2100 FOXHALL ROAD,NW,WASHINGTON,DC,20007,UNITED STATES; UNIVERSITY OF SOUTH CAROLINA,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,COLUMBIA,SC  29208,UNITED STATES"	"10.1016/j.forc.2016.11.001"	"FORENSIC CHEMISTRY"	"ARTICLE"	"Scopus,WebOfScience"	"MICROSPECTROPHOTOMETRY;FORENSIC SCIENCE;FIBERS;POLYESTER;DYE;LOADING;MULTIVARIATE STATISTICS;DYE LOADING"
"MORPHOLOGICAL CHANGES IN TEXTILE FIBRES EXPOSED TO ENVIRONMENTAL STRESSES: ATOMIC FORCE MICROSCOPIC EXAMINATION"	2009	"CANETTA E;MONTIEL K;ADYA AK"	"ATOMIC FORCE MICROSCOPY; TEXTILE FIBRES; COTTON; WOOL; VISCOSE; SURFACE; TEXTURE"	"AFM IMAGES; SURFACES; FABRICS"	"ATOMIC FORCE MICROSCOPY;  COTTON;  SURFACE TEXTURE;  TEXTILE FIBRES;  VISCOSE;  WOOL"	"CELLULOSE;ARTICLE;ATOMIC FORCE MICROSCOPY;CONTROLLED STUDY;COTTON;ENVIRONMENTAL EXPOSURE;FORENSIC IDENTIFICATION;IMAGE ANALYSIS;MECHANICAL STRESS;PRIORITY JOURNAL;QUANTITATIVE ANALYSIS;STRUCTURE ANALYSIS;SURFACE PROPERTY;TEXTILE FIBER;WOOL"	"ADYA, AK (CORRESPONDING AUTHOR), UNIV ABERTAY DUNDEE, SCH CONTEMPORARY SCI, CONDENSED MATTER GRP, BELL ST, DUNDEE DD1 1HG, SCOTLAND; ADYA, ASHOK K, UNIV ABERTAY DUNDEE, SCH CONTEMPORARY SCI, CONDENSED MATTER GRP, DUNDEE DD1 1HG, SCOTLAND; UNIV ABERTAY DUNDEE, SCH CONTEMPORARY SCI, BIONTHE CTR, DIV BIOTECHNOL \& FORENS SCI, DUNDEE DD1 1HG, SCOTLAND"	"CONDENSED MATTER GROUP,BIONTHE2 CENTRE,DIVISION OF BIOTECHNOLOGY AND FORENSIC SCIENCES,BELL STREET,DUNDEE DD1 1HG,SCOTLAND,UNITED KINGDOM"	"CONDENSED MATTER GROUP,BIONTHE2 CENTRE,DIVISION OF BIOTECHNOLOGY AND FORENSIC SCIENCES,BELL STREET,DUNDEE DD1 1HG,SCOTLAND,UNITED KINGDOM"	"10.1016/j.forsciint.2009.05.022"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"ATOMIC FORCE MICROSCOPY;TEXTILE FIBRES;COTTON;WOOL;VISCOSE;SURFACE;TEXTURE;SURFACE TEXTURE"
"MORPHOLOGICAL CHANGES IN TRAUMATIZED SKELETAL MUSCLE: THE APPEARANCE OF 'OPAQUE FIBERS' OF CERVICAL MUSCLES AS EVIDENCE OF COMPRESSION TO THE NECK"	1998	"TABATA N"	""	""	"COMPRESSION OF THE NECK;  OPAQUE FIBERS;  SKELETAL MUSCLE;  TRAUMATIC INJURIES"	"FIBRONECTIN;GLYCOPHORIN A;MYOGLOBIN;ADOLESCENT;ADULT;AGED;ARTICLE;AUTOPSY;BLUNT TRAUMA;CHILD;CONTROLLED STUDY;FEMALE;HANGING;HISTOLOGY;HUMAN;HUMAN TISSUE;IMMUNOHISTOCHEMISTRY;MALE;MUSCLE INJURY;NECK MUSCLE;PRIORITY JOURNAL;SKELETAL MUSCLE;STRANGULATION;ASPHYXIA;PRESCHOOL;CONSTRICTION;PATHOLOGIC;FORENSIC MEDICINE;HUMANS;MIDDLE AGED;MUSCLE;SKELETAL;NECK INJURIES"	NA	"DEPARTMENT OF LEGAL MEDICINE,SCHOOL OF MEDICINE,SAPPORO MEDICAL UNIVERSITY,MINAMI-1,NISHI-17,CHUO-KU,SAPPORO 060-8556,JAPAN"	"DEPARTMENT OF LEGAL MEDICINE,SCHOOL OF MEDICINE,SAPPORO MEDICAL UNIVERSITY,MINAMI-1,NISHI-17,CHUO-KU,SAPPORO 060-8556,JAPAN"	"10.1016/S0379-0738(98)00125-X"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";COMPRESSION OF THE NECK;OPAQUE FIBERS;SKELETAL MUSCLE;TRAUMATIC INJURIES"
"MOVEMENT OF FIBRES BETWEEN WORKING AREAS AS A RESULT OF ROUTINE EXAMINATION OF GARMENTS"	1986	"MOORE JE;JACKSON G;FIRTH M"	""	""	"CONTAMINATION;  FIBRES: TRANSFER AND DISPERSAL"	"CLOTHING;CONTROLLED STUDY;COTTON;FIBER;NONHUMAN;THEORETICAL STUDY;WOOL"	NA	"HOME OFFICE FORENSIC SCIENCE LABORATORY,WASHINGTON HALL,EUXTON,CHORLEY,LANCASHIRE,PR7 6HJ,UNITED KINGDOM"	"HOME OFFICE FORENSIC SCIENCE LABORATORY,WASHINGTON HALL,EUXTON,CHORLEY,LANCASHIRE,PR7 6HJ,UNITED KINGDOM"	"10.1016/S0015-7368(86)72534-6"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"Scopus"	";CONTAMINATION;FIBRES: TRANSFER AND DISPERSAL"
"NANOMANIPULATION-COUPLED NANOSPRAY MASS SPECTROMETRY APPLIED TO THE EXTRACTION AND ANALYSIS OF TRACE ANALYTES FOUND ON FIBERS"	2010	"LEDBETTER NL;WALTON BL;DAVILA P;HOFFMANN WD;ERNEST RN;VERBECK IV GF"	"FORENSIC SCIENCE; NANOSPRAY; TRACE ANALYSIS; FIBER; NANOMANIPULATION; MASS SPECTROMETRY"	"SURFACE SAMPLING PROBE; EXPLOSIVES; CHROMATOGRAPHY; SECTIONS"	"FIBER;  FORENSIC SCIENCE;  MASS SPECTROMETRY;  NANOMANIPULATION;  NANOSPRAY;  TRACE ANALYSIS"	"NA"	"VERBECK, GF (CORRESPONDING AUTHOR), UNIV N TEXAS, DEPT CHEM, POB 305070, DENTON, TX 76203 USA; LEDBETTER, NICOLE L; DAVILA, PEDRO; HOFFMANN, WILLIAM D; VERBECK, GUIDO F, UNIV N TEXAS, DEPT CHEM, DENTON, TX 76203 USA; WALTON, BARBARA L, CENT CONNECTICUT STATE UNIV, DEPT CHEM \& BIOCHEM, NEW BRITAIN, CT 06050 USA; ERNEST, RICHARD N, UNIV N TEXAS, DEPT BIOL SCI, DENTON, TX 76203 USA"	"DEPARTMENT OF CHEMISTRY,UNIVERSITY OF NORTH TEXAS,1155 UNION CIRCLE,#305070,DENTON,TX 76203,UNITED STATES; DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,CENTRAL CONNECTICUT STATE UNIVERSITY,1615 STANLEY ST.,NEW BRITAIN,CT 06050,UNITED STATES; DEPARTMENT OF BIOLOGICAL SCIENCE,#305220,UNITED STATES; UNIVERSITY OF NORTH TEXAS,P.O. BOX 305070,UNITED STATES"	"DEPARTMENT OF CHEMISTRY,UNIVERSITY OF NORTH TEXAS,1155 UNION CIRCLE,#305070,DENTON,TX 76203,UNITED STATES; DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,CENTRAL CONNECTICUT STATE UNIVERSITY,1615 STANLEY ST.,NEW BRITAIN,CT 06050,UNITED STATES; DEPARTMENT OF BIOLOGICAL SCIENCE,#305220,UNITED STATES; UNIVERSITY OF NORTH TEXAS,P.O. BOX 305070,UNITED STATES"	"10.1111/j.1556-4029.2010.01406.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;NANOSPRAY;TRACE ANALYSIS;FIBER;NANOMANIPULATION;MASS SPECTROMETRY"
"OBSERVATIONS ON REDISTRIBUTION OF TEXTILE FIBRES"	1984	"ROBERTSON J;LLOYD AK"	""	""	"DISTRIBUTION;  FIBRES;  INTERPRETATION"	"DIAGNOSIS;FIBER;HUMAN;LEGAL ASPECT;NONHUMAN;TEXTILE;THEORETICAL STUDY"	NA	"FORENSIC SCIENCE UNIT,UNIVERSITY OF STRATHCLYDE,ROYAL COLLEGE,204 GEORGE STREET,GL 1XW,UNITED KINGDOM"	"FORENSIC SCIENCE UNIT,UNIVERSITY OF STRATHCLYDE,ROYAL COLLEGE,204 GEORGE STREET,GL 1XW,UNITED KINGDOM"	"10.1016/S0015-7368(84)72279-1"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	"Scopus"	";DISTRIBUTION;FIBRES;INTERPRETATION"
"OBTAINING ABSORPTION SPECTRA FROM SINGLE TEXTILE FIBERS USING A LIQUID CRYSTAL TUNABLE FILTER MICROSPECTROPHOTOMETER"	2011	"MARKSTROM LJ;MABBOTT GA"	""	""	"ABSORPTION SPECTRA;  FIBER;  LIQUID CRYSTAL TUNABLE FILTER;  MICROSPECTROPHOTOMETER;  TEXTILE DYES"	"DYE;POLYESTER;ABSORPTION SPECTROSCOPY;ANALYTIC METHOD;ARTICLE;ARTIFACT;BLUE LIGHT;CONTROLLED STUDY;COTTON;FILTER DESIGN;FORENSIC SCIENCE;INSTRUMENTATION;LIQUID CRYSTAL;LIQUID CRYSTAL TUNABLE FILTER MICROSPECTROPHOTOMETER;PRIORITY JOURNAL;SAMPLE SIZE;SILK;SPECTROPHOTOMETER;TEXTILE FIBER;WOOL"	NA	"UNIVERSITY OF SAINT THOMAS,CHEMISTRY DEPARTMENT,2115 SUMMIT AVE MAIL # 0463,SAINT PAUL,MN 55105-1048,UNITED STATES; UNIVERSITY OF SAINT THOMAS,2115 SUMMIT AVE/OSS 402,UNITED STATES"	"UNIVERSITY OF SAINT THOMAS,CHEMISTRY DEPARTMENT,2115 SUMMIT AVE MAIL # 0463,SAINT PAUL,MN 55105-1048,UNITED STATES; UNIVERSITY OF SAINT THOMAS,2115 SUMMIT AVE/OSS 402,UNITED STATES"	"10.1016/j.forsciint.2011.01.014"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";ABSORPTION SPECTRA;FIBER;LIQUID CRYSTAL TUNABLE FILTER;MICROSPECTROPHOTOMETER;TEXTILE DYES"
"OPTICAL CHARACTERIZATION OF SOME MODERN \"ECO-FRIENDLY\""	2010	"BRINSKO KM"	""	""	"ALGINATE;  AZLON;  BAMBOO RAYON;  CHITIN;  CRIMINALISTICS;  FIBER IDENTIFICATION;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRARED SPECTROSCOPY;  POLARIZED LIGHT MICROSCOPY;  POLYLACTIC ACID"	"NA"	NA	"MCCRONE RESEARCH INSTITUTE,RESEARCH MICROSCOPIST/INSTRUCTOR,2820 S. MICHIGAN AVE,CHICAGO,IL 60616,UNITED STATES"	"MCCRONE RESEARCH INSTITUTE,RESEARCH MICROSCOPIST/INSTRUCTOR,2820 S. MICHIGAN AVE,CHICAGO,IL 60616,UNITED STATES"	"10.1111/j.1556-4029.2010.01369.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	";ALGINATE;AZLON;BAMBOO RAYON;CHITIN;CRIMINALISTICS;FIBER IDENTIFICATION;FORENSIC SCIENCE;FOURIER TRANSFORM INFRARED SPECTROSCOPY;POLARIZED LIGHT MICROSCOPY;POLYLACTIC ACID"
"OPTICAL CHARACTERIZATION OF SOME MODERN ``ECO-FRIENDLY'' FIBERS"	2010	"BRINSKO KM"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBER IDENTIFICATION; AZLON; POLYLACTIC ACID; ALGINATE; CHITIN; BAMBOO RAYON; POLARIZED LIGHT; MICROSCOPY; FOURIER TRANSFORM INFRARED SPECTROSCOPY"	""	""	""	"BRINSKO, KM (CORRESPONDING AUTHOR), MCCRONE RES INST INC, 2820 S MICHIGAN AVE, CHICAGO, IL 60616 USA; MCCRONE RES INST INC, CHICAGO, IL 60616 USA"	"BRINSKO, KM (CORRESPONDING AUTHOR), MCCRONE RES INST INC, 2820 S MICHIGAN AVE, CHICAGO, IL 60616 USA; MCCRONE RES INST INC, CHICAGO, IL 60616 USA"	NA	"10.1111/j.1556-4029.2010.01369.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBER IDENTIFICATION;AZLON;POLYLACTIC ACID;ALGINATE;CHITIN;BAMBOO RAYON;POLARIZED LIGHT;MICROSCOPY;FOURIER TRANSFORM INFRARED SPECTROSCOPY"
