"","Authors","AuthorID","Title","Year","Source.title","Volume","Issue","Art..No.","Page.start","Page.end","Page.count","Cited.by","DOI","Link","Affiliations","Authors.with.affiliations","Author.Keywords","Index.Keywords","ID","Document.Type","Publication.Stage","Access.Type","Source","EID","Coder"
"109","Wiggins K., Palmer R., Hutchinson W., Drummond P.","7003873724;55636317631;36862937600;11939597600;","An investigation into the use of calculating the first derivative of absorbance spectra as a tool for forensic fibre analysis",2007,"Science and Justice","47","1",NA,"9","18",NA,36,"10.1016/j.scijus.2006.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447624677&doi=10.1016%2fj.scijus.2006.11.001&partnerID=40&md5=0547e7a1c553fdbf01e8677281e5524b","The Forensic Science Service, 109 Lambeth Road, London, SE1 7LP, United Kingdom; The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom","Wiggins, K., The Forensic Science Service, 109 Lambeth Road, London, SE1 7LP, United Kingdom; Palmer, R., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; Hutchinson, W., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; Drummond, P., The Forensic Science Service, 109 Lambeth Road, London, SE1 7LP, United Kingdom","Comparison; Fibres; First derivative; Microspectrophotometry; Spectra","acrylic acid; nylon; polyester; article; calculation; color; cotton; device; fiber; forensic science; light absorption; mathematical analysis; microspectrophotometry; spectral sensitivity; spectrophotometer; ultraviolet radiation; wool; Forensic Sciences; Microspectrophotometry; Sensitivity and Specificity; Spectrum Analysis; Textiles",NA,"Article","Final",NA,"Scopus","2-s2.0-34447624677","2007 report"
"110","Wiggins K., Drummond P.","7003873724;11939597600;","Identifying a suitable mounting medium for use in forensic fibre examination",2007,"Science and Justice","47","1",NA,"2","8",NA,10,"10.1016/j.scijus.2006.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447637264&doi=10.1016%2fj.scijus.2006.10.001&partnerID=40&md5=1b364333a60c965ef507b154c2a4b670","Forensic Science Service, 109 Lambeth Road, London, SE1 7LP England, United Kingdom","Wiggins, K., Forensic Science Service, 109 Lambeth Road, London, SE1 7LP England, United Kingdom; Drummond, P., Forensic Science Service, 109 Lambeth Road, London, SE1 7LP England, United Kingdom","Entellan New; Fibre; Mounting medium; XAM neutral medium-improved white","mounting medium; nylon; polyester; reagent; resin; unclassified drug; article; color; fiber; fluorescence; forensic science; histology; infrared spectroscopy; microscope; performance; refraction index; solubility; thin layer chromatography; Forensic Sciences; Resins, Synthetic; Textiles",NA,"Article","Final",NA,"Scopus","2-s2.0-34447637264","2007 report"
"111","","","Fibres and Textiles in Eastern Europe",2007,"",NA,"",NA,NA,NA,NA,NA,"","http://fibtex.lodz.pl/en","","","","",NA,"Article series","",NA,"","","2007 report"
"112","Kadolph S.; Langford A.","","Textiles",2006,"",NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"Book","",NA,"","","2007 report"
"113","Xin J.H.","55386733300;","Total Colour Management in Textiles",2006,"Total Colour Management in Textiles",NA,"",NA,"1","234",NA,30,"10.1533/9781845691080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904074628&doi=10.1533%2f9781845691080&partnerID=40&md5=252e67d56f1a341d85103f2bf228c588","Institute of Textiles and Clothing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong","Xin, J.H., Institute of Textiles and Clothing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong","","",NA,"Book","Final",NA,"Scopus","2-s2.0-84904074628","2007 report"
"114","Shishoo R.","7005338918;","Textiles in sport",2005,"Textiles in Sport",NA,"",NA,"1","364",NA,59,"10.1533/9781845690885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903404600&doi=10.1533%2f9781845690885&partnerID=40&md5=7aa81ec852d658416baf7c8f8963af82","Shishoo Consulting AB, SvartlavsvaÈgen 18, SE-436 39 Askim, Sweden","Shishoo, R., Shishoo Consulting AB, SvartlavsvaÈgen 18, SE-436 39 Askim, Sweden","","",NA,"Book","Final",NA,"Scopus","2-s2.0-84903404600","2007 report"
"115","Scott R.A.","56209852400;","Textiles for Protection",2005,"Textiles for Protection",NA,"",NA,"1","754",NA,111,"10.1533/9781845690977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902631564&doi=10.1533%2f9781845690977&partnerID=40&md5=d94351e4e896cf28f76dba135804c34c","RASCOTEX, Mirabeau, 102 Abbots Road, Colchester, Essex CO2 8BG, United Kingdom","Scott, R.A., RASCOTEX, Mirabeau, 102 Abbots Road, Colchester, Essex CO2 8BG, United Kingdom","","",NA,"Book","Final",NA,"Scopus","2-s2.0-84902631564","2007 report"
"116","Hu J.","","Structure and Mechanics of Woven Fabrics",2004,"",NA,"",NA,"1","324",NA,NA,"","https://www.elsevier.com/books/structure-and-mechanics-of-woven-fabrics/hu/978-1-85573-904-8","","","","",NA,"Book","",NA,"","","2007 report"
"117","Schindler W.D., Hauser P.J.","7005120150;7102617786;","Chemical Finishing of Textiles",2004,"Chemical Finishing of Textiles",NA,"",NA,"1","213",NA,419,"10.1533/9781845690373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941628108&doi=10.1533%2f9781845690373&partnerID=40&md5=b409ff68378be901a79bea7121a70b1e","University of Applied Sciences Hof, Department Münchberg, Germany; North Carolina State University, Raleigh, NC, United States","Schindler, W.D., University of Applied Sciences Hof, Department Münchberg, Germany; Hauser, P.J., North Carolina State University, Raleigh, NC, United States","","Textile finishing; Textile processing; Textiles; Application process; Finishing techniques; Future trends; Industrial textiles; Practical experience; Soil release; Technical understanding; Textile education; Chemical finishing",NA,"Book","Final",NA,"Scopus","2-s2.0-84941628108","2007 report"
"118","Houck M.","","Trace Evidence Analysis",2004,"",NA,"",NA,"1","300",NA,NA,"","https://www.elsevier.com/books/trace-evidence-analysis/houck/978-0-08-047462-5","","","","",NA,"Book","",NA,"","","2007 report"
"119","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.enfsi.org/","","","","",NA,"Webpage","",NA,"","","2007 report"
"120","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.eurotexx.com/","","","","",NA,"Webpage","",NA,"","","2007 report"
"121","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.fashion-links.de/","","","","",NA,"Webpage","",NA,"","","2007 report"
"122","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.fashionseek.net/","","","","",NA,"Webpage","",NA,"","","2007 report"
"123","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.ita.rwth-aachen.de/","","","","",NA,"Webpage","",NA,"","","2007 report"
"124","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.techexchange.com/","","","","",NA,"Webpage","",NA,"","","2007 report"
"125","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.texdata.com/","","","","",NA,"Webpage","",NA,"","","2007 report"
"126","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.texi.org/","","","","",NA,"Webpage","",NA,"","","2007 report"
"127","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.textile.fr/","","","","",NA,"Webpage","",NA,"","","2007 report"
"128","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.textileweb.com/","","","","",NA,"Webpage","",NA,"","","2007 report"
"129","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.textileworld.it/","","","","",NA,"Webpage","",NA,"","","2007 report"
"130","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.textilexpert.com/","","","","",NA,"Webpage","",NA,"","","2007 report"
"131","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.textilserver.de/","","","","",NA,"Webpage","",NA,"","","2007 report"
"132","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.texweb.de/","","","","",NA,"Webpage","",NA,"","","2007 report"
"133","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.ivc-ev.de/HTDOCS/index.html","","","","",NA,"Webpage","",NA,"","","2007 report"
"134","","","",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.trevira.de/","","","","",NA,"Webpage","",NA,"","","2007 report"
"135","Palmer R.","","The Forensic Examination of Fibres - A Review: 2004 to 2007. ; October; P6-24.",2007,"Proceedings 15th International Forensic Science Symposium Interpol, Lyon","","",NA,"6","24",NA,NA,"","","","","","",NA,"Report","",NA,"","","2010 report"
"136","Becker S.","","Development of Trace Evidence in Europe. ",2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida","","August",NA,"1","11",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"137","","","Strengthening Forensic Science in the United States: A path forward",2009,"The National Academy of Sciences","","",NA,"","",NA,NA,"","","","","","",NA,"Report","",NA,"","","2010 report"
"138","Robertson J., Roux C.","7404531595;7202017940;","Trace evidence: Here today, gone tomorrow?",2010,"Science and Justice","50","1",NA,"18","22",NA,17,"10.1016/j.scijus.2009.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77349108123&doi=10.1016%2fj.scijus.2009.11.005&partnerID=40&md5=91ac114bbbb07296099ff95aecbc2ce0","Forensic and Data Centres, Australian Federal Police, GPO Box 401, ACT 2601, Australia; Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW 2007, Australia","Robertson, J., Forensic and Data Centres, Australian Federal Police, GPO Box 401, ACT 2601, Australia; Roux, C., Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW 2007, Australia","Fibres; Knowledge; Management; Trace evidence","conference paper; court; crime; evaluation; forensic science; justice; police; standard; United States; Advisory Committees; Forensic Sciences; Humans; Professional Competence",NA,"Conference Paper","Final",NA,"Scopus","2-s2.0-77349108123","2010 report"
"139","Hutchinson W.","","The CSI effect - a casework example",2008,"Proceedings of the 16th European Fibres Group Meeting, Budapest, Hungary","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"140","Palmer R.","","The Suffolk serial killings",2008,"Proceedings of the 16th European Fibres Group Meeting, Budapest, Hungary","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"141","Sulkava R.","","Case report: Two homicide cases committed by the same person",2008,"Proceedings of the 16th European Fibres Group Meeting, Budapest, Hungary","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"142","De Wael K.","","Fibres in the murder investigation of a high profile double child murder",2009,"Proceedings of the 17th European Fibres Group Meeting, Berlin - Zeuthen, Germany","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"143","Shaw S.","","The Value of Fibre Evidence in The Case of a Serial Rapist",2010,"Proceedings of the 18th European Fibres Group Meeting, London, England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"144","Palmer R.","","The ""Jig-Saw"" Murder",2010,"Proceedings of the 18th European Fibres Group Meeting, London, England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"145","Bennett S., Roux C., RobertsonJ.","","The Significance of Fibre Transfer and Persistence - A Case Study",2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida","","August",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"146","Schwetz A.","","The Tuba Kulali Murder Case",2010,"Proceedings of the 18th European Fibres Group Meeting, London, England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"147","Krauss W., Simmerlein N., Barogh B.S., Stritesky K.","","Suicide or Homicide? A Case Report Involving Textile Fibre Investigations",2007,"Global Forensic Science Today","V2","May",NA,"16","18",NA,NA,"","","","","","",NA,"Article","",NA,"","","2010 report"
"148","Suzuki S., Higashikawa Y., Sugita R., Suzuki Y.","8654989200;23492393300;7007155469;57206758390;","Guilty by his fibers: suspect confession versus textile fibers reconstructed simulation",2009,"Forensic Science International","189","01-Mar",NA,"e27","e32",NA,5,"10.1016/j.forsciint.2009.03.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349285937&doi=10.1016%2fj.forsciint.2009.03.035&partnerID=40&md5=523ef234531890b4ce016c952bbe20ab","Third Department, Forensic Science Division, National Research Institute of Police Science, 6-3-1, Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan","Suzuki, S., Third Department, Forensic Science Division, National Research Institute of Police Science, 6-3-1, Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Higashikawa, Y., Third Department, Forensic Science Division, National Research Institute of Police Science, 6-3-1, Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Sugita, R., Third Department, Forensic Science Division, National Research Institute of Police Science, 6-3-1, Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Suzuki, Y., Third Department, Forensic Science Division, National Research Institute of Police Science, 6-3-1, Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan","Adhesive tape; Forensic science; Microspectrophotometer; Reconstruction of behavior; Single fiber","article; clothing; criminal behavior; forensic science; homicide; microspectrophotometry; priority journal; simulation; textile fiber; theft; Animals; Crime; Forensic Medicine; Homicide; Humans; Male; Spectrophotometry; Wool",NA,"Article","Final",NA,"Scopus","2-s2.0-67349285937","2010 report"
"149","Sulkava R.","","Murder of a Hermit: Investigation Involving Denim Fibres",2010," Proceedings of the 18th European Fibres Group Meeting, London , England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"150","Majdic J.","","Who Was The Driver - Fibre Examination of Car Seats",2008,"Global Forensic Science Today","V6","",NA,"24","25",NA,NA,"","","","","","",NA,"Article","",NA,"","","2010 report"
"151","Schaich B.","","Textile investigations in traffic accidents - an experience report",2009,"Proceedings of the 17th European Fibres Group Meeting, Berlin - Zeuthen, Germany","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"152","Irwin M.","","Who drove the Lamborghini?",2010," Proceedings of the 18th European Fibres Group Meeting, London , England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"153","Was-Gubala J.","6602268152;","The kinetics of colour change in textiles and fibres treated with detergent solutions. Part I-Colour perception and fluorescence microscopy analysis",2009,"Science and Justice","49","3",NA,"165","169",NA,13,"10.1016/j.scijus.2009.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69449094615&doi=10.1016%2fj.scijus.2009.03.002&partnerID=40&md5=88366c2cc074d38cd151776b81c5e3e1","Institute of Forensic Research, Westerplatte 9, 31-033 Krakow, Poland","Was-Gubala, J., Institute of Forensic Research, Westerplatte 9, 31-033 Krakow, Poland","Colour change; Fibres; Fluorescence microscopy; Point-based analysis; Textile","acrylic acid derivative; detergent; polyester; article; color; color vision; comparative study; consumer; cotton; fiber; fluorescence microscopy; materials testing; textile; wool",NA,"Article","Final",NA,"Scopus","2-s2.0-69449094615","2010 report"
"154","Dillinger S.","","Dog bite or manipulation? A textile case study.",2008,"Proceedings of the 16th European Fibres Group Meeting, Budapest, Hungary","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"155","Bennett S.","","A holistic Approach to Textile Damage Examinations",2007,"Proceedings NIJ Trace Evidence Symposium, Clearwater Beach Florida","","August",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"156","Canetta E., Montiel K., Adya A.K.","11339551800;26656752600;6701802019;","Morphological changes in textile fibres exposed to environmental stresses: Atomic force microscopic examination",2009,"Forensic Science International","191","01-Mar",NA,"6","14",NA,26,"10.1016/j.forsciint.2009.05.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69749123265&doi=10.1016%2fj.forsciint.2009.05.022&partnerID=40&md5=31811e8dd99a1dd2dd2905d0258c5ad1","Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom","Canetta, E., Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom; Montiel, K., Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom; Adya, A.K., Condensed Matter Group, BIONTHE2 Centre, Division of Biotechnology and Forensic Sciences, Bell Street, Dundee DD1 1HG, Scotland, United Kingdom","Atomic force microscopy; Cotton; Surface texture; Textile fibres; Viscose; Wool","cellulose; article; atomic force microscopy; controlled study; cotton; environmental exposure; forensic identification; image analysis; mechanical stress; priority journal; quantitative analysis; structure analysis; surface property; textile fiber; wool",NA,"Article","Final",NA,"Scopus","2-s2.0-69749123265","2010 report"
"157","De Wael K., Van Vaerenbergh G.","","Thermally Induced Changes in Textile Colour",2007,"Global Forensic Science Today","3","September",NA,"22","25",NA,NA,"","","","","","",NA,"Article","",NA,"","","2010 report"
"158","Hess S.","","The Combustability of Textiles",2010,"Proceedings of the 18th European Fibres Group Meeting, London, England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"159","De Wael K., Gason F.G.C.S.J., Baes C.A.V.","23491995600;14038614100;23491213400;","Selection of an adhesive tape suitable for forensic fiber sampling",2008,"Journal of Forensic Sciences","53","1",NA,"168","171",NA,16,"10.1111/j.1556-4029.2007.00628.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049121212&doi=10.1111%2fj.1556-4029.2007.00628.x&partnerID=40&md5=25a70ef5eaa11bf4b1fa1d30626180cb","Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium","De Wael, K., Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium; Gason, F.G.C.S.J., Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium; Baes, C.A.V., Fibres and Textiles Laboratory, Nationaal Instituut Voor Criminalistiek en Criminologie (NICC), Vilvoordsesteenweg 100, B-1120 Brussels, Belgium","Adhesive tape; Forensic fiber examination; Forensic science; Sampling techniques; Tape lifting","adhesive agent; article; fiber; forensic medicine; materials testing; priority journal; sampling",NA,"Article","Final",NA,"Scopus","2-s2.0-39049121212","2010 report"
"160","Allen K.","","The recovery of fibres from non- textile items using electrostatic rods.",2009,"Proceedings of the 17th European Fibres Group Meeting, Berlin - Zeuthen, Germany","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"161","Palmer R., Burch H.J.","55636317627;14828745600;","The population, transfer and persistence of fibres on the skin of living subjects",2009,"Science and Justice","49","4",NA,"259","264",NA,25,"10.1016/j.scijus.2009.02.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71649097313&doi=10.1016%2fj.scijus.2009.02.008&partnerID=40&md5=32a268fad0942065bc764aa0c50a54c1","The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE296NU, United Kingdom; Centre for Forensic Science, University of Strathclyde, Royal College, 204 George St, Glasgow, G1 1XW, United Kingdom","Palmer, R., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE296NU, United Kingdom; Burch, H.J., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE296NU, United Kingdom, Centre for Forensic Science, University of Strathclyde, Royal College, 204 George St, Glasgow, G1 1XW, United Kingdom","Bathing; Fibres; Length; Persistence; Skin; Transfer","polyester; arm; article; color; cotton; daily life activity; degradation; female; fiber; human; male; skin; wool; Clothing; Female; Forensic Medicine; Humans; Male; Microscopy; Skin; Textiles; Touch",NA,"Article","Final",NA,"Scopus","2-s2.0-71649097313","2010 report"
"162","Chewning D.D., Deaver K.L., Christensen A.M.","","The Persistence of Fibers on Ski Masks During Transit and Processing",2008,"Forensic Science Communications","V10","3",NA,"","",NA,NA,"","","","","","",NA,"Article","",NA,"","","2010 report"
"163","De Wael K., Gason F.",""," Microfibre Transfer Experiments",2008,"Global Forensic Science Today","V4","January",NA,"31","37",NA,NA,"","","","","","",NA,"Article","",NA,"","","2010 report"
"164","Coyle T.","","“What the flock?” An assessment of the Evidential Value of Automotive Flock",2009,"Proceedings of the 17th European Fibres Group Meeting, Berlin - Zeuthen, Germany","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"165","Jones J.","","Synthetic Flock Fibres - A Target fibre Study",2010," Proceedings of the 18th European Fibres Group Meeting, London , England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"166","Dillinger S.","","Investigation Approaches Based on Textile Labels",2008,"Global Forensic Science Today","V4","",NA,"6","7",NA,NA,"","","","","","",NA,"Article","",NA,"","","2010 report"
"167","Dillinger S.","","Video Imaging - New Technical Aspects",2010," Proceedings of the 18th European Fibres Group Meeting, London , England","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"168","Biermann T.W.","6701648651;","Blocks of colour IV: The evidential value of blue and red cotton fibres",2007,"Science and Justice","47","2",NA,"68","87",NA,35,"10.1016/j.scijus.2006.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548134485&doi=10.1016%2fj.scijus.2006.08.001&partnerID=40&md5=02859068731a12a256623393e798e928","KT33-Fibres Section, Forensic Science Institute, Bundeskriminalamt, 65173 Wiesbaden, Germany","Biermann, T.W., KT33-Fibres Section, Forensic Science Institute, Bundeskriminalamt, 65173 Wiesbaden, Germany","Cotton; Fibres; Fluorescence; Forensic science; Microspectrophotometry; Spectral frequency; UV/VIS","article; comparative study; cotton; electromagnetic radiation; fiber; fluorescence microscopy; forensic identification; frequency analyzer; microfluorometry; microscopy; microspectrophotometry; sample; spectral sensitivity; theoretical study; ultraviolet radiation; Color; Cotton Fiber; Forensic Sciences; Humans; Microscopy, Fluorescence; Spectrum Analysis",NA,"Article","Final",NA,"Scopus","2-s2.0-34548134485","2010 report"
"169","Palmer R., Hutchinson W., Fryer V.","55636317627;36862937600;35233160700;","The discrimination of (non-denim) blue cotton",2009,"Science and Justice","49","1",NA,"12","18",NA,27,"10.1016/j.scijus.2008.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61449088411&doi=10.1016%2fj.scijus.2008.07.001&partnerID=40&md5=65030a1d19acee8ab2daaac69ff94987","The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; The Forensic Science Service, Trident Court, 2920 Solihull Parkway, Birmingham, B37 7YN, United Kingdom","Palmer, R., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; Hutchinson, W., The Forensic Science Service, Hinchingbrooke Park, Huntingdon, Cambridgeshire PE29 6NU, United Kingdom; Fryer, V., The Forensic Science Service, Trident Court, 2920 Solihull Parkway, Birmingham, B37 7YN, United Kingdom","Blue; Cottons; Discrimination; Fibres; Microscopy; Microspectrophotometry","",NA,"Article","Final",NA,"Scopus","2-s2.0-61449088411","2010 report"
"170","Massonet G., Buzzini P.","","Discrimination of coloured Acrylic,Cotton, and Wool Fibres using Raman Spectroscopy",2008,"Proceedings of the 16th European Fibres Group Meeting, Budapest, Hungary","","June",NA,"","",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"171","Coyle T., Fairchild J., Fielden C., Revell D.","","Raman Microspectroscopy and Its Place in Forensic Fibre Examination - The Identification of Man-Made Cellulosic Fibres",2007,"Global Forensic Science Today","V3","",NA,"","",NA,NA,"","","","","","",NA,"Article","",NA,"","","2010 report"
"172","Lepot L., De Wael K., Gason F., Gilbert B.","15021035100;23491995600;14038614100;7201517928;","Application of Raman spectroscopy to forensic fibre cases",2008,"Science and Justice","48","3",NA,"109","117",NA,56,"10.1016/j.scijus.2007.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50349084190&doi=10.1016%2fj.scijus.2007.09.013&partnerID=40&md5=0a52e8b7e0b8b1d5420a8d4128ce19f5","Analytical Chemistry and Electrochemistry, University of Liège, Bldg. B6C, Sart Tilman, 4000 Liège, Belgium; National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium","Lepot, L., Analytical Chemistry and Electrochemistry, University of Liège, Bldg. B6C, Sart Tilman, 4000 Liège, Belgium, National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Gason, F., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Vilvoordsesteenweg 100, 1120 Brussels, Belgium; Gilbert, B., Analytical Chemistry and Electrochemistry, University of Liège, Bldg. B6C, Sart Tilman, 4000 Liège, Belgium","Casework; Fibre examination; Forensic science; Raman spectroscopy; Textile dyes","glass; resin; article; bright field microscopy; fiber; fluorescence microscopy; forensic identification; homicide; microspectrophotometry; polarization microscopy; Raman spectrometry; Coloring Agents; Forensic Sciences; Spectrum Analysis, Raman; Textiles",NA,"Article","Final",NA,"Scopus","2-s2.0-50349084190","2010 report"
"173","Vann B.C., Michael Angel S., Hendrix J.E., Bartick E.G., Morgan S.L.","26530647700;6506023751;36755864000;6603722593;7402180417;","Analysis of titanium dioxide in synthetic fibers using raman microspectroscopy",2009,"Applied Spectroscopy","63","4",NA,"407","411",NA,9,"10.1366/000370209787944389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65149085288&doi=10.1366%2f000370209787944389&partnerID=40&md5=66b2e378eac1c731a5ce5c6fc900bc4f","Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; FBI Laboratory, Counterterrorism and Forensic Science Research Unit, FBI Academy, Quantico, Virginia 22135, United States; Department of Chemistry/Biochemistry, Suffolk University, 41 Temple Street, Boston, MA 02114-4280., United States","Vann, B.C., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Michael Angel, S., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Hendrix, J.E., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Bartick, E.G., Department of Chemistry and Biochemistry, University of South Carolina, Columbia, SC 29208, United States; Morgan, S.L., FBI Laboratory, Counterterrorism and Forensic Science Research Unit, FBI Academy, Quantico, Virginia 22135, United States, Department of Chemistry/Biochemistry, Suffolk University, 41 Temple Street, Boston, MA 02114-4280., United States","DA; Discriminant analysis; Microspectroscopy; Partial least squares; PLS.; Raman; Synthetic fibers; Titanium dioxide","DA; Microspectroscopy; Partial least squares; PLS.; Raman; Curve fitting; Discriminant analysis; Least squares approximations; Oxide minerals; Polarization; Polymers; Synthetic fibers; Titanium; Titanium oxides; Titanium dioxide",NA,"Article","Final",NA,"Scopus","2-s2.0-65149085288","2010 report"
